month,unweighted_otp,trip_weighted_otp,ridership_weighted_otp,route_count,total_riders
2019-01,0.7106354838709678,0.6925647334287254,0.7106854612069538,93,191875.99999999997
2019-02,0.6969935483870968,0.6763389353217732,0.6919323924779311,93,209447.7
2019-03,0.710763440860215,0.6920097062157515,0.7143296901115147,93,204337.71428571432
2019-04,0.6767935483870968,0.6663244528711082,0.6823194993651487,93,209641.0909090909
2019-05,0.6472430107526882,0.6449306406936438,0.65558569059905,93,205880.54545454544
2019-06,0.6481516129032259,0.6341025571122657,0.6581015207698031,93,198445.55
2019-07,0.7011430107526881,0.6808771950468999,0.7121607796819551,93,199428.63636363638
2019-08,0.6939494623655914,0.6701741940773113,0.685568144046934,93,202420.13636363638
2019-09,0.6819397849462365,0.6537971931667507,0.6894396749009128,93,227047.7
2019-10,0.696405376344086,0.6740778670909392,0.7068477145664196,93,221226.21739130435
2019-11,0.689189247311828,0.6792097238148228,0.7079900365422767,93,205939.55
2019-12,0.7214612903225807,0.7056155967670179,0.7354259135292832,93,188166.09523809524
2020-01,0.7335688172043011,0.7139067188553826,0.7344315805940212,93,201074.86363636365
2020-02,0.7236260869565218,0.7001752920048057,0.7267780024932671,92,203588.3
2020-03,0.757994623655914,0.7467751316924295,0.7733471032804405,93,128484.68181818185
2020-04,0.7351258064516129,0.7345069374773863,0.7478823975102369,93,49409.590909090926
2020-05,0.730794623655914,0.7263210066231537,0.7440199068651007,93,62532.950000000004
2020-06,0.7123709677419355,0.7062020766904127,0.7268271361305875,93,72990.4090909091
2020-07,0.7106118279569893,0.7051617645965713,0.7215272311664865,93,64927.04347826088
2020-08,0.7165333333333334,0.7055406969232233,0.724905918845789,93,66664.38095238093
2020-09,0.7155129032258064,0.7038649962123739,0.7217500400280737,93,70426.76190476186
2020-10,0.7182741935483871,0.7030709180265866,0.721751725464185,93,70791.22727272725
2020-11,0.7396691176470588,0.7291719873400938,0.7477565639708875,68,56237.3
2020-12,0.7209494623655913,0.7119967498013273,0.7315592806547005,93,57503.045454545434
2021-01,0.7352580645161291,0.7303336064650899,0.7488845697825488,93,57419.8
2021-02,0.7299301075268817,0.7220538251198868,0.7388458391564282,93,61035.7
2021-03,0.7461150537634409,0.7359862831089361,0.752591663892671,93,68049.17391304347
2021-04,0.7457333333333334,0.7288778170265003,0.7419625645419677,93,73261.00000000001
2021-05,0.7347139784946237,0.7187758642401082,0.7317265666741328,93,73218.8
2021-06,0.7259725274725275,0.7089243835020205,0.722660341674554,91,72229.81818181818
2021-07,0.736963440860215,0.7147545782180339,0.7326319228462249,93,79230.7619047619
2021-08,0.7274827956989247,0.7001214902150257,0.7078268941725893,93,87345.04545454547
2021-09,0.701705376344086,0.6722394982734327,0.671425861767018,93,108491.09523809524
2021-10,0.7153215053763441,0.6874634881577927,0.6913202433680343,93,108340.71428571429
2021-11,0.727963440860215,0.7076328533669428,0.7189376695866077,93,101437.14285714283
2021-12,0.7360333333333333,0.7217472155208505,0.7387287621981006,93,87491.34782608695
2022-01,0.7414858695652174,0.7320269809495852,0.7510633975409222,92,79491.66666666663
2022-02,0.7177763440860215,0.6855195047992996,0.6902217902230157,93,100040.05
2022-03,0.6958602150537635,0.6625967740683697,0.6711630468031107,93,110185.91304347829
2022-04,0.6902204301075269,0.6548244449460605,0.6566784151125362,93,108231.80952380948
2022-05,0.7076623655913978,0.6811031535130916,0.6958627067206354,93,103198.85714285714
2022-06,0.6997870967741936,0.6702672140779452,0.6904074856483824,93,101841.54545454544
2022-07,0.6983279569892473,0.6699351451267516,0.6921073785002401,93,101621.6
2022-08,0.6825304347826087,0.654315694529666,0.6720098138889748,92,106827.30434782608
2022-09,0.6178462365591397,0.5805202926036896,0.5821641483019384,93,132111.42857142858
2022-10,0.6948193548387097,0.6562853863761325,0.6643304566585905,93,124842.66666666666
2022-11,0.691563440860215,0.6579441220741544,0.6634134394614006,93,118105.28571428571
2022-12,0.7089354838709677,0.6813387774220312,0.6943332697571134,93,101405.36363636363
2023-01,0.7270494623655914,0.7065425301233793,0.7143168770932729,93,108192.9090909091
2023-02,0.7077698924731182,0.6798133472012557,0.6859300505806042,93,120490.85
2023-03,0.7028430107526882,0.6820634950443858,0.6963938323723677,93,119776.86956521739
2023-04,0.6850043010752688,0.6571999725082831,0.6705555693358346,93,124816.05
2023-05,0.6705537634408603,0.6453805372854362,0.6678791300048333,93,118682.99999999999
2023-06,0.6582989247311828,0.6370682717165435,0.6595117608357033,93,113924.72727272726
2023-07,0.6530182795698924,0.6367662006556474,0.6636309962547283,93,112234.85
2023-08,0.651836559139785,0.6288803430397859,0.6497114187736535,93,120651.0434782609
2023-09,0.6404161290322581,0.6071599939223082,0.6210082386120692,93,140324.0
2023-10,0.6540326086956522,0.6240493022678754,0.6284679163038678,92,135624.81818181818
2023-11,0.6748434782608695,0.6465663817839774,0.6599014303923401,92,121528.42857142857
2023-12,0.6877423913043479,0.6607525123494105,0.6837886960468534,92,106195.15
2024-01,0.7021815217391305,0.6739152912974232,0.6883875051134347,92,100670.63636363635
2024-02,0.7032608695652174,0.6724510264849627,0.6809021149675082,92,111925.61904761904
2024-03,0.7046086956521739,0.6753289833748898,0.6910698668180028,92,107990.42857142857
2024-04,0.675579347826087,0.643676959481691,0.6611750479850979,92,115566.18181818184
2024-05,0.6525619565217391,0.6274441864583344,0.6371222778223791,92,112500.59090909091
2024-06,0.6690902173913044,0.6437325019867274,0.6568642737399423,92,106298.7
2024-07,0.6839108695652174,0.6587260911697479,0.6776784067925402,92,104323.0
2024-08,0.6619152173913043,0.6358069456757114,0.6550660721919663,92,111748.77272727272
2024-09,0.6523434782608696,0.6215722612401771,0.6334802647387884,92,130630.65
2024-10,0.6419717391304348,0.6209581211515695,0.6323360356065144,92,127123.78260869565
