income_quintile,mean_otp,mean_income,n_tracts,total_trips_7d,trip_weighted_otp
1,0.6624048161910995,32279.958333333332,48,480438,0.6516986089301312
2,0.6748875244993452,50515.936170212764,47,322944,0.6709536838611078
3,0.6808531001318829,61906.382978723406,47,264184,0.6826370780467514
4,0.6859600357818344,77247.63829787234,47,252379,0.6879925687721546
5,0.6771094972834336,107458.31914893616,47,330967,0.6717525353241266
