hood,muni,county,bus_weighted_otp,bus_route_count
St. Clair,"Pittsburgh city (Allegheny, PA)","Allegheny County, PA",0.72646625,1
Manchester,"Pittsburgh city (Allegheny, PA)","Allegheny County, PA",0.7265024750524574,4
South Shore,"Pittsburgh city (Allegheny, PA)","Allegheny County, PA",0.7279449974545837,21
Perry South,"Pittsburgh city (Allegheny, PA)","Allegheny County, PA",0.7301035996893985,5
West End,"Pittsburgh city (Allegheny, PA)","Allegheny County, PA",0.7321388413464062,5
Banksville,"Pittsburgh city (Allegheny, PA)","Allegheny County, PA",0.7328187500000001,1
Perry North,"Pittsburgh city (Allegheny, PA)","Allegheny County, PA",0.7367806987777873,4
Elliott,"Pittsburgh city (Allegheny, PA)","Allegheny County, PA",0.7440893863033027,12
Crafton Heights,"Pittsburgh city (Allegheny, PA)","Allegheny County, PA",0.7465510357980704,4
Allegheny West,"Pittsburgh city (Allegheny, PA)","Allegheny County, PA",0.7481900797997184,2
Arlington-Arlington Heights,"Pittsburgh city (Allegheny, PA)","Allegheny County, PA",0.7499313253012049,1
Allentown,"Pittsburgh city (Allegheny, PA)","Allegheny County, PA",0.7541561720567705,5
Beechview,"Pittsburgh city (Allegheny, PA)","Allegheny County, PA",0.7547167297979798,2
Fineview,"Pittsburgh city (Allegheny, PA)","Allegheny County, PA",0.7557734939759037,1
Duquesne Heights,"Pittsburgh city (Allegheny, PA)","Allegheny County, PA",0.7615112500000001,1
Chateau,"Pittsburgh city (Allegheny, PA)","Allegheny County, PA",0.7667533921828714,3
Mount Washington,"Pittsburgh city (Allegheny, PA)","Allegheny County, PA",0.7688656501567446,7
Fairywood,"Pittsburgh city (Allegheny, PA)","Allegheny County, PA",0.7843629629629628,1
Chartiers City,"Pittsburgh city (Allegheny, PA)","Allegheny County, PA",0.7843629629629629,1
Brookline,"Pittsburgh city (Allegheny, PA)","Allegheny County, PA",0.7865803651358544,2
Windgap,"Pittsburgh city (Allegheny, PA)","Allegheny County, PA",0.7886454475617902,2
Overbrook,"Pittsburgh city (Allegheny, PA)","Allegheny County, PA",0.789404938271605,1
Sheraden,"Pittsburgh city (Allegheny, PA)","Allegheny County, PA",0.7902601476314554,6
