geoid,bus_weighted_otp,bus_route_count
42003468700,0.7019801819485733,5
42003040500,0.6319172736409622,19
42003429600,0.712666265060241,1
42003512000,0.6660669930044798,3
42003563900,0.645687622529289,4
42003271600,0.6943732211876508,3
42003480200,0.7006710843373495,1
42003450800,0.7360734939759035,1
42003488200,0.6521495447662806,4
42003459102,0.69710987654321,1
42003421100,0.6453189014687374,3
42003424000,0.6371345551736933,3
42003464300,0.7735228540431373,7
42003486700,0.6253890443205555,4
42003192000,0.7600308838912133,2
42003561400,0.6411185313430887,6
42003473602,0.7578604991749175,2
42003518001,0.6354936591007365,4
42003515100,0.6576247084116773,7
42003191100,0.7615112500000001,1
42003525200,0.5961602409638553,1
42003151600,0.6326711099406767,5
42003563201,0.7065566073812345,14
42003521402,0.6078461344268425,2
42003101100,0.6569558945768097,3
42003550900,0.7123971259133137,6
42003980600,0.7667533921828714,3
42003563800,0.7563674698795181,1
42003981000,0.6557864941343651,4
42003488600,0.6947742103984027,5
42003140500,0.6412117734575848,19
42003111400,0.6585104851829839,4
42003413201,0.6531727431464991,2
42003450700,0.7360734939759036,1
42003110200,0.6262562671026745,4
42003020300,0.6512412433590501,5
42003290100,0.7019088665819883,2
42003562600,0.7403959076874257,13
42003414102,0.6921698795180723,1
42003435000,0.7352145804251636,2
42003070500,0.6855339551447261,18
42003040200,0.6309157426913456,18
42003120900,0.6509377647605751,23
42003478200,0.7044553495224548,3
42003160900,0.7010209126251007,5
42003402000,0.6431036144578315,1
42003416000,0.6194018618762598,2
42003491200,0.7121536585365854,1
42003486800,0.6451594313664671,4
42003526201,0.5777734939759036,2
42003515401,0.6073699982445632,3
42003453004,0.6510407407407406,1
42003434000,0.7273329799688425,2
42003401200,0.6431036144578315,1
42003458001,0.6919613149973688,3
42003551200,0.7307321432519067,2
42003241300,0.7221319415990878,6
42003060300,0.653922704228483,7
42003080600,0.6472643401288709,7
42003980000,0.6495418410953129,3
42003499400,0.7121536585365854,1
42003560400,0.6428349360013296,20
42003090300,0.6627525815148139,6
42003463900,0.6978822477146023,2
42129802200,0.6078461344268427,2
42003523800,0.5961602409638553,1
42003980900,0.7290677048936487,2
42003457100,0.682513352936794,2
42003090100,0.6506553533722519,2
42003030500,0.6141106439195301,7
42003300100,0.6912382053993941,4
42003524000,0.5961602409638553,1
42003459201,0.6680898832174533,3
42003473601,0.7479581912600431,3
42003469000,0.7014642862143807,2
42003526302,0.6679280487804878,1
42003070600,0.6201569894135859,4
42003429700,0.6993016797732005,4
42003473500,0.7328187500000001,1
42003262000,0.7148746509862519,2
42003492900,0.7121536585365854,1
42003564400,0.6996135802469136,1
42003290400,0.706110406335374,3
42003565300,0.6623096385542169,1
42007604200,0.7563674698795181,1
42003564700,0.6424420502317061,18
42003523501,0.5783364846343967,2
42003521500,0.6065595607947739,3
42003270300,0.7024095644185764,3
42003564800,0.6441250728100174,11
42003431100,0.7133854599251487,4
42003470300,0.7361296707705399,4
42003414200,0.6381056402439024,2
42003513800,0.6080620230472086,3
42003051100,0.6691469879518073,1
42003100500,0.6828819853902613,2
42003191800,0.7894049382716051,1
42003430100,0.7659469879518073,1
42003523100,0.6937916596652174,3
42003486900,0.6557052412123183,3
42003475101,0.7328187500000001,1
42129800700,0.6164829268292683,1
42003191400,0.7651224173819743,2
42003202200,0.7982633360213905,2
42003459101,0.698530487804878,1
42003471000,0.6825133529367939,2
42003140200,0.6326552516977687,7
42003141200,0.606271846780607,8
42003562400,0.7062392851516849,4
42003484300,0.6287555899783447,4
42003460002,0.7017669068697606,3
42003080400,0.6396053428216132,8
42003310200,0.6571831634284628,2
42003468900,0.6748740740740742,1
42003981100,0.5870956138278605,2
42003473100,0.7349492078112638,3
42003429202,0.6559740303080338,4
42003451300,0.7378888458964299,2
