hood,muni,county,weighted_otp,route_count,stop_count,total_trips_7d,unweighted_otp,otp_gap,bus_weighted_otp,bus_route_count
East Carnegie,"Pittsburgh city (Allegheny, PA)","Allegheny County, PA",0.6748740740740741,1,4,676,0.6748740740740741,0.0,0.6748740740740741,1
Westwood,"Pittsburgh city (Allegheny, PA)","Allegheny County, PA",0.6769044312494761,2,21,3387,0.6944104938271605,-0.01750606257768439,0.6769044312494761,2
Garfield,"Pittsburgh city (Allegheny, PA)","Allegheny County, PA",0.6793682392828592,4,35,6882,0.6713839406406112,0.007984298642247922,0.6793682392828592,4
Morningside,"Pittsburgh city (Allegheny, PA)","Allegheny County, PA",0.6834458226475639,2,36,10267,0.6818392594769321,0.0016065631706317918,0.6834458226475639,2
Knoxville,"Pittsburgh city (Allegheny, PA)","Allegheny County, PA",0.6912382053993941,4,29,7134,0.7073924661144578,-0.016154260715063762,0.6912382053993941,4
East Allegheny,"Pittsburgh city (Allegheny, PA)","Allegheny County, PA",0.6952653699786341,11,28,12657,0.6937995244837443,0.001465845494889817,0.6952653699786341,11
Marshall-Shadeland,"Pittsburgh city (Allegheny, PA)","Allegheny County, PA",0.6955869437324317,4,43,11577,0.712803787099618,-0.01721684336718632,0.6955869437324317,4
Swisshelm Park,"Pittsburgh city (Allegheny, PA)","Allegheny County, PA",0.6965384217002691,2,3,165,0.6953158783281272,0.0012225433721418932,0.6965384217002691,2
Allegheny Center,"Pittsburgh city (Allegheny, PA)","Allegheny County, PA",0.6975530262335264,13,27,22289,0.6967911639051516,0.0007618623283748294,0.6975530262335264,13
Central Business District,"Pittsburgh city (Allegheny, PA)","Allegheny County, PA",0.7012162626770866,74,70,85641,0.6908535607105907,0.010362701966495913,0.6880237258780711,71
Oakwood,"Pittsburgh city (Allegheny, PA)","Allegheny County, PA",0.7019801819485733,5,9,2182,0.7169090904539568,-0.014928908505383531,0.7019801819485733,5
South Side Flats,"Pittsburgh city (Allegheny, PA)","Allegheny County, PA",0.7049371052491906,6,44,27467,0.6882100401606426,0.016727065088548043,0.7049371052491906,6
Brighton Heights,"Pittsburgh city (Allegheny, PA)","Allegheny County, PA",0.7058870231373684,5,53,16734,0.7023023067881281,0.003584716349240291,0.7058870231373684,5
Summer Hill,"Pittsburgh city (Allegheny, PA)","Allegheny County, PA",0.708249090774513,7,23,5046,0.6950196213425129,0.013229469432000096,0.708249090774513,7
South Side Slopes,"Pittsburgh city (Allegheny, PA)","Allegheny County, PA",0.708741460148697,4,39,19143,0.7283126995481928,-0.019571239399495788,0.708741460148697,4
California-Kirkbride,"Pittsburgh city (Allegheny, PA)","Allegheny County, PA",0.7090490440216882,5,16,6684,0.7073707405230679,0.0016783034986203038,0.7090490440216882,5
Northview Heights,"Pittsburgh city (Allegheny, PA)","Allegheny County, PA",0.7099750265674815,2,22,4705,0.6896981927710844,0.02027683379639711,0.7099750265674815,2
Carrick,"Pittsburgh city (Allegheny, PA)","Allegheny County, PA",0.7105361272679406,5,44,21242,0.7719364741930687,-0.06140034692512808,0.7034964858568452,3
Esplen,"Pittsburgh city (Allegheny, PA)","Allegheny County, PA",0.7139341328715265,4,9,5142,0.713739575692109,0.0001945571794175205,0.7139341328715265,4
Ridgemont,"Pittsburgh city (Allegheny, PA)","Allegheny County, PA",0.713946913580247,1,2,176,0.713946913580247,0.0,0.713946913580247,1
