quintile,n_routes,avg_otp,min_otp,max_otp,total_riders,avg_riders,ridership_share_pct,subset
Q1,19,0.6141561294540699,0.5491942857142856,0.6452271428571429,35732.16022412505,1880.6400117960554,29.62830180766522,all
Q2,19,0.6628276778903781,0.64818,0.6735231884057972,23893.016420918026,1257.5271800483172,19.81155063601516,all
Q3,19,0.6934347309770591,0.68025,0.7075457142857142,20419.661119809156,1074.719006305745,16.9315227143608,all
Q4,18,0.7253702864044169,0.7096314285714286,0.7501614285714285,12292.111415177973,682.8950786209984,10.192341705006937,all
Q5,18,0.8094206636760984,0.7549028571428572,0.8854285714285713,28264.496208516117,1570.2497893620066,23.436283136951882,all
Q1,18,0.6124299620427881,0.5491942857142856,0.6452246376811595,35432.65901428934,1968.4810563494077,32.66234008563328,bus
Q2,18,0.6606615608465609,0.6452271428571429,0.6708271428571428,23438.891932916606,1302.1606629398113,21.606311263136888,bus
Q3,18,0.6893225201288246,0.6735217391304348,0.7030159420289855,14337.037320436339,796.5020733575743,13.216089387806287,bus
Q4,18,0.7183610497097389,0.7032728571428571,0.7373434782608695,16206.93055544673,900.3850308581517,14.939784150344543,bus
Q5,17,0.7888455657045427,0.7427257142857143,0.8854285714285713,19066.172695010755,1121.5395702947503,17.575475113078998,bus
