month,system_late,system_total,system_otp,route_count
2019-01,1221275.3617999998,4221271.999999999,0.7106854612069538,93
2019-02,1290481.0368000001,4188954.0,0.6919323924779311,93
2019-03,1225837.5814000003,4291092.000000001,0.7143296901115147,93
2019-04,1465175.5077,4612104.0,0.6823194993651487,93
2019-05,1559980.5294,4529372.0,0.65558569059905,93
2019-06,1356964.6351,3968911.0,0.6581015207698031,93
2019-07,1262874.4304,4387430.000000001,0.7121607796819551,93
2019-08,1400241.4615,4453243.000000001,0.685568144046934,93
2019-09,1410240.1505,4540954.0,0.6894396749009128,93
2019-10,1491618.3381999999,5088203.0,0.7068477145664196,93
2019-11,1202728.0093999999,4118791.0,0.7079900365422767,93
2019-12,1045461.3278000001,3951488.0,0.7354259135292832,93
2020-01,1174780.9418000001,4423647.000000001,0.7344315805940212,93
2020-02,1112496.0399,4071766.0,0.7267780024932671,92
2020-03,640671.3570000002,2826663.0000000005,0.7733471032804405,93
2020-04,274054.6072000001,1087011.0000000005,0.7478823975102369,93
2020-05,320143.8073,1250659.0,0.7440199068651007,93
2020-06,438657.9799000001,1605789.0000000002,0.7268271361305875,93
2020-07,415849.51210000005,1493322.0000000002,0.7215272311664865,93
2020-08,385118.5090999999,1399951.9999999998,0.724905918845789,93
2020-09,411521.1172999998,1478961.9999999993,0.7217500400280737,93
2020-10,433345.81049999985,1557406.9999999995,0.721751725464185,93
2020-11,283709.7957,1124746.0,0.7477565639708875,68
2020-12,339595.4954999999,1265066.9999999995,0.7315592806547005,93
2021-01,288379.9556,1148396.0,0.7488845697825488,93
2021-02,318794.5403,1220714.0,0.7388458391564282,93
2021-03,387226.4564999999,1565130.9999999998,0.752591663892671,93
2021-04,415889.7723000001,1611742.0000000005,0.7419625645419677,93
2021-05,392853.17720000003,1464376.0,0.7317265666741328,93
2021-06,440708.24809999997,1589055.9999999998,0.722660341674554,91
2021-07,444859.30569999997,1663845.9999999998,0.7326319228462249,93
2021-08,561437.2106000001,1921591.0000000002,0.7078268941725893,93
2021-09,748594.7306000001,2278313.0,0.671425861767018,93
2021-10,702294.2917000001,2275155.0,0.6913202433680343,93
2021-11,598713.3549999999,2130179.9999999995,0.7189376695866077,93
2021-12,525756.3730999999,2012300.9999999998,0.7387287621981006,93
2022-01,415556.09389999975,1669324.999999999,0.7510633975409222,92
2022-02,619804.5519,2000801.0,0.6902217902230157,93
2022-03,833363.5984000001,2534276.0000000005,0.6711630468031107,93
2022-04,780324.6439999997,2272867.999999999,0.6566784151125362,93
2022-05,659119.0427,2167176.0,0.6958627067206354,93
2022-06,693646.3626999999,2240513.9999999995,0.6904074856483824,93
2022-07,625770.8165,2032432.0,0.6921073785002401,93
2022-08,805881.071,2457028.0,0.6720098138889748,92
2022-09,1159218.7168,2774340.0,0.5821641483019384,93
2022-10,880023.4990999999,2621695.9999999995,0.6643304566585905,93
2022-11,834805.6898999999,2480211.0,0.6634134394614006,93
2022-12,681917.4105,2230918.0,0.6943332697571134,93
2023-01,679995.5392000001,2380244.0,0.7143168770932729,93
2023-02,756851.1033,2409817.0,0.6859300505806042,93
2023-03,836394.9158,2754868.0,0.6963938323723677,93
2023-04,822399.0506,2496321.0,0.6705555693358346,93
2023-05,867176.2266999998,2611025.9999999995,0.6678791300048333,93
2023-06,853380.6553,2506344.0,0.6595117608357033,93
2023-07,755046.4936,2244697.0,0.6636309962547283,93
2023-08,972041.7054000002,2774974.0000000005,0.6497114187736535,93
2023-09,1063632.7985,2806480.0,0.6210082386120692,93
2023-10,1108557.3686000002,2983746.0,0.6284679163038678,92
2023-11,867964.5391999999,2552097.0,0.6599014303923401,92
2023-12,671602.1371,2123903.0,0.6837886960468534,92
2024-01,690145.0194999998,2214753.9999999995,0.6883875051134347,92
2024-02,750019.7947,2350438.0,0.6809021149675082,92
2024-03,700591.4471,2267799.0,0.6910698668180028,92
2024-04,861447.5322000002,2542456.0000000005,0.6611750479850979,92
2024-05,898127.0798,2475013.0,0.6371222778223791,92
2024-06,729497.6325000001,2125974.0,0.6568642737399423,92
2024-07,739762.2224999999,2295106.0,0.6776784067925402,92
2024-08,848010.7482999999,2458473.0,0.6550660721919663,92
2024-09,957574.2251,2612613.0,0.6334802647387884,92
2024-10,1074993.1793,2923847.0,0.6323360356065144,92
