model,feature,coefficient,std_error,p_value,beta_weight,r_squared,adj_r_squared,n
base_6feat,intercept,0.7852125297570721,0.019220680107194993,0.0,NaN,0.4990334587309794,0.4636711146414014,92
base_6feat,stop_count,-0.0005712955596763155,0.00013137305417698858,0.000037846490511750375,-0.46136858013825754,0.4990334587309794,0.4636711146414014,92
base_6feat,span_km,-0.004923698611610301,0.0012456525667580297,0.00015922690176584098,-0.4801581898330393,0.4990334587309794,0.4636711146414014,92
base_6feat,is_rail,0.14438631868361115,0.031577854174191546,0.000016253203847238495,0.3793658685549644,0.4990334587309794,0.4636711146414014,92
base_6feat,is_premium_bus,0.009014578760361268,0.018392864678950203,0.6253167664991834,0.0593238630739654,0.4990334587309794,0.4636711146414014,92
base_6feat,weekend_ratio,-0.007541720063257479,0.021494338348921168,0.7265539512831352,-0.03574515248190909,0.4990334587309794,0.4636711146414014,92
base_6feat,n_munis,0.00769438044938229,0.0025621699957137684,0.0035097014121046044,0.35933368320362086,0.4990334587309794,0.4636711146414014,92
expanded_7feat,intercept,0.8419407429271955,0.040445504228712244,0.0,NaN,0.5136702453090959,0.4731427657515206,92
expanded_7feat,stop_count,-0.0005301345430922966,0.0001327563335877553,0.00013903103612511458,-0.42812764301426587,0.5136702453090959,0.4731427657515206,92
expanded_7feat,span_km,-0.004835967911211382,0.0012358367139300571,0.00018438883403404382,-0.47160270794448544,0.5136702453090959,0.4731427657515206,92
expanded_7feat,is_rail,0.1622675599268815,0.033256951538397625,4.997854810229185e-6,0.42634769257361416,0.5136702453090959,0.4731427657515206,92
expanded_7feat,is_premium_bus,0.012112655656859166,0.018333566069540026,0.510624188840743,0.07971193604844695,0.5136702453090959,0.4731427657515206,92
expanded_7feat,weekend_ratio,0.012936423717285478,0.024894272152885127,0.6046710119750804,0.06131418754161832,0.5136702453090959,0.4731427657515206,92
expanded_7feat,n_munis,0.007394606438221688,0.00254643426209701,0.004707685816833562,0.34533399859383396,0.5136702453090959,0.4731427657515206,92
expanded_7feat,log_riders,-0.010495344569331736,0.006600846125011125,0.11559167120156144,-0.15924139412687632,0.5136702453090959,0.4731427657515206,92
ridership_only,intercept,0.8010778210460471,0.04413797632483089,0.0,NaN,0.2323413472440986,0.21509059100239292,92
ridership_only,log_riders,-0.015867649233801073,0.0064036437835888645,0.015102907820176092,-0.2407530852193479,0.2323413472440986,0.21509059100239292,92
ridership_only,is_rail,0.1881143484818739,0.036978920061148585,2.003664304472963e-6,0.49425848549996765,0.2323413472440986,0.21509059100239292,92
bus_base,intercept,0.7843077483426315,0.01948952633794202,0.0,NaN,0.3918968760977185,0.35526415779035214,89
bus_base,stop_count,-0.0005699968023862846,0.00013266432619425013,0.00004688359177773549,-0.4977669455826688,0.3918968760977185,0.35526415779035214,89
bus_base,span_km,-0.0050218999678341755,0.0012680913462497492,0.00015751851682055396,-0.5383238501191242,0.3918968760977185,0.35526415779035214,89
bus_base,is_premium_bus,0.010330385528102047,0.018695934745961453,0.5820585439985433,0.07459723774115239,0.3918968760977185,0.35526415779035214,89
bus_base,weekend_ratio,-0.005598086035386958,0.02196285291354072,0.799439458805359,-0.02903164376948908,0.3918968760977185,0.35526415779035214,89
bus_base,n_munis,0.007844993581654644,0.002598906519080514,0.0033727125761984222,0.40403998117410034,0.3918968760977185,0.35526415779035214,89
bus_expanded,intercept,0.8417685791708988,0.04082614026920403,0.0,NaN,0.4102494296248467,0.3670969488656891,89
bus_expanded,stop_count,-0.0005281484978768118,0.0001340265449312568,0.00017008354499203904,-0.46122164808926847,0.4102494296248467,0.3670969488656891,89
bus_expanded,span_km,-0.004939264687320987,0.0012574653669888297,0.00017779377139626185,-0.5294657401116645,0.4102494296248467,0.3670969488656891,89
bus_expanded,is_premium_bus,0.013603299367656401,0.01863654428231081,0.4675155116537528,0.09823143136648949,0.4102494296248467,0.3670969488656891,89
bus_expanded,weekend_ratio,0.0154321572525206,0.0254329164051621,0.5456740284956938,0.08003108368071851,0.4102494296248467,0.3670969488656891,89
bus_expanded,n_munis,0.007555875125915798,0.002581300262879184,0.004425539226099229,0.38914954000318863,0.4102494296248467,0.3670969488656891,89
bus_expanded,log_riders,-0.010656987924016,0.0066713462648407785,0.11401727121306005,-0.1705802015962893,0.4102494296248467,0.3670969488656891,89
