city,month,upt,index
Buffalo,2022-02,957374,46.72803745372949
Buffalo,2022-03,1280271,62.48817206120463
Buffalo,2022-04,1137699,55.52943936546281
Buffalo,2022-05,1236130,60.3337138231022
Buffalo,2022-06,1175225,57.361029040436904
Buffalo,2022-07,1141117,55.69626699188347
Buffalo,2022-08,1167247,56.971634422653416
Buffalo,2022-09,1374467,67.08574230647085
Buffalo,2022-10,1407759,68.71067657762252
Buffalo,2022-11,1188313,57.99983535248885
Buffalo,2022-12,1027626,50.15693576013787
Buffalo,2023-01,1163538,56.790603507968164
Buffalo,2023-02,1100530,53.71527434310198
Buffalo,2023-03,1411565,68.8964419217293
Buffalo,2023-04,1219595,59.526664436658216
Buffalo,2023-05,1434254,70.00385912941165
Buffalo,2023-06,1248719,60.94816466833613
Buffalo,2023-07,1204596,58.79458498414698
Buffalo,2023-08,1322458,64.54725839116604
Buffalo,2023-09,1440907,70.328582417468
Buffalo,2023-10,1473830,71.93550633339754
Buffalo,2023-11,1242673,60.65306817057743
Buffalo,2023-12,1167309,56.974660552799136
Buffalo,2024-01,1170737,57.14197626472717
Buffalo,2024-02,1224447,59.76348352483639
Buffalo,2024-03,1348396,65.8132545801944
Buffalo,2024-04,1298782,63.39166714390583
Buffalo,2024-05,1452328,70.88602487544058
Buffalo,2024-06,1245437,60.78797500481578
Buffalo,2024-07,1293173,63.117899982819395
Buffalo,2024-08,1305117,63.70086931282767
Buffalo,2024-09,1510856,73.74269173300291
Buffalo,2024-10,1631452,79.6288077177382
Buffalo,2024-11,1272509,62.10932009038043
Buffalo,2024-12,1151655,56.210611499554865
Buffalo,2025-01,1212598,59.18515100714817
Buffalo,2025-02,1209220,59.02027572275702
Buffalo,2025-03,1445580,70.55666477506418
Buffalo,2025-04,1333855,65.10352944392093
Buffalo,2025-05,1425215,69.56267863929571
Buffalo,2025-06,1285876,62.761743988088114
Buffalo,2025-07,1330482,64.93889820228345
Buffalo,2025-08,1286468,62.7906386501247
Buffalo,2025-09,1564486,76.36029430905315
Buffalo,2025-10,1613104,78.73326842880721
Buffalo,2025-11,1258655,61.433126428463595
Buffalo,2025-12,1397806,68.22488507213254
Cleveland,2019-01,2490386,92.89069550763752
Cleveland,2019-02,2554483,95.28149553219316
Cleveland,2019-03,2707018,100.97100801710815
Cleveland,2019-04,2812432,104.90292049021154
Cleveland,2019-05,2821061,105.22477975682139
Cleveland,2019-06,2453145,91.50161670965201
Cleveland,2019-07,2617300,97.6245519177106
Cleveland,2019-08,2811226,104.85793703030527
Cleveland,2019-09,2868498,106.99416647952052
Cleveland,2019-10,3024778,112.82336640834023
Cleveland,2019-11,2584017,96.38310540356353
Cleveland,2019-12,2427481,90.54435674693619
Cleveland,2020-01,2448774,91.33857964228017
Cleveland,2020-02,2345065,87.47026318836436
Cleveland,2020-03,1772650,66.11934511020124
Cleveland,2020-04,911722,34.00697349311082
Cleveland,2020-05,1035887,38.6382929784058
Cleveland,2020-06,1158302,43.204337957203236
Cleveland,2020-07,1215418,45.33474865041073
Cleveland,2020-08,1208718,45.08484053982017
Cleveland,2020-09,1245296,46.44918962477261
Cleveland,2020-10,1284868,47.92521406541283
Cleveland,2020-11,1137283,42.42033518459087
Cleveland,2020-12,1098778,40.98410954305515
Cleveland,2021-01,1099431,41.00846625890822
Cleveland,2021-02,1012556,37.768053257780686
Cleveland,2021-03,1267637,47.282502624579124
Cleveland,2021-04,1265736,47.2115958606638
Cleveland,2021-05,1244535,46.42080453937568
Cleveland,2021-06,1282877,47.85095032687764
Cleveland,2021-07,1312657,48.961735928875655
Cleveland,2021-08,1415721,52.80599406468237
Cleveland,2021-09,1540511,57.46062587372647
Cleveland,2021-10,1583676,59.070668201135625
