city,avg_2019,avg_2024,recovery_pct
Cleveland,2680985.4166666665,2074065.4166666667,77.36205515229553
Baltimore,7838704.166666667,5708616.333333333,72.82602088249067
Portland,8089219.0,5452481.0,67.40429453078227
Buffalo,2048821.3333333333,1325407.4166666667,64.69121514418697
Denver,8767289.666666666,5357666.416666667,61.10972284897321
Minneapolis,6493936.416666667,3963204.5833333335,61.02930994460897
Pittsburgh,5345788.5,3078408.8333333335,57.585683259510425
St. Louis,3005852.3333333335,1730616.75,57.574909146679076
