model,feature,coefficient,std_error,p_value,beta_weight,r_squared,adj_r_squared,n
base,intercept,0.7427350032020816,0.028464805614569422,0.0,NaN,0.3014282757298057,0.24015005430259573,63
base,stop_count,-0.0005677866528067255,0.00015930131614850647,0.0007463648513565957,-0.5491791593282829,0.3014282757298057,0.24015005430259573,63
base,span_km,-0.0034584579612313166,0.0013891896949909993,0.01573224027692377,-0.40260144117710267,0.3014282757298057,0.24015005430259573,63
base,is_premium_bus,-0.00034615256526248343,0.025026144156552337,0.9890126013819334,-0.0027354263056763506,0.3014282757298057,0.24015005430259573,63
base,weekend_ratio,-0.0009565010113110666,0.030314176608893195,0.9749388097194953,-0.0052467178900634116,0.3014282757298057,0.24015005430259573,63
base,n_munis,0.009139582125475441,0.002759541536164857,0.0016120348633599235,0.5444429105855356,0.3014282757298057,0.24015005430259573,63
base_plus_iri,intercept,0.8470059134942114,0.06069435076328531,0.0,NaN,0.34511143234884034,0.2749448001005018,63
base_plus_iri,stop_count,-0.0005111539517961503,0.00015834606996275,0.0020852909465374214,-0.49440242412724494,0.34511143234884034,0.2749448001005018,63
base_plus_iri,span_km,-0.004638483218516188,0.0014880366945122818,0.002880566115722738,-0.5399689831665758,0.34511143234884034,0.2749448001005018,63
base_plus_iri,is_premium_bus,-0.0012245772379518094,0.024450661002781083,0.960233977110847,-0.009677064757517537,0.34511143234884034,0.2749448001005018,63
base_plus_iri,weekend_ratio,0.009756961388392452,0.030126342136399923,0.7472443966710656,0.05352009382506372,0.34511143234884034,0.2749448001005018,63
base_plus_iri,n_munis,0.008727340358020894,0.002704044906934779,0.002088777685826937,0.519885758556421,0.34511143234884034,0.2749448001005018,63
base_plus_iri,weighted_iri,-0.0006086775519069049,0.00031493430469565825,0.058334749399763686,-0.2762509673519011,0.34511143234884034,0.2749448001005018,63
width_base_plus_lanes,intercept,1.4241234069564865,0.1062742623703676,0.0,NaN,0.6043767648836895,0.5619885611212276,63
width_base_plus_lanes,stop_count,-0.0002981971300382042,0.00012776240696918935,0.02320953629221645,-0.28842461931600344,0.6043767648836895,0.5619885611212276,63
width_base_plus_lanes,span_km,-0.0035243981598787255,0.0010547757886431573,0.0014895279100817227,-0.4102775845058767,0.6043767648836895,0.5619885611212276,63
width_base_plus_lanes,is_premium_bus,0.02555725799870079,0.019408222900878076,0.1932604342379527,0.2019629575114994,0.6043767648836895,0.5619885611212276,63
width_base_plus_lanes,weekend_ratio,0.030779364678911538,0.023520423286842167,0.19600742639323432,0.1688347857408717,0.6043767648836895,0.5619885611212276,63
width_base_plus_lanes,n_munis,0.0011452903870080278,0.0024248721046712194,0.6385412626878317,0.06822469815444088,0.6043767648836895,0.5619885611212276,63
width_base_plus_lanes,penndot_lanes,-0.31392692875352657,0.047939230343633905,1.923147752158627e-8,-0.6840350263543883,0.6043767648836895,0.5619885611212276,63
width_base_plus_lanes_iri,intercept,1.469422422922309,0.10830750688430034,0.0,NaN,0.6227644363360753,0.574752637324303,63
width_base_plus_lanes_iri,stop_count,-0.0002702043588598208,0.00012704270373811854,0.037930981627564364,-0.2613492267067894,0.6227644363360753,0.574752637324303,63
width_base_plus_lanes_iri,span_km,-0.004294908022492039,0.0011408694608504167,0.0004074606776942602,-0.49997316114918733,0.6227644363360753,0.574752637324303,63
width_base_plus_lanes_iri,is_premium_bus,0.02410833933674565,0.019143808717992792,0.21323012602605296,0.190513063388392,0.6227644363360753,0.574752637324303,63
width_base_plus_lanes_iri,weekend_ratio,0.036724617512106206,0.023457914122760642,0.12318927698529514,0.2014464233993794,0.6227644363360753,0.574752637324303,63
width_base_plus_lanes_iri,n_munis,0.0011449722968379353,0.0023892793363892175,0.6336874673493171,0.06820574959249831,0.6227644363360753,0.574752637324303,63
width_base_plus_lanes_iri,penndot_lanes,-0.30333860489956516,0.047676181721274566,4.154746169326984e-8,-0.6609634650351622,0.6227644363360753,0.574752637324303,63
width_base_plus_lanes_iri,weighted_iri,-0.0003985896037892694,0.00024343755029783206,0.10726947246138208,-0.18090163384247449,0.6227644363360753,0.574752637324303,63
bus_base,intercept,0.7427350032020816,0.028464805614569422,0.0,NaN,0.3014282757298057,0.24015005430259573,63
bus_base,stop_count,-0.0005677866528067255,0.00015930131614850647,0.0007463648513565957,-0.5491791593282829,0.3014282757298057,0.24015005430259573,63
bus_base,span_km,-0.0034584579612313166,0.0013891896949909993,0.01573224027692377,-0.40260144117710267,0.3014282757298057,0.24015005430259573,63
bus_base,is_premium_bus,-0.00034615256526248343,0.025026144156552337,0.9890126013819334,-0.0027354263056763506,0.3014282757298057,0.24015005430259573,63
bus_base,weekend_ratio,-0.0009565010113110666,0.030314176608893195,0.9749388097194953,-0.0052467178900634116,0.3014282757298057,0.24015005430259573,63
