route_id,route_name,mode,avg_otp,weighted_iri,weighted_opi,poor_share,penndot_lanes,match_rate,penndot_match_rate,n_segments,stop_count,span_km
71A,NEGLEY,BUS,0.6446518072289156,215.16142820481232,86.46985012568432,0.05832202696157646,2.3675173703901655,0.5416666666666666,0.9987373737373737,16,72,5.918423835705078
71B,HIGHLAND PARK,BUS,0.5879493975903615,207.99360377347307,85.11722389072845,0.1661939532281611,2.4966240849301484,0.6590141796083727,0.9304523970290345,34,107,8.00855276887158
71C,POINT BREEZE,BUS,0.6080518072289156,207.7793233227371,74.73827496113684,0.40109162991876807,2.3501546808372273,0.6904109589041096,0.8458904109589042,36,100,6.65374995721062
71D,HAMILTON,BUS,0.6559621951219512,205.60862438912548,68.69774473212519,0.21785731036284897,2.410149014119294,0.6244218316373727,0.9417206290471786,18,93,6.992827708097283
82,LINCOLN,BUS,0.6079463414634146,201.1284764943118,80.35024152062906,0.21227969521073645,2.1414438118332324,0.34549071618037136,0.946949602122016,35,136,10.139159614402985
41,BOWER HILL,BUS,0.76378875,198.50348367425772,74.9376520223865,0.550721581637362,2.114007107381401,0.3333333333333333,0.8184684684684684,39,138,14.172647691300227
88,PENN,BUS,0.6430156626506024,195.9589950220574,77.67272276638899,0.3335670573169391,2.4310777767715273,0.8658204895738894,0.9555757026291931,43,70,7.702739777369081
86,LIBERTY,BUS,0.628733734939759,190.1662068696119,79.35696213720409,0.3232159303296563,2.3681130809527495,0.47309833024118736,0.9134199134199135,40,142,9.903352732145715
87,FRIENDSHIP,BUS,0.6755170731707317,186.77605067068544,73.94255509763988,0.39565504881262076,2.3590570060516436,0.3610366398570152,0.8534405719392315,31,175,8.37811622720184
57,HAZELWOOD,BUS,0.661587951807229,185.74070958764983,79.95211454496622,0.33627617209413513,2.414998070911711,0.521792510742787,0.7648864333947207,39,79,8.74557903837226
61A,NORTH BRADDOCK,BUS,0.5899975903614457,184.60417537483715,84.14174779400382,0.15131332415749024,2.265193672572023,0.4977460555972953,0.8268219383921863,53,187,12.970818848103756
75,ELLSWORTH,BUS,0.6881614457831325,179.92202845171886,76.51623663483093,0.30012598400911805,2.2131500359466885,0.37624821683309556,0.8002853067047075,38,150,10.999978046254409
81,OAK HILL,BUS,0.6691469879518073,179.1442839401981,84.85903592222579,0.2328444700299514,2.3344424626360785,0.49114441416893734,0.752724795640327,42,93,4.068262145780921
83,BEDFORD HILL,BUS,0.6541397590361445,179.1442839401981,84.85903592222579,0.2328444700299514,2.325813138223222,0.4206393718452047,0.7341559169938306,42,106,4.068262145780921
26,CHARTIERS,BUS,0.80436125,178.73739663293725,84.40175679147848,0.3996031011991899,1.9638618220453075,0.3875262789067975,0.7386124737210932,40,81,5.737168533918969
64,LAWRENCEVILLE - WATERFRONT,BUS,0.680559756097561,177.46281864707757,84.71258653646652,0.05897718244742112,2.3129496402877696,0.5009322560596644,0.6799254195152269,33,110,8.000338207867376
27,FAIRYWOOD,BUS,0.7843629629629629,177.39290330634728,84.40175679147848,0.3885794573453061,1.9653652480785593,0.4596235579842137,0.7905282331511839,41,105,6.682186660737685
