route_id,change_month,old_pick,new_pick,trips_before,trips_after,trip_delta,otp_before,otp_after,otp_delta,n_before,n_after,event_type,is_covid
16,2019-07,1903,1906,139,139,0,0.6494,0.7174333333333335,0.0680333333333335,3,3,neutral,false
16,2019-09,1906,1909,139,139,0,0.7071,0.7176333333333332,0.010533333333333283,3,3,neutral,false
16,2019-12,1909,1911,139,139,0,0.7176333333333332,0.7761666666666667,0.05853333333333344,3,3,neutral,false
16,2020-03,1911,2003,139,417,278,0.7761666666666667,0.8062666666666667,0.030100000000000016,3,3,increase,true
16,2020-04,2003,2003EMERG,417,228,-189,0.7832,0.7936666666666667,0.010466666666666735,3,3,cut,true
16,2020-09,2003EMERG,2009,228,139,-89,0.7696,0.7522666666666668,-0.0173333333333332,3,3,cut,false
16,2020-12,2009,2011,139,130,-9,0.7522666666666668,0.773,0.02073333333333327,3,3,cut,false
17,2019-04,1811,1903,66,66,0,0.7094666666666667,0.6463333333333333,-0.06313333333333337,3,3,neutral,false
17,2019-07,1903,1906,66,66,0,0.6463333333333333,0.7464333333333334,0.10010000000000008,3,3,neutral,false
17,2019-09,1906,1909,66,66,0,0.6947000000000001,0.7515333333333333,0.05683333333333318,3,3,neutral,false
17,2019-12,1909,1911,66,66,0,0.7515333333333333,0.7383666666666667,-0.013166666666666549,3,3,neutral,false
17,2020-03,1911,2003,66,198,132,0.7383666666666667,0.6807666666666666,-0.057600000000000096,3,3,increase,true
17,2020-04,2003,2003EMERG,198,120,-78,0.7370666666666666,0.655,-0.08206666666666662,3,3,cut,true
17,2020-09,2003EMERG,2009,120,66,-54,0.6717666666666666,0.6587000000000001,-0.01306666666666656,3,2,cut,false
17,2020-12,2009,2011,66,66,0,0.6587000000000001,0.6577666666666667,-0.0009333333333333416,2,3,neutral,false
18,2019-04,1811,1903,23,23,0,0.8068,0.7895666666666666,-0.017233333333333323,3,3,neutral,false
18,2019-07,1903,1906,23,23,0,0.7895666666666666,0.9416666666666668,0.15210000000000012,3,3,neutral,false
18,2019-09,1906,1909,23,23,0,0.8894666666666667,0.9376000000000001,0.04813333333333336,3,3,neutral,false
18,2019-12,1909,1911,23,23,0,0.9376000000000001,0.9514666666666667,0.013866666666666583,3,3,neutral,false
18,2020-03,1911,2003,23,69,46,0.9514666666666667,0.9235666666666665,-0.027900000000000147,3,3,increase,true
18,2020-04,2003,2003EMERG,69,69,0,0.9460333333333333,0.9166333333333334,-0.02939999999999987,3,3,neutral,true
18,2020-09,2003EMERG,2009,69,23,-46,0.9190666666666667,0.9547666666666667,0.035699999999999954,3,3,cut,false
18,2020-12,2009,2011,23,23,0,0.9547666666666667,0.9496000000000001,-0.005166666666666542,3,3,neutral,false
19L,2019-04,1811,1903,21,21,0,0.7156666666666668,0.6624333333333333,-0.053233333333333466,3,3,neutral,false
