event_type,n,mean_otp_delta,median_otp_delta,std_otp_delta,mean_trip_delta
cut,214,-0.0003502336448598129,-0.0007166666666666432,0.047624585386398105,-63.97196261682243
increase,110,0.012958484848484856,0.013599999999999945,0.05967073657148845,118.5909090909091
neutral,413,0.007565133171912833,0.009033333333333338,0.06285932782594854,0.0
