ntd_id,agency_name,year,vrh_prev,vrh,upt_prev,upt,vrh_pct,upt_pct,base_vrh
20080,New Jersey Transit Corporation (NJ TRANSIT),1992,5392977.0,5311736.0,167728001.0,160560860.0,-1.5064221486574114,-4.27307364141304,5392977.0
20098,Port Authority Trans-Hudson Corporation (PATH),1992,639525.0,629832.0,61585249.0,61966230.0,-1.5156561510496072,0.6186237876540858,639525.0
20100,MTA Long Island Rail Road (MTA LIRR),1992,1681550.0,1659390.0,90534000.0,89834000.0,-1.3178317623621065,-0.7731901826937946,1681550.0
20113,Regional Transit Service (RTS) - Monroe County,1992,501821.0,494396.0,14917664.0,14940931.0,-1.4796112558063532,0.15596946009777402,501821.0
20122,"Academy Lines, Inc.",1992,167301.0,167926.0,2975719.0,3206176.0,0.3735781615172653,7.744582065712521,167301.0
20126,Shortline Transit LLC,1992,214769.0,292441.0,2318348.0,2286499.0,36.16536837253049,-1.3737799502059225,214769.0
20128,Suburban Transit Lines LLC,1992,284374.0,266859.0,3875464.0,3898885.0,-6.1591425376440885,0.6043405383200566,284374.0
20132,New Jersey Transit Corporation-45 (NJTC-45),1992,1357507.0,1366597.0,49125301.0,46882357.0,0.6696098068002596,-4.565761337523408,1357507.0
20136,Queens Surface Corporation (QSC),1992,598927.0,572793.0,21095924.0,22009175.0,-4.36347000552655,4.329040055320639,598927.0
20923,Rockland Coaches Inc. ,1992,126469.0,120951.0,2297115.0,2065309.0,-4.363124560168895,-10.091179588309684,126469.0
30001,Kanawha Valley Regional Transportation Authority (KVRTA),1992,160118.0,161297.0,2154871.0,2158725.0,0.7363319551830525,0.17885061333137806,160118.0
30004,Peninsula Transportation District Commission ,1992,183098.0,233854.0,4126909.0,4723089.0,27.720674174485794,14.446162975728324,183098.0
30005,Tidewater Transportation District Commission ,1992,492596.0,487857.0,9219721.0,7709963.0,-0.962045976824822,-16.37531114010934,492596.0
30006,Greater Richmond Transit Company (GRTC),1992,456219.0,460593.0,21680298.0,21811093.0,0.9587500739776291,0.6032896780293334,456219.0
30010,Lehigh and Northampton Transportation Authority (LANTA),1992,217152.0,216967.0,4254482.0,4306831.0,-0.08519378131447096,1.2304435651625745,217152.0
30013,Erie Metropolitan Transit Authority (EMTA),1992,127383.0,127286.0,4055273.0,4058000.0,-0.07614830864401058,0.06724578098687807,127383.0
30014,Cumberland Dauphin-Harrisburg Transit Authority (CAT),1992,128977.0,115623.0,4019705.0,4018164.0,-10.353784008001426,-0.03833614655801856,128977.0
30015,Luzerne County Transportation Authority (LCTA),1992,104117.0,99516.0,2745886.0,2524027.0,-4.419067011150917,-8.079687212069256,104117.0
30019,Southeastern Pennsylvania Transportation Authority (SEPTA),1992,5710716.0,5456235.0,343748129.0,323489023.0,-4.456201288945204,-5.893590187366518,5710716.0
30022,Pittsburgh Regional Transit (PRT),1992,2170267.0,1973297.0,85108033.0,75752634.0,-9.075841820384312,-10.99238070747094,2170267.0
30024,Berks Area Regional Transportation Authority (BARTA),1992,143210.0,144058.0,4042427.0,3813018.0,0.5921374205711892,-5.67503136111054,143210.0
30030,Washington Metropolitan Area Transit Authority (WMATA),1992,5129493.0,4996145.0,368092612.0,353947615.0,-2.599633141131102,-3.8427820985442653,5129493.0
30031,Delaware Administration for Regional Transit ,1992,192806.0,196068.0,4553638.0,4674971.0,1.691856062570667,2.6645288887698144,192806.0
30034,Maryland Transit Administration (MTA),1992,1982388.0,2047094.0,107013124.0,101481076.0,3.264043164103092,-5.169504256319065,1982388.0
30051,"Montgomery County, Maryland (MCDOT) - Transportation",1992,407612.0,421347.0,14725810.0,15426275.0,3.369626016898423,4.756716268918314,407612.0
30067,Access Transportation Systems (ACCESS),1992,888129.0,878250.0,2078219.0,2018730.0,-1.1123384102985039,-2.8624990917704056,888129.0
40001,Chattanooga Area Regional Transportation Authority (CARTA),1992,137126.0,137015.0,2286794.0,2478719.0,-0.08094744979070344,8.39275422272404,137126.0
40002,City of Knoxville (KAT) - Mass Transit,1992,146918.0,152707.0,3460290.0,3459819.0,3.940293224792061,-0.013611575908377622,146918.0
40003,City of Memphis (MATA),1992,449945.0,458720.0,13548598.0,13310826.0,1.9502383624665238,-1.7549564907011044,449945.0
40004,Metropolitan Transit Authority (MTA),1992,354516.0,334527.0,8163533.0,8359952.0,-5.638391497139763,2.406053849479141,354516.0
40007,City of Raleigh - Transit,1992,127490.0,128566.0,3608499.0,3900979.0,0.8439877637461762,8.105309160401596,127490.0
40008,City of Charlotte North Carolina (CATS) - Charlotte Area Transit System,1992,372450.0,366724.0,11322507.0,10909024.0,-1.5373875688011813,-3.6518679122918627,372450.0
