year,pandemic,slope,intercept,ci_lo,ci_hi,r2,n
1992,false,0.5738294859710821,-0.6038723511498854,0.39871196452824686,0.7489470074139173,0.18593945376412913,185
1993,false,0.2691349593900054,-0.3790297460954456,0.10788473881569172,0.43038517996431913,0.055079272327740125,188
1994,false,0.5436348270060832,0.3212123062961225,0.40284504788581144,0.684424606126355,0.23583457843841638,190
1995,false,0.45155884965409976,-1.7681008891418852,0.3098086392454006,0.5933090600627989,0.166901439134303,199
1996,false,0.377096437757856,-0.06157631889184409,0.18488590168307653,0.5693069738326355,0.06962222852480515,202
1997,false,0.3744905285746384,1.6125863297451684,0.26380197676069,0.48517908038858676,0.18203301262768246,202
1998,false,0.40235442709819147,1.073197769424695,0.2578672569512215,0.5468415972451615,0.12819308699570664,207
1999,false,0.45834078852966564,2.046100275887567,0.31554594481733755,0.6011356322419937,0.14925694608572515,230
2000,false,0.45156517416727077,0.31918129128452566,0.32495826955748525,0.5781720787770563,0.1774082293112319,231
2001,false,0.4967110071308474,0.21241321077041406,0.3434981478866824,0.6499238663750124,0.1442169729747561,244
2002,false,0.5106430207889405,-2.7593362930148175,0.3796637113679065,0.6416223302099746,0.19335546792660385,248
2003,false,0.48247941347803774,0.0003293674677377831,0.3308190050063141,0.6341398219497614,0.13619406930280697,251
2004,false,0.3677662669034675,1.2127482319199823,0.20677385357143657,0.5287586802354984,0.07299266212602173,259
2005,false,0.6543361715576762,1.3535759645757932,0.5207097797737238,0.7879625633416286,0.2719583883593716,251
2006,false,0.7198902888781809,2.310436994840864,0.5915977026672439,0.8481828750891178,0.32380810465137766,257
2007,false,0.6201896407176481,0.4731601764556149,0.5225831077405497,0.7177961736947466,0.3794964906586916,258
2008,false,0.38688851212407793,4.933949942362629,0.2400772039914057,0.5336998202567502,0.08710742625478907,284
2009,false,0.44089710116513925,-0.02431936365920006,0.31873386232056705,0.5630603400097115,0.14394063620723996,302
2010,false,0.26132619169385934,-2.192356095499034,0.1271996463051882,0.3954527370825305,0.044436333395790006,318
2011,false,0.2297916365706374,3.120559642469689,0.11566646850559296,0.3439168046356818,0.04702906862650735,320
2012,false,0.37479448296457774,3.191812320864689,0.23027370237415207,0.5193152635550033,0.07436480655715672,326
2013,false,0.1033092496716329,0.16225751037855762,-0.029540419637438572,0.23615891898070435,0.007149812016060908,327
2014,false,0.21705710430792263,1.033707217135391,0.07417339770869685,0.3599408109071484,0.02757824201261705,317
2015,false,0.6244945463896051,-2.8199902711960245,0.531925186042471,0.7170639067367393,0.3459161198005186,335
2016,false,0.5032972422600519,-4.7818134293316295,0.3989049595010906,0.6076895250190132,0.21115264863033345,338
2017,false,0.30610735479080364,-4.019933923636471,0.2131135877281249,0.3991011218534824,0.1112305437929082,337
2018,false,0.41836025548319855,-2.4957539443277876,0.3275917903510045,0.5091287206153926,0.1999234849188566,331
2019,false,0.5496643728887411,-1.1374369822894232,0.43816526801802425,0.661163477759458,0.2228411850681652,330
2020,true,0.9858200300818617,-15.703956002585446,0.8365901274874635,1.13504993267626,0.34196724981927473,327
2021,true,1.119693766973755,-19.956829671698703,0.9543921612804713,1.2849953726670387,0.3799908711040917,292
2022,false,0.7318300519403886,19.023196310655287,0.5142673778203539,0.9493927260604234,0.14583350226565406,259
2023,false,0.3421434512104167,16.58544307776347,0.16709830734570896,0.5171885950751245,0.04807748503220277,295
2024,false,0.5624064101162283,6.814796434949201,0.4370572156310807,0.6877556046013759,0.2062625665547444,302
