sample,slope,intercept,ci_lo,ci_hi,r2,n
all_non_pandemic,0.4839113557864601,1.3618779493913256,0.4563124633912568,0.5115102481816634,0.124319940662862,8323
cuts_only,0.3625819788884682,0.437805817849678,0.30369540650822385,0.4214685512687126,0.047189940121715734,2945
sensitivity_vrh_250000,0.5174393103093036,1.0790489202329794,0.4777320421155788,0.5571465785030283,0.13576528612855276,4157
pandemic_2020_2021,1.015731917623958,-17.879106079714866,0.9051923979861902,1.126271437261726,0.345448553408647,619
