current_garage,n_routes,mean_otp,median_otp,std_otp,min_otp,max_otp,total_riders,weighted_otp
South Hills Village,3,0.854054347826087,0.8553927536231885,0.010598715780814165,0.84285,0.8639202898550725,11587.663067847176,0.8527812214412854
Collier,18,0.7360375948930297,0.7265784368530022,0.04787818767011534,0.64818,0.8129652173913043,14226.293132012612,0.739050531391309
Ross,22,0.7067182119329947,0.6950807142857143,0.06025091068651364,0.6140057971014492,0.8854285714285713,20140.55764221241,0.6946417731417265
West Mifflin,19,0.679322496041895,0.68088,0.0463686734715601,0.5898942857142857,0.7831828571428572,32387.959170110793,0.6581997176399591
East Liberty,31,0.6709168222801043,0.6509071428571428,0.07202867968068234,0.5491942857142856,0.8561228571428572,42258.97237636334,0.6747000564273297
