route_id,avg_otp,avg_riders,n_months,current_garage,mode
29,0.64818,731.9387343712189,70,Collier,BUS
31,0.6637414285714286,1047.274612809551,70,Collier,BUS
20,0.6870014492753623,389.3682914753803,69,Collier,BUS
24,0.6925514285714286,1118.483367346939,70,Collier,BUS
38,0.7075457142857142,1046.5976152832675,70,Collier,BUS
G31,0.7196202898550724,271.2750244819243,69,Collier,BUS
22,0.7196514285714285,557.9156178914254,70,Collier,BUS
21,0.7243442857142857,923.9086260116694,70,Collier,BUS
44,0.7255757142857143,623.0294681508967,70,Collier,BUS
36,0.7275811594202899,343.2359016849565,69,Collier,BUS
G3,0.7373434782608695,324.0087600280417,69,Collier,BUS
48,0.7477785714285715,1693.2885692775128,70,Collier,BUS
41,0.761827536231884,824.250252593447,69,Collier,BUS
39,0.7827942857142857,811.7860068296094,70,Collier,BUS
43,0.7916855072463769,338.69665450071875,69,Collier,BUS
27,0.7935442857142857,745.5392836976686,70,Collier,BUS
G2,0.8049449275362318,1790.0915398925792,69,Collier,BUS
26,0.8129652173913043,645.6048056858075,69,Collier,BUS
77,0.5491942857142856,1381.6802438762068,70,East Liberty,BUS
P78,0.5763014285714285,795.6861721921969,70,East Liberty,BUS
69,0.6015666666666667,970.2286277574557,69,East Liberty,BUS
67,0.6039014492753624,1392.9532515268813,69,East Liberty,BUS
71C,0.6093014285714285,3697.4300006722056,70,East Liberty,BUS
71B,0.6190542857142857,3422.798548439139,70,East Liberty,BUS
82,0.6212913043478261,2958.9821363786386,69,East Liberty,BUS
28X,0.6216471428571428,1293.5422094055011,70,East Liberty,BUS
86,0.62332,1858.4294809228038,70,East Liberty,BUS
58,0.6279985714285714,519.6192319378343,70,East Liberty,BUS
88,0.6420528571428571,1499.5040808260062,70,East Liberty,BUS
65,0.6428449275362318,167.51439359842007,69,East Liberty,BUS
71D,0.6452246376811595,2703.488903073402,69,East Liberty,BUS
P10,0.6452271428571429,299.501209835713,70,East Liberty,BUS
71A,0.6492614285714287,3507.2898006238065,70,East Liberty,BUS
P69,0.6509071428571428,159.8454420424296,70,East Liberty,BUS
P16,0.65717,382.67816743298107,70,East Liberty,BUS
74,0.6735217391304348,635.7348062040878,69,East Liberty,BUS
P68,0.68025,1093.7446577128878,70,East Liberty,BUS
87,0.6829521739130435,1472.2307640269833,69,East Liberty,BUS
P12,0.693708695652174,424.48351923229046,69,East Liberty,BUS
75,0.6942371428571429,2418.2314986152564,70,East Liberty,BUS
P67,0.6949157142857143,211.02291212927855,70,East Liberty,BUS
P71,0.6982608695652174,224.75696486877962,69,East Liberty,BUS
P17,0.7030159420289855,262.182754632471,69,East Liberty,BUS
71,0.7117157142857142,54.482962006937164,70,East Liberty,BUS
79,0.7128260869565217,644.015672523234,69,East Liberty,BUS
89,0.7264898550724638,223.30634443271492,69,East Liberty,BUS
P2,0.8377,532.0908025993836,57,East Liberty,UNKNOWN
P1,0.84644,5312.535580382351,70,East Liberty,BUS
P3,0.8561228571428572,1738.9812364550567,70,East Liberty,BUS
1,0.6140057971014492,1458.1133544464353,69,Ross,BUS
2,0.6295173913043478,593.3842032258857,69,Ross,BUS
12,0.6551242857142857,938.2838037428411,70,Ross,BUS
91,0.6571557142857143,2505.541078755613,70,Ross,BUS
O12,0.6587985714285715,527.991127826625,70,Ross,BUS
54,0.6682628571428572,2855.5015088327827,70,Ross,BUS
19L,0.6687971428571429,303.98790352504636,70,Ross,BUS
17,0.6698000000000001,939.8363229922775,69,Ross,BUS
P13,0.6735231884057972,117.8908916330466,69,Ross,BUS
O5,0.6863357142857143,50.61251203248097,70,Ross,BUS
O1,0.6941671428571429,426.336604017101,70,Ross,BUS
15,0.6959942857142857,718.2964961953162,70,Ross,BUS
7,0.7103057142857143,86.29301282568365,70,Ross,BUS
13,0.7106328571428572,1438.984026377349,70,Ross,BUS
16,0.7262914285714286,2396.6957313597372,70,Ross,BUS
6,0.7427257142857143,862.2846171116669,70,Ross,BUS
4,0.7501614285714285,365.85717055201525,70,Ross,BUS
14,0.7549028571428572,800.6480313785594,70,Ross,BUS
11,0.7596914285714286,407.33400863112047,70,Ross,BUS
8,0.7676214285714286,1935.9427322470492,70,Ross,BUS
40,0.7685571428571428,355.68042362399507,70,Ross,BUS
18,0.8854285714285713,55.06208087978275,70,Ross,BUS
RED,0.84285,4802.508199967733,70,South Hills Village,RAIL
SLVR,0.8553927536231885,3270.057271608878,69,South Hills Village,RAIL
BLUE,0.8639202898550725,3515.0975962705643,69,South Hills Village,RAIL
61C,0.5898942857142857,4313.731928289102,70,West Mifflin,BUS
61B,0.6003714285714287,2952.88804925923,70,West Mifflin,BUS
61A,0.6062514285714287,3452.684198461993,70,West Mifflin,BUS
93,0.6632642857142858,1495.098135839316,70,West Mifflin,BUS
57,0.6643042857142857,758.5650360302222,70,West Mifflin,BUS
53L,0.6649666666666667,858.5369070123324,69,West Mifflin,BUS
56,0.6677885714285714,1038.4270102981907,70,West Mifflin,BUS
61D,0.6683314285714286,3390.00304455379,70,West Mifflin,BUS
83,0.6708271428571428,1698.5920863918689,70,West Mifflin,BUS
52L,0.68088,261.134212578312,70,West Mifflin,BUS
59,0.6871857142857143,1835.586025248044,70,West Mifflin,BUS
81,0.6882128571428572,1226.4397510150309,70,West Mifflin,BUS
64,0.7010913043478262,1450.5012914726526,69,West Mifflin,BUS
51,0.7032728571428571,5383.786682665161,70,West Mifflin,BUS
P76,0.7036808823529411,405.8651992615228,68,West Mifflin,BUS
P7,0.7096314285714286,322.1778497485951,70,West Mifflin,BUS
55,0.7206571428571428,781.9381620553361,70,West Mifflin,BUS
51L,0.7333328571428571,379.4138986582775,70,West Mifflin,BUS
60,0.7831828571428572,382.58970127181306,70,West Mifflin,BUS
