rank,ntd_id,agency_name,city,state,vrh_2019,vrh_2024,vrh_pct_change,upt_2019,upt_2024,upt_pct_change
139,90029,Omnitrans,San Bernardino,CA,832952.0,602080.0,-27.71732344720944,10863530.0,6976002.0,-35.78512693387877
140,50119,City of Detroit (DDOT) - Transportation,Detroit,MI,1071052.0,767883.0,-28.305721851039912,22751799.0,13159260.0,-42.161672578067346
141,60019,City of Albuquerque - Transit Department,Albuquerque,NM,525038.0,372275.0,-29.095608317874134,9418459.0,6903362.0,-26.703911966915182
142,70006,Bi-State Development Agency of the Missouri-Illinois Metropolitan District,Saint Louis,MO,1928360.0,1362621.0,-29.33783111037358,36642036.0,20091501.0,-45.16816423628862
143,90031,Riverside Transit Agency (RTA),Riverside,CA,880027.0,618448.0,-29.723974378058855,8697652.0,5754320.0,-33.840535353679364
144,40042,Birmingham-Jefferson County Transit Authority (MAX),Birmingham,AL,295170.0,204541.0,-30.704001084121014,3252178.0,2018149.0,-37.944694294100756
145,40036,City of Tallahassee - StarMetro,Tallahassee,FL,274637.0,181385.0,-33.95463830437996,3643431.0,2454794.0,-32.62411172326304
146,90095,San Diego Association of Governments (SANDAG) - Regional Transportation Services,San Diego,CA,395092.0,230933.0,-41.54956313972442,1746541.0,972314.0,-44.32916261341703
147,70133,"OATS, Inc. (OATS)",Columbia,MO,772284.0,417184.0,-45.980494222332716,1420691.0,905120.0,-36.29015739523936
148,90016,"Golden Gate Bridge, Highway and Transportation District (GGBHTD) - Golden Gate Transit; Golden Gate Ferry",San Francisco,CA,279696.0,146925.0,-47.469752874549506,5615970.0,2865159.0,-48.98193900608444
149,10105,Cape Cod Regional Transit Authority (CCRTA),Hyannis,MA,413105.0,199027.0,-51.821691821691815,1179775.0,811784.0,-31.191625521815602
150,40105,Puerto Rico Highway and Transportation Authority (PRHTA) - Publicos,San Juan,PR,1268534.0,294634.0,-76.77366156523988,14414328.0,1851426.0,-87.15565512315247
