mode,month,weighted_otp,route_count
BUS,2019-01,0.6879149315355336,89
BUS,2019-02,0.6712072822933542,89
BUS,2019-03,0.6871580683147372,89
BUS,2019-04,0.6613640708747668,89
BUS,2019-05,0.6396390611648922,89
BUS,2019-06,0.6280499888547526,89
BUS,2019-07,0.675706968143731,89
BUS,2019-08,0.670058357584566,89
BUS,2019-09,0.645633550459263,89
BUS,2019-10,0.6665139668524582,89
BUS,2019-11,0.6721505113304387,89
BUS,2019-12,0.6997643359965596,89
BUS,2020-01,0.7098764118413553,90
BUS,2020-02,0.6934656652611243,89
BUS,2020-03,0.7420273299477299,89
BUS,2020-04,0.7295684449340347,89
BUS,2020-05,0.720446841166716,89
BUS,2020-06,0.7001899308882087,89
BUS,2020-07,0.6999313261943709,89
BUS,2020-08,0.7002618004527897,89
BUS,2020-09,0.6993651633904517,89
BUS,2020-10,0.6980777017374202,89
BUS,2020-11,0.7225741577995112,64
BUS,2020-12,0.7064851485076064,89
BUS,2021-01,0.7250002230738143,89
BUS,2021-02,0.717058413029357,89
BUS,2021-03,0.7312640152048193,89
BUS,2021-04,0.7244095456229012,89
BUS,2021-05,0.7159165115713559,89
BUS,2021-06,0.7068249137932004,89
BUS,2021-07,0.7102593260390129,89
BUS,2021-08,0.696834180728629,89
BUS,2021-09,0.6663683567852604,89
BUS,2021-10,0.6819889438583495,89
BUS,2021-11,0.7026855020596191,89
BUS,2021-12,0.7170245354176822,89
BUS,2022-01,0.7277720864038195,88
BUS,2022-02,0.6834286269055276,89
BUS,2022-03,0.6611392140461638,89
BUS,2022-04,0.6536331493429369,89
BUS,2022-05,0.6789244988860381,89
BUS,2022-06,0.6647525438182718,89
BUS,2022-07,0.6642324067767607,89
BUS,2022-08,0.6479783499185628,88
BUS,2022-09,0.5726520004030302,89
BUS,2022-10,0.6500635650606628,89
BUS,2022-11,0.6510333159024667,89
BUS,2022-12,0.6755415862388843,89
BUS,2023-01,0.701456895643334,89
BUS,2023-02,0.673656578060074,89
BUS,2023-03,0.6762013686138577,89
BUS,2023-04,0.6509154026755348,89
BUS,2023-05,0.6384411797750912,89
BUS,2023-06,0.6316938316684886,89
BUS,2023-07,0.629876637704034,89
BUS,2023-08,0.6225433364367406,89
BUS,2023-09,0.5991672508727629,89
BUS,2023-10,0.6211846845726136,89
BUS,2023-11,0.6419256467339359,89
BUS,2023-12,0.6545981364921292,89
BUS,2024-01,0.6679605631051785,89
BUS,2024-02,0.6661054714721071,89
BUS,2024-03,0.6694858784087289,89
BUS,2024-04,0.6363114489271855,89
BUS,2024-05,0.6263317499389263,89
BUS,2024-06,0.64233583185762,89
BUS,2024-07,0.6539001452259502,89
BUS,2024-08,0.6288054972525277,89
BUS,2024-09,0.6155103278729126,89
BUS,2024-10,0.6140148950601787,89
BUS,2024-11,0.6423186162172398,88
BUS,2024-12,0.6671366627977273,89
BUS,2025-01,0.6708999827755269,89
BUS,2025-02,0.6809294105627675,89
BUS,2025-03,0.6688559764418741,89
BUS,2025-04,0.6349690143548534,89
BUS,2025-05,0.6235891780333864,88
BUS,2025-06,0.616991099361497,76
BUS,2025-07,0.6071855752854031,76
BUS,2025-08,0.6271662161660124,89
BUS,2025-09,0.6174876748005979,87
BUS,2025-10,0.6164479777286815,88
BUS,2025-11,0.6401211060588492,89
RAIL,2019-01,0.8481309924670434,3
RAIL,2019-02,0.8480262636534839,3
RAIL,2019-03,0.8543286986817327,3
RAIL,2019-04,0.8322816459510357,3
RAIL,2019-05,0.8219685555555555,3
RAIL,2019-06,0.8366005178907722,3
RAIL,2019-07,0.8538550715630885,3
RAIL,2019-08,0.67404968173258,3
RAIL,2019-09,0.9269243898305085,3
RAIL,2019-10,0.9271397589453861,3
RAIL,2019-11,0.9153865122410545,3
RAIL,2019-12,0.9013785065913371,3
RAIL,2020-01,0.848506254237288,3
RAIL,2020-02,0.9198953352165724,3
RAIL,2020-03,0.9056201261770246,3
RAIL,2020-04,0.8997317853107345,3
RAIL,2020-05,0.9228502278719397,3
RAIL,2020-06,0.9073476421845574,3
RAIL,2020-07,0.880154109227872,3
RAIL,2020-08,0.8821542806026366,3
RAIL,2020-09,0.8544138097928436,3
RAIL,2020-10,0.8701266327683616,3
RAIL,2020-11,0.9053234745762712,3
RAIL,2020-12,0.8963958305084746,3
RAIL,2021-01,0.9087701337099812,3
RAIL,2021-02,0.8891830037664783,3
RAIL,2021-03,0.8939770037664784,3
RAIL,2021-04,0.8783706949152542,3
RAIL,2021-05,0.8144398964218456,3
RAIL,2021-06,0.8598,1
RAIL,2021-07,0.8651501393596986,3
RAIL,2021-08,0.8101034745762712,3
RAIL,2021-09,0.8686675480225989,3
RAIL,2021-10,0.8706227702448212,3
RAIL,2021-11,0.8731540847457627,3
RAIL,2021-12,0.8797517269303201,3
RAIL,2022-01,0.8740805216572506,3
RAIL,2022-02,0.7554730338983051,3
RAIL,2022-03,0.7113616817325801,3
RAIL,2022-04,0.6946810677966102,3
RAIL,2022-05,0.7539933879472693,3
RAIL,2022-06,0.8547689717514124,3
RAIL,2022-07,0.8607290094161958,3
RAIL,2022-08,0.8627119322033899,3
RAIL,2022-09,0.8437660847457626,3
RAIL,2022-10,0.8644459679849341,3
RAIL,2022-11,0.8891557495291902,3
RAIL,2022-12,0.8752927062146894,3
RAIL,2023-01,0.8766902372881357,3
RAIL,2023-02,0.8857975084745763,3
RAIL,2023-03,0.8781899322033898,3
RAIL,2023-04,0.867459902071563,3
RAIL,2023-05,0.8775473935969869,3
RAIL,2023-06,0.8168784124293785,3
RAIL,2023-07,0.8672671035781544,3
RAIL,2023-08,0.8408946252354049,3
RAIL,2023-09,0.8745694802259887,3
RAIL,2023-10,0.7198894839924669,3
RAIL,2023-11,0.8018292956685499,3
RAIL,2023-12,0.8666566026365348,3
RAIL,2024-01,0.8731398625235405,3
RAIL,2024-02,0.884751308851224,3
RAIL,2024-03,0.8708190282485876,3
RAIL,2024-04,0.8901014199623352,3
RAIL,2024-05,0.6646624576271187,3
RAIL,2024-06,0.6904602448210923,3
RAIL,2024-07,0.8201855197740113,3
RAIL,2024-08,0.8700511487758945,3
RAIL,2024-09,0.8243835461393597,3
RAIL,2024-10,0.853254406779661,3
RAIL,2024-11,0.7854112033898305,3
RAIL,2024-12,0.8259936873822975,3
RAIL,2025-01,0.811113197740113,3
RAIL,2025-02,0.82881004519774,3
RAIL,2025-03,0.8506071412429378,3
RAIL,2025-04,0.837651836158192,3
RAIL,2025-05,0.774578845574388,3
RAIL,2025-06,0.838659956685499,3
RAIL,2025-07,0.8468,1
RAIL,2025-08,0.8320122273512104,2
RAIL,2025-09,0.7499,1
RAIL,2025-10,0.5957202937853108,3
RAIL,2025-11,0.39646003578154426,3
