mode,month,avg_otp,route_count,bus_type
BUS,2019-01,0.7052528089887641,89,
BUS,2019-02,0.6915235955056179,89,
BUS,2019-03,0.7044033707865168,89,
BUS,2019-04,0.6716988764044943,89,
BUS,2019-05,0.643270786516854,89,
BUS,2019-06,0.641814606741573,89,
BUS,2019-07,0.6943966292134831,89,
BUS,2019-08,0.6924629213483146,89,
BUS,2019-09,0.671423595505618,89,
BUS,2019-10,0.6865224719101123,89,
BUS,2019-11,0.6795382022471911,89,
BUS,2019-12,0.7136449438202247,89,
BUS,2020-01,0.7277977777777778,90,
BUS,2020-02,0.7152685393258428,89,
BUS,2020-03,0.7514820224719101,89,
BUS,2020-04,0.7294426966292135,89,
BUS,2020-05,0.7239516853932585,89,
BUS,2020-06,0.7060393258426966,89,
BUS,2020-07,0.7093887640449438,89,
BUS,2020-08,0.7092966292134831,89,
BUS,2020-09,0.7095179775280899,89,
BUS,2020-10,0.7114213483146067,89,
BUS,2020-11,0.7297890625,64,
BUS,2020-12,0.7135606741573034,89,
BUS,2021-01,0.7279561797752809,89,
BUS,2021-02,0.7229606741573035,89,
BUS,2021-03,0.7398606741573034,89,
BUS,2021-04,0.7396820224719101,89,
BUS,2021-05,0.7304280898876404,89,
BUS,2021-06,0.7228842696629213,89,
BUS,2021-07,0.7313460674157303,89,
BUS,2021-08,0.7232314606741572,89,
BUS,2021-09,0.6938157303370787,89,
BUS,2021-10,0.7082202247191011,89,
BUS,2021-11,0.7215280898876404,89,
BUS,2021-12,0.7292898876404494,89,
BUS,2022-01,0.7352193181818181,88,
BUS,2022-02,0.7137168539325843,89,
BUS,2022-03,0.6915134831460674,89,
BUS,2022-04,0.6862314606741573,89,
BUS,2022-05,0.7026651685393258,89,
BUS,2022-06,0.692447191011236,89,
BUS,2022-07,0.690914606741573,89,
BUS,2022-08,0.6743022727272727,88,
BUS,2022-09,0.6074157303370786,89,
BUS,2022-10,0.6869247191011236,89,
BUS,2022-11,0.6831595505617978,89,
BUS,2022-12,0.7015707865168539,89,
BUS,2023-01,0.7203831460674156,89,
BUS,2023-02,0.6999955056179775,89,
BUS,2023-03,0.6950280898876404,89,
BUS,2023-04,0.6764348314606742,89,
BUS,2023-05,0.6607943820224719,89,
BUS,2023-06,0.6503752808988764,89,
BUS,2023-07,0.6440831460674157,89,
BUS,2023-08,0.6437089887640449,89,
BUS,2023-09,0.6296303370786517,89,
BUS,2023-10,0.6521303370786516,89,
BUS,2023-11,0.6707719101123596,89,
BUS,2023-12,0.6816471910112359,89,
BUS,2024-01,0.696485393258427,89,
BUS,2024-02,0.6970719101123596,89,
BUS,2024-03,0.6987640449438202,89,
BUS,2024-04,0.6682898876404495,89,
BUS,2024-05,0.6522134831460674,89,
BUS,2024-06,0.6674674157303371,89,
BUS,2024-07,0.6788988764044943,89,
BUS,2024-08,0.6545865168539327,89,
BUS,2024-09,0.6469157303370786,89,
BUS,2024-10,0.6348415730337079,89,
BUS,2024-11,0.6703556818181818,88,
BUS,2024-12,0.6872966292134832,89,
BUS,2025-01,0.6946910112359551,89,
BUS,2025-02,0.7040606741573033,89,
BUS,2025-03,0.6912426966292134,89,
BUS,2025-04,0.667361797752809,89,
BUS,2025-05,0.6452659090909091,88,
BUS,2025-06,0.642028947368421,76,
BUS,2025-07,0.6354171052631579,76,
BUS,2025-08,0.6562258426966292,89,
BUS,2025-09,0.6543310344827586,87,
BUS,2025-10,0.6536534090909091,88,
BUS,2025-11,0.6740831460674157,89,
RAIL,2019-01,0.8513666666666667,3,
RAIL,2019-02,0.8504666666666667,3,
RAIL,2019-03,0.8561666666666667,3,
RAIL,2019-04,0.8305333333333333,3,
RAIL,2019-05,0.8223333333333334,3,
RAIL,2019-06,0.8313666666666667,3,
RAIL,2019-07,0.8498666666666667,3,
RAIL,2019-08,0.6759666666666666,3,
RAIL,2019-09,0.9237000000000001,3,
RAIL,2019-10,0.9245333333333333,3,
RAIL,2019-11,0.9141666666666667,3,
RAIL,2019-12,0.9002666666666667,3,
RAIL,2020-01,0.8473,3,
RAIL,2020-02,0.9183333333333333,3,
RAIL,2020-03,0.9052333333333333,3,
RAIL,2020-04,0.8965,3,
RAIL,2020-05,0.9191333333333334,3,
RAIL,2020-06,0.9049666666666667,3,
RAIL,2020-07,0.8766333333333334,3,
RAIL,2020-08,0.8781666666666667,3,
RAIL,2020-09,0.8474333333333334,3,
RAIL,2020-10,0.8734999999999999,3,
RAIL,2020-11,0.9039999999999999,3,
RAIL,2020-12,0.8950999999999999,3,
RAIL,2021-01,0.9094666666666668,3,
RAIL,2021-02,0.8897666666666666,3,
RAIL,2021-03,0.8935666666666666,3,
RAIL,2021-04,0.8770000000000001,3,
RAIL,2021-05,0.8150666666666666,3,
RAIL,2021-06,0.8598,1,
RAIL,2021-07,0.8608666666666668,3,
RAIL,2021-08,0.8064,3,
RAIL,2021-09,0.8742000000000001,3,
RAIL,2021-10,0.8665333333333333,3,
RAIL,2021-11,0.8710999999999999,3,
RAIL,2021-12,0.8798666666666666,3,
RAIL,2022-01,0.8731333333333334,3,
RAIL,2022-02,0.79,3,
RAIL,2022-03,0.7600666666666666,3,
RAIL,2022-04,0.7413,3,
RAIL,2022-05,0.7868666666666666,3,
RAIL,2022-06,0.8582000000000001,3,
RAIL,2022-07,0.8637666666666667,3,
RAIL,2022-08,0.8685999999999999,3,
RAIL,2022-09,0.8402,3,
RAIL,2022-10,0.8674333333333334,3,
RAIL,2022-11,0.8916666666666666,3,
RAIL,2022-12,0.8761000000000001,3,
RAIL,2023-01,0.8783,3,
RAIL,2023-02,0.8851,3,
RAIL,2023-03,0.8774000000000001,3,
RAIL,2023-04,0.8685666666666666,3,
RAIL,2023-05,0.8796666666666667,3,
RAIL,2023-06,0.8178000000000001,3,
RAIL,2023-07,0.8694333333333333,3,
RAIL,2023-08,0.8412666666666667,3,
RAIL,2023-09,0.8868999999999999,3,
RAIL,2023-10,0.7104666666666667,3,
RAIL,2023-11,0.7956333333333333,3,
RAIL,2023-12,0.8685666666666666,3,
RAIL,2024-01,0.8711666666666668,3,
RAIL,2024-02,0.8868666666666667,3,
RAIL,2024-03,0.878,3,
RAIL,2024-04,0.8918333333333334,3,
RAIL,2024-05,0.6629,3,
RAIL,2024-06,0.7172333333333333,3,
RAIL,2024-07,0.8325999999999999,3,
RAIL,2024-08,0.8793333333333333,3,
RAIL,2024-09,0.8133666666666667,3,
RAIL,2024-10,0.8535,3,
RAIL,2024-11,0.7886000000000001,3,
RAIL,2024-12,0.8302666666666667,3,
RAIL,2025-01,0.8149000000000001,3,
RAIL,2025-02,0.8295,3,
RAIL,2025-03,0.8563000000000001,3,
RAIL,2025-04,0.8442,3,
RAIL,2025-05,0.7896666666666666,3,
RAIL,2025-06,0.8412333333333333,3,
RAIL,2025-07,0.8468,1,
RAIL,2025-08,0.8318,2,
RAIL,2025-09,0.7499,1,
RAIL,2025-10,0.5994,3,
RAIL,2025-11,0.39973333333333333,3,
BUS,2019-01,0.8049666666666667,3,busway
BUS,2019-02,0.7730666666666667,3,busway
BUS,2019-03,0.8264333333333335,3,busway
BUS,2019-04,0.7221000000000001,3,busway
BUS,2019-05,0.6356666666666667,3,busway
BUS,2019-06,0.7432,3,busway
