route_id,route_name,mode,avg_otp,weighted_lanes,weighted_func_cls,weighted_speed,arterial_share,divided_share,avg_truck_pct,match_rate,n_segments,stop_count,span_km
71B,HIGHLAND PARK,BUS,0.5879493975903615,2.4966240849301484,3.645041092226112,27.971810326757225,0.7748636509464228,0.12447866538338145,5.112388548784515,0.9304523970290345,98,107,8.00855276887158
88,PENN,BUS,0.6430156626506024,2.4310777767715273,3.295832555102666,30.0460549995921,0.8852654717897631,0.24948338177058035,5.113997456446205,0.9555757026291931,77,70,7.702739777369081
57,HAZELWOOD,BUS,0.661587951807229,2.414998070911711,3.0788082519057687,33.16065329638195,0.8744754060927694,0.34911773737628243,6.492272234273319,0.7648864333947207,64,79,8.74557903837226
71D,HAMILTON,BUS,0.6559621951219512,2.410149014119294,3.8861051631913015,26.43497781230104,0.6376322397398427,0.10293088544025028,4.134732722888257,0.9417206290471786,43,93,6.992827708097283
58,GREENFIELD,BUS,0.6076132530120482,2.4033068844446506,2.9702126141071443,31.98773316707436,0.874808593568744,0.3966559943080754,6.023276903116905,0.9950870924519875,107,102,6.756924482527202
12,MCKNIGHT,BUS,0.654610843373494,2.3942973050855705,2.9621293589971454,39.85921649492998,0.8717548567215679,0.5189946371165426,4.193614383788298,0.7618915159944367,137,108,16.35066654278593
93,LAWRENCEVILLE - HAZELWOOD,BUS,0.6605530120481927,2.3767999631956407,3.2806451483624746,30.974438595337485,0.8324225958319064,0.24372153412837566,5.363537755527743,0.9247359154929577,100,173,8.902574050474298
61D,MURRAY,BUS,0.6678686746987952,2.3764842054497226,3.3942870935452247,28.35668296479715,0.7698577284784182,0.22236797685073548,4.999013016262047,0.6450381679389313,51,75,5.6385721010378065
86,LIBERTY,BUS,0.628733734939759,2.3681130809527495,3.48860805180212,30.487122756513102,0.8164305437279038,0.2512386777115429,4.48177113801017,0.9134199134199135,84,142,9.903352732145715
71A,NEGLEY,BUS,0.6446518072289156,2.3675173703901655,3.8123760647367417,25.92105923909031,0.8469267771245323,0.04847675040085516,4.203498402828787,0.9987373737373737,42,72,5.918423835705078
87,FRIENDSHIP,BUS,0.6755170731707317,2.3590570060516436,3.5787125808888973,29.976783779435152,0.7877832894236222,0.17508847746965206,4.8091679824605515,0.8534405719392315,79,175,8.37811622720184
71C,POINT BREEZE,BUS,0.6080518072289156,2.3501546808372273,3.518787891077494,28.363414365545477,0.8808260792820579,0.2529705223845932,3.918854582862279,0.8458904109589042,60,100,6.65374995721062
65,SQUIRREL HILL,BUS,0.6150641975308642,2.346167269876027,2.9029007770476905,33.010611972611464,0.8586577675357026,0.41511959800917003,5.614355982728528,0.9664703217036701,134,70,7.949335087701236
81,OAK HILL,BUS,0.6691469879518073,2.3344424626360785,3.131103744008807,30.14585562752451,0.8529491358632142,0.3120548619226275,5.871831465328101,0.752724795640327,120,93,4.068262145780921
83,BEDFORD HILL,BUS,0.6541397590361445,2.325813138223222,3.2074780712770337,29.912973607751226,0.810624966969471,0.29793243568588995,5.819641441995116,0.7341559169938306,124,106,4.068262145780921
O12,MCKNIGHT FLYER,BUS,0.6471686746987952,2.317228367695376,2.7760354282422695,39.35718269868463,0.8811867219520128,0.5365500222384826,4.223223570834324,0.9583416783496895,232,64,16.413809486675728
64,LAWRENCEVILLE - WATERFRONT,BUS,0.680559756097561,2.3129496402877696,3.5058662247158976,28.33221006090525,0.7464359800503155,0.14325226935016405,4.482336229361423,0.6799254195152269,62,110,8.000338207867376
P16,PENN HILLS FLYER,BUS,0.6379180722891566,2.2961247938893488,3.6619438587346935,35.460826056866864,0.8120596726995445,0.21398033068946865,6.224435603609091,0.70547323858482,141,199,20.652907624999234
52L,HOMEVILLE LIMITED,BUS,0.6749771084337349,2.2925967162608383,3.127239039892837,33.526219816676715,0.777253281070075,0.355632916701619,5.709507651824666,0.8873190902825637,123,136,15.523676314067313
77,PENN HILLS,BUS,0.5577253012048192,2.291704000963592,3.375318247686398,34.576065631677615,0.8337451122672911,0.3043628981794573,5.563342346735228,0.9739816592023885,175,258,21.55636545853036
61B,BRADDOCK-SWISSVALE,BUS,0.5842313253012048,2.290013853939891,3.336644825332143,28.13960119014274,0.8035096647723524,0.19810662821491512,5.6782017982017985,0.979890310786106,143,137,12.970818848103756
56,LINCOLN PLACE,BUS,0.6623096385542169,2.2882729178751653,3.346642848259724,32.31827710203108,0.8693721872784419,0.3431302297190217,6.001937610689298,0.9751131221719457,146,142,18.414636794317335
P3,EAST BUSWAY-OAKLAND,BUS,0.8470578313253012,2.285869575581894,3.507360673500013,29.912091851653,0.8003013168308335,0.23016410324869127,4.285164766494008,0.43968327899394505,55,40,7.71174571972425
11,FINEVIEW,BUS,0.7557734939759037,2.2848145761321694,3.2974081601386453,31.695310917717443,0.8384205284433769,0.2460161696643037,6.013599586847994,0.47326732673267324,44,55,3.444644227353401
15,CHARLES,BUS,0.6856385542168675,2.283440977025639,3.264459417884449,34.306582795627726,0.8751304879187283,0.23829003539086965,5.320731217128914,0.9324215607401448,66,95,5.509012670599699
53L,HOMESTEAD PARK LIMITED,BUS,0.6500780487804878,2.276197161471472,2.994138739535933,34.66791042158971,0.8815817374836393,0.41297957751113257,5.834145497222778,0.7672858617131063,135,146,12.322998382877683
54,NORTH SIDE-OAKLAND-SOUTH SIDE,BUS,0.6672096385542169,2.2733644468418004,3.179311707607625,31.30658002901459,0.8659327184339162,0.3057689537217273,5.311489952559108,0.7806469920544835,150,211,7.796044980917041
61A,NORTH BRADDOCK,BUS,0.5899975903614457,2.265193672572023,3.3914457142853096,28.297946297683325,0.8595531755733548,0.20380320750241748,5.649867777037818,0.8268219383921863,140,187,12.970818848103756
55,GLASSPORT,BUS,0.7121536585365854,2.26156293302067,3.714071936147443,35.47153864836608,0.784631404606315,0.42965489533711043,5.804352217261142,0.7922860586580956,118,199,12.465259955456785
P67,MONROEVILLE FLYER,BUS,0.6799807228915663,2.255569697534122,3.32758675158351,34.463608410862605,0.8048406957853455,0.41974772089942985,4.963561312100976,0.5094278283485045,110,69,17.340406383062557
P12,HOLIDAY PARK FLYER,BUS,0.6679280487804878,2.24609845783014,2.8190980232665037,40.23607116615639,0.7873828614998647,0.4779127825466709,6.759550505272822,0.6000308024025874,165,62,24.969203381144393
28X,AIRPORT FLYER,BUS,0.6166469879518072,2.241941337818246,2.309577899364084,37.78600636252235,0.9219272166899044,0.5423167773681152,6.701299887098668,0.8116343490304709,283,74,29.003116140598706
16,BRIGHTON,BUS,0.7138240963855421,2.2352121360576396,3.7153126429476013,30.457792444186314,0.7837251142401027,0.14927654973773344,5.300509614977723,0.8361006963042313,75,95,9.22508834471124
67,MONROEVILLE,BUS,0.6035817073170732,2.2324596161226493,3.2496055837384885,33.697772372786766,0.850055074587439,0.4645728355188724,6.16817343637897,0.7053824362606232,235,191,22.276841676728523
P78,OAKMONT FLYER,BUS,0.5961602409638553,2.2311649287590543,3.68839405543493,32.86380803340583,0.7550644750457693,0.26736249303510307,4.803308415480958,0.6548927263212978,105,149,18.377446047902815
91,BUTLER STREET,BUS,0.6465373493975903,2.2231636189604664,3.194547857421527,33.48449439768583,0.9140699368370121,0.29000804657547213,5.502693163616777,0.7980022197558269,112,158,13.419994427708412
O1,ROSS FLYER,BUS,0.7058060240963855,2.2167183552753187,2.023817945359122,40.99628742634082,0.9463287395510279,0.46762513093306496,4.926983261316441,0.9702907711757269,158,7,7.885177660219192
2,MOUNT ROYAL,BUS,0.6322256097560975,2.21329055350899,3.4188387975805887,36.7876852973365,0.6841170899636659,0.3635528860176953,4.596686764861441,0.8811055515844651,153,187,13.848572886447071
75,ELLSWORTH,BUS,0.6881614457831325,2.2131500359466885,3.5708692900126966,30.160474127233407,0.7829879993363689,0.24186130108577433,4.92852133066213,0.8002853067047075,107,150,10.999978046254409
