model,feature,coefficient,std_error,p_value,beta_weight,r_squared,adj_r_squared,n
base_6feat,intercept,0.7817303666590505,0.01998165384551664,0.0,NaN,0.40068035849955586,0.3568277018044014,89
base_6feat,stop_count,-0.0005861034170200433,0.00013662387078019767,0.00004855305218165462,-0.49394197681684626,0.40068035849955586,0.3568277018044014,89
base_6feat,span_km,-0.004874710348963695,0.0013014595140912035,0.000333371208533606,-0.5093200196763484,0.40068035849955586,0.3568277018044014,89
base_6feat,is_rail,0.10960153393604083,0.05336734841711829,0.04318938609473655,0.18093013334684854,0.40068035849955586,0.3568277018044014,89
base_6feat,is_premium_bus,-0.000015963917320683135,0.019646244192151524,0.9993536378610679,-0.00011095699944857761,0.40068035849955586,0.3568277018044014,89
base_6feat,weekend_ratio,-0.013351264940331006,0.022984954613786055,0.5629213550748724,-0.06806505265134422,0.40068035849955586,0.3568277018044014,89
base_6feat,n_munis,0.008832856924867901,0.0026644967673982193,0.001366284510502469,0.443085150101898,0.40068035849955586,0.3568277018044014,89
base_plus_lanes,intercept,1.2916762259194488,0.0981738536568933,0.0,NaN,0.5540204031540638,0.5154789565130569,89
base_plus_lanes,stop_count,-0.0004184684274625341,0.00012276298473345561,0.0010193432723868412,-0.3526666391866686,0.5540204031540638,0.5154789565130569,89
base_plus_lanes,span_km,-0.003930321720640419,0.0011436835943716259,0.0009323429475762701,-0.4106483037533738,0.5540204031540638,0.5154789565130569,89
base_plus_lanes,is_rail,0.11093481954970785,0.04632066031029144,0.018931625728545454,0.1831311202783908,0.5540204031540638,0.5154789565130569,89
base_plus_lanes,is_premium_bus,0.016248318997880803,0.017328149844758407,0.3511946772697714,0.112933729602342,0.5540204031540638,0.5154789565130569,89
base_plus_lanes,weekend_ratio,0.009243825700727239,0.020403972861957248,0.6517308408252749,0.04712523388845654,0.5540204031540638,0.5154789565130569,89
base_plus_lanes,n_munis,0.0028540242263986534,0.002575234514853563,0.2710303611092222,0.14316724062268368,0.5540204031540638,0.5154789565130569,89
base_plus_lanes,weighted_lanes,-0.240753224528507,0.045620422780230374,1.0723815049296093e-6,-0.4488877242555984,0.5540204031540638,0.5154789565130569,89
base_plus_roadblock,intercept,0.9423392851041915,0.17932669682102903,1.2261677493352607e-6,NaN,0.5834406583212476,0.5359845307882252,89
base_plus_roadblock,stop_count,-0.0004604985579342172,0.00013677146883326084,0.0011764206295652446,-0.38808776987484395,0.5834406583212476,0.5359845307882252,89
base_plus_roadblock,span_km,-0.0048666770755234935,0.0012976674883123278,0.0003350376672346389,-0.5084806863224193,0.5834406583212476,0.5359845307882252,89
base_plus_roadblock,is_rail,0.11368530922675919,0.045445156006514296,0.014430389952157174,0.18767162665787665,0.5834406583212476,0.5359845307882252,89
base_plus_roadblock,is_premium_bus,0.012710694853153851,0.017370765471938845,0.46649903530102144,0.08834551905284349,0.5834406583212476,0.5359845307882252,89
base_plus_roadblock,weekend_ratio,0.011388834511906245,0.020281165574407144,0.5760140800962086,0.05806053764604018,0.5834406583212476,0.5359845307882252,89
base_plus_roadblock,n_munis,0.003636565107150811,0.0025421697393125955,0.15651809409695527,0.18242206457808546,0.5834406583212476,0.5359845307882252,89
base_plus_roadblock,weighted_lanes,-0.20603340334855602,0.04703154559157211,0.000035962067337358405,-0.38415213640811724,0.5834406583212476,0.5359845307882252,89
base_plus_roadblock,weighted_func_cls,0.031591722627359015,0.01938398869347509,0.10712822002603839,0.18688267296847444,0.5834406583212476,0.5359845307882252,89
base_plus_roadblock,weighted_speed,0.00550382201683977,0.002336982993065234,0.020999797946797294,0.28976989709066636,0.5834406583212476,0.5359845307882252,89
bus_base,intercept,0.7817303666590518,0.01998165384552472,0.0,NaN,0.36678295066721034,0.32817215497618657,88
bus_base,stop_count,-0.0005861034170200514,0.0001366238707802063,0.00004855305218165462,-0.5044324591909399,0.36678295066721034,0.32817215497618657,88
bus_base,span_km,-0.0048747103489637745,0.0013014595140912303,0.000333371208533606,-0.5234940781471861,0.36678295066721034,0.32817215497618657,88
bus_base,is_premium_bus,-0.00001596391731990379,0.01964624419215314,0.9993536378610997,-0.00011381217527985294,0.36678295066721034,0.32817215497618657,88
bus_base,weekend_ratio,-0.013351264940330065,0.022984954613789854,0.5629213550749643,-0.06931972135641412,0.36678295066721034,0.32817215497618657,88
