stop_id,avg_ons,avg_offs,stop_name,lat,lon,shelter,mode,stop_type,avg_daily_usage,has_shelter
E35370,130.413635,40.863635,LIBERTY AVE AT MILLVALE AVE (WEST PENN HOSP),40.46,-79.9461,No Shelter,Bus,Bus Stop,171.27727,false
E41330,317.93636,24.6545455,MURRAY AVE AT PHILLIPS AVE,40.4322,-79.9231,No Shelter,Bus,Bus Stop,342.59090549999996,false
X00480,3.152272727272725,0.0,BANK ST AT GRANDVIEW AVE,40.3531,-80.1057,Lamar,Bus,Bus Stop with Non-PAAC Shelter,3.152272727272725,true
N41680,0.093181818181818,0.0,PENN ST AT PACIFIC AVE,40.6123,-79.741,No Shelter,Bus,Bus Stop,0.093181818181818,false
X04310,0.21136365000000001,0.0,CEDAR BLVD OPP #1046,40.3727,-80.0583,No Shelter,Bus,Bus Stop,0.21136365000000001,false
E25750,0.7659091,5.1840910000000004,GREENSBURG PIKE AT UNION AVE,40.3811,-79.817,No Shelter,Bus,Bus Stop,5.9500001000000005,false
S45010,1.925,0.07045454500000001,ST JOSEPH ST AT RATON ST,40.4135,-79.9806,No Shelter,Bus,Bus Stop,1.995454545,false
S34190,9.595455,2.4704544,BUTTERMILK HOLLOW RD AT NAUGLE ST,40.3647,-79.9082,City of Pittsburgh,Bus,Bus Stop with Non-PAAC Shelter,12.065909399999999,true
E20960,0.54772725,1.3227275,FRANKSTOWN RD AT CURTIS ST,40.4627,-79.8501,No Shelter,Bus,Bus Stop,1.87045475,false
E70994,24.725002500000002,23.659093,CENTRE AVE AT CRAWFORD ST FS,40.4411,-79.9857,No Shelter,Bus,Bus Stop,48.3840955,false
N38380,72.21591000000001,69.71364,NORTH AVE AT BRIGHTON RD FS,40.454,-80.0141,City of Pittsburgh,Bus,Bus Stop with Non-PAAC Shelter,141.92955,true
S02500,0.7431818181818199,1.78409090909091,7TH ST OPP WORTHINGTON AVE FS,40.2921,-79.8895,PAAC,Bus,Bus Stop with PAAC Shelter,2.52727272727273,true
E48230,10.68863645,22.3090895,RANKIN BLVD OPP HAWKINS AVE,40.412,-79.8813,No Shelter,Bus,Bus Stop,32.99772595,false
E70973,2.681818,8.2704545,FRANKSTOWN OPP HOCHBERG RD FS,40.4616,-79.861,No Shelter,Bus,Bus Stop,10.9522725,false
E18480,4.2795455,0.66136365,ELLSWORTH AVE AT COLONIAL PL,40.452,-79.9392,No Shelter,Bus,Bus Stop,4.94090915,false
S40458,8.9386365,6.584091,REGIS AVE EXT OPP HOME DEPOT,40.3396,-79.953,Lamar,Bus,Bus Stop with Non-PAAC Shelter,15.522727499999998,true
