stop_id,stop_name,mode,stop_type,avg_daily_usage,avg_ons,avg_offs,lat,lon
P02530,LIBERTY AVE AT WILLIAM PENN PL,Bus,Bus Stop,486.840910315,263.58863766999997,223.252272645,40.4435,-79.9954
E01420,FIFTH AVE AT MOREWOOD AVE,Bus,Bus Stop,484.568164275,446.779527275,37.788636999999994,40.4474,-79.9426
E01410,FIFTH AVE AT MOREWOOD AVE,Bus,Bus Stop,471.42727,37.73182,433.69545,40.4475,-79.9423
W08025,PGH INTERNL AIRPORT LOWER LEVE,Bus,Bus Stop,468.9363636363638,299.168181818182,169.7681818181818,40.4963,-80.2558
P00850,SEVENTH AVE AT SMITHFIELD ST,Bus,Bus Stop,465.4068246,456.56137,8.8454546,40.4428,-79.9966
E15730,CRAIG ST AT PARK PLAZA,Bus,Bus Stop,459.53635999999995,334.529545,125.00681499999999,40.4479,-79.9495
E00970,FIFTH AVE AT BELLEFIELD AVE,Bus,Bus Stop,445.275,173.625,271.65,40.4467,-79.9517
P02670,LIBERTY AVE OPP SMITHFIELD ST,Bus,Bus Stop,441.37726905,283.78408725,157.5931818,40.4434,-79.9965
W26185,WEST BUSWAY AT SHERADEN STATION A,Busway,Busway Station,440.50457,53.08181999999999,387.42275,40.4528,-80.0532
P03000,SMITHFIELD ST AT THIRD AVE,Bus,Bus Stop,440.38638605,399.9500225,40.436363549999996,40.4383,-79.9999
E70804,CRAIG ST AT CENTRE AVE FS,Bus,Bus Stop,439.302275,335.72273,103.579545,40.4516,-79.9519
P02910,PENN AVE AT GARRISON PL NS (#933),Bus,Bus Stop,430.570471,142.5545465,288.01592450000004,40.4442,-79.9969
E41740,NEGLEY AVE AT CENTRE AVE,Bus,Bus Stop,419.86594,311.93185,107.93409000000001,40.4575,-79.9342
P02490,LIBERTY AVE AT SMITHFIELD ST,Bus,Bus Stop,417.502269815,185.85908792,231.643181895,40.4432,-79.9968
TP7010,LAYOVER-EAST BUSWAY SWISSVALE,Bus,Bus Stop,416.98409449999997,222.5090715,194.475023,40.415,-79.8795
E01150,FIFTH AVE AT CRAIG ST NS,Bus,Bus Stop,411.34090785,278.97727135,132.3636365,40.4468,-79.9496
P01940,GRANT ST OPP OLIVER AVE,Bus,Bus Stop,403.015919545,190.354549545,212.66136999999998,40.4401,-79.9962
N04610,ALLEGHENY AVE AT REEDSDALE ST FS,Bus,Bus Stop,387.83638149999996,6.4931814999999995,381.34319999999997,40.4478,-80.0178
S16190,E CARSON ST AT S 18TH ST,Bus,Bus Stop,387.24094,188.300015,198.94092500000002,40.4287,-79.9807
E41190,MURRAY AVE AT FORWARD AVE,Bus,Bus Stop,384.8750160000001,292.44319500000006,92.431821,40.4295,-79.9235
N13610,CEDAR AVE OPP PRESSLEY ST,Bus,Bus Stop,382.25681699999996,176.768184,205.488633,40.4516,-80.0012
E19720,FORBES AVE AT PRIDE ST (MERCY HOSPITAL),Bus,Bus Stop,379.781815,243.03864,136.743175,40.4376,-79.9853
E70425,PENN AVE AT EASTSIDE III DR,Bus,Bus Stop,373.82500415000004,238.7000025,135.12500165,40.4602,-79.9215
E19810,FORBES AVE AT WIGHTMAN ST,Bus,Bus Stop,373.261365,30.55,342.711365,40.438,-79.928
S70020,S 18TH ST AT SARAH ST,Bus,Bus Stop,368.049985,199.679525,168.37046,40.4279,-79.9807
S45375,TARGET DR AT TARGET PERIMETER RD,Bus,Bus Stop,364.29090909090905,106.8318181818182,257.45909090909083,40.4111,-79.9097
N01935,4TH AVE AT CENTRAL CITY PLAZA,Bus,Bus Stop,344.552272727273,181.4727272727275,163.0795454545455,40.5649,-79.7663
E19770,FORBES AVE AT SHADY AVE,Bus,Bus Stop,343.31136200000003,148.579543,194.731819,40.438,-79.9196
