stop_id,stop_name,lat,lon,mode,pre_usage,post_usage,abs_change,pct_change,zone,dist_from_dt_km
E70237,FIFTH AVE AT HAMILTON AVE,40.4571,-79.9091,Bus,1.12954545,0.35389612,-0.77564933,-68.66915625218977,Inner ring (2-8 km),7.570504116310595
E18020,ELECTRIC AVE AT OLYMPIA HALL,40.403,-79.8374,Bus,1.3818184,0.29870128500000004,-1.0831171149999999,-78.3834630512953,Outer ring (> 8 km),14.053618299295518
W14550,MIDDLETOWN RD OPP MARTERA PL,40.4441,-80.056,Bus,9.725000000000001,6.279221000000001,-3.445779000000001,-35.432174807197946,Inner ring (2-8 km),5.100885150897655
N21180,FREEPORT RD AT FOX CHAPEL RD NS (PLAZA DRVWY),40.4879,-79.8807,Bus,14.10000025,9.827922449999999,-4.272077800000002,-30.298423576269094,Outer ring (> 8 km),11.074372357011024
S21590,GREENSPRINGS AVE OPP HIGH ST,40.3879,-79.8809,Bus,0.3909091,0.04761905,-0.34329005,-87.81838284143296,Outer ring (> 8 km),11.363530998156046
W21880,STEUBEN ST AT UNION AVE FS (NOBLE AVE),40.439,-80.0627,Bus,8.045454545454545,2.55735930735931,-5.4880952380952355,-68.21361312886734,Inner ring (2-8 km),5.656023552661309
S70464,OLD ELIZABETH RD OPP BLUEMONT DR,40.3474,-79.9369,Bus,2.0749997749999998,0.0952381,-1.9797616749999998,-95.41021155050487,Outer ring (> 8 km),11.50497939515951
X00500,BANK ST AT GREGG AVE,40.3552,-80.1087,Bus,1.23181818181818,0.7727272727272725,-0.45909090909090744,-37.26937269372686,Outer ring (> 8 km),13.469137595585499
E13790,CENTRE AVE AT SOHO ST,40.4452,-79.9739,Bus,20.025,6.568182,-13.456817999999998,-67.20008988764044,Downtown (< 2 km),1.9307405967215083
X00700,BANKSVILLE RD AT #1593,40.411,-80.0311,Bus,0.0,0.022727275,0.022727275,,Inner ring (2-8 km),4.439698506067624
X70077,BOGGS AVE OPP MINSINGER ST,40.4185,-80.0121,Bus,2.0022728499999998,1.213203275,-0.7890695749999999,-39.4086937252333,Inner ring (2-8 km),2.814079720328803
S38490,PENNSYLVANIA AVE AT CONLIN ST,40.3618,-79.8679,Bus,1.315909,0.1818182,-1.1340908,-86.1830719297459,Outer ring (> 8 km),13.937494111455454
