month,unweighted_otp,trip_weighted_otp,population_weighted_otp,route_count,total_population_served
2019-01,0.7100173913043478,0.6925647334287254,0.7010130276020259,92,2273565
2019-02,0.6967065217391304,0.6763389353217732,0.6875974277401349,92,2273565
2019-03,0.7093521739130435,0.6920097062157515,0.7020812348008524,92,2273565
2019-04,0.6768782608695653,0.6663244528711082,0.6737120232762204,92,2273565
2019-05,0.6491097826086957,0.6449306406936439,0.6491100675371058,92,2273565
2019-06,0.6479956521739131,0.6341025571122657,0.6435466377253345,92,2273565
2019-07,0.6994663043478261,0.6808771950468999,0.6923790499501883,92,2273565
2019-08,0.691925,0.6701741940773113,0.6742321978038895,92,2273565
2019-09,0.67965,0.6537971931667507,0.6673245993846668,92,2273565
2019-10,0.6942836956521738,0.6740778670909392,0.6868073283147831,92,2273565
2019-11,0.6871891304347827,0.6792097238148228,0.6777064909074515,92,2273565
2019-12,0.7197304347826087,0.7056155967670179,0.7120791261740922,92,2273565
2020-01,0.7319478260869566,0.7139067188553826,0.7192757928627508,92,2273565
2020-02,0.7218186813186813,0.7001752920048057,0.7069725249928732,91,2241539
2020-03,0.756495652173913,0.7467751316924295,0.7506575215575539,92,2273565
2020-04,0.7348902173913043,0.7345069374773863,0.732490924077385,92,2273565
2020-05,0.730316304347826,0.7263210066231537,0.7302910593275319,92,2273565
2020-06,0.7125260869565218,0.7062020766904127,0.7103036437049304,92,2273565
2020-07,0.7148423913043479,0.7051617645965713,0.7111572146386842,92,2273565
2020-08,0.7148032608695651,0.7055406969232233,0.7118440839386602,92,2273565
2020-09,0.7140152173913045,0.7038649962123739,0.7121820765185952,92,2273565
2020-10,0.7167065217391304,0.7030709180265866,0.7130897896915197,92,2273565
2020-11,0.737589552238806,0.7291719873400938,0.7378341225151159,67,1689767
2020-12,0.7194804347826087,0.7119967498013273,0.7202248108147337,92,2273565
2021-01,0.7338749999999999,0.7303336064650899,0.7347337370165358,92,2273565
2021-02,0.7283999999999999,0.7220538251198868,0.7255438975353684,92,2273565
2021-03,0.7448728260869565,0.7359862831089361,0.7415829540391412,92,2273565
2021-04,0.7441597826086956,0.7288778170265003,0.7354609605619369,92,2273565
2021-05,0.7331880434782608,0.7187758642401082,0.7226660395018396,92,2273565
2021-06,0.7244055555555555,0.7089243835020205,0.7120714090096055,90,2174790
2021-07,0.7355695652173913,0.7147545782180339,0.7278029941523555,92,2273565
2021-08,0.7259434782608696,0.7001214902150257,0.711471944061419,92,2273565
2021-09,0.6996978260869566,0.6722394982734327,0.6853463766815552,92,2273565
2021-10,0.7133826086956521,0.6874634881577927,0.6999588244013256,92,2273565
2021-11,0.7264054347826088,0.7076328533669428,0.7200713881943116,92,2273565
2021-12,0.7342000000000001,0.7217472155208505,0.7278626815155933,92,2273565
2022-01,0.7397659340659342,0.7320269809495852,0.737057255020585,91,2247995
2022-02,0.716204347826087,0.6855195047992996,0.700243500097864,92,2273565
2022-03,0.6937489130434783,0.6625967740683697,0.6776037954929813,92,2273565
2022-04,0.6880271739130435,0.6548244449460605,0.6667804208808633,92,2273565
2022-05,0.7054108695652175,0.6811031535130916,0.6933594016445539,92,2273565
2022-06,0.6978521739130434,0.6702672140779452,0.6897555111026076,92,2273565
2022-07,0.6965510869565218,0.6699351451267516,0.689156726022788,92,2273565
2022-08,0.6807076923076923,0.654315694529666,0.6681698826398211,91,2241561
2022-09,0.6150065217391304,0.5805202926036896,0.5951805158418607,92,2273565
2022-10,0.6928108695652174,0.6562853863761325,0.6744459535575187,92,2273565
2022-11,0.6899586956521739,0.6579441220741544,0.67269836261554,92,2273565
2022-12,0.7072619565217392,0.6813387774220312,0.6943335363624967,92,2273565
2023-01,0.7255326086956522,0.7065425301233793,0.7126835077510429,92,2273565
2023-02,0.7060315217391304,0.6798133472012557,0.6848868787125065,92,2273565
2023-03,0.700975,0.6820634950443858,0.6863239789493593,92,2273565
2023-04,0.6827,0.6571999725082831,0.665302752813313,92,2273565
2023-05,0.6679315217391304,0.6453805372854362,0.6574652450666684,92,2273565
2023-06,0.6558347826086957,0.6370682717165435,0.641036322471537,92,2273565
2023-07,0.6514315217391304,0.6367662006556474,0.643327926934132,92,2273565
2023-08,0.6501510869565217,0.6288803430397859,0.6343317112552312,92,2273565
2023-09,0.6380195652173913,0.6071599939223082,0.6198334885081359,92,2273565
2023-10,0.6540326086956522,0.6240493022678754,0.6291045857057088,92,2273565
2023-11,0.6748434782608695,0.6465663817839774,0.6576825667179078,92,2273565
2023-12,0.6877423913043479,0.6607525123494105,0.6726757897838856,92,2273565
2024-01,0.7021815217391305,0.6739152912974232,0.6842399966572321,92,2273565
2024-02,0.7032608695652174,0.6724510264849627,0.6828776266788062,92,2273565
2024-03,0.7046086956521739,0.6753289833748898,0.6919881875380735,92,2273565
2024-04,0.675579347826087,0.643676959481691,0.6607557894320154,92,2273565
2024-05,0.6525619565217391,0.6274441864583344,0.6321607618431846,92,2273565
2024-06,0.6690902173913044,0.6437325019867274,0.6527052966596513,92,2273565
2024-07,0.6839108695652174,0.6587260911697479,0.6697565247969598,92,2273565
2024-08,0.6619152173913043,0.6358069456757114,0.6483806277366163,92,2273565
2024-09,0.6523434782608696,0.6215722612401771,0.6327239196152299,92,2273565
2024-10,0.6419717391304348,0.6209581211515695,0.6233085824685021,92,2273565
2024-11,0.6742538461538462,0.6465253064130545,0.6521350306903138,91,2256901
2024-12,0.6919586956521739,0.6717470226415879,0.672946573421037,92,2273565
2025-01,0.6986108695652173,0.674969260653177,0.6750160226780408,92,2273565
2025-02,0.7081510869565217,0.6852212128383586,0.6845001311156708,92,2273565
2025-03,0.696625,0.6741307716482241,0.6782561740702376,92,2273565
