stop_id,avg_ons,avg_offs,stop_name,lat,lon,direction,mode,net_flow,total_usage,flow_type,on_off_ratio
X20280,1.05227275,5.5045455,WEST LIBERTY AVE OPP BELLE ISLE AVE,40.4003,-80.0237,Outbound,Bus,-4.45227275,6.55681825,Attractor,0.19116432955273055
S10470,0.41818182,1.8681816500000001,BUTTERMILK HOLLOW RD AT REMNANT WORLD,40.3553,-79.9129,Outbound,Bus,-1.44999983,2.28636347,Attractor,0.22384430336311245
E41990,1.1545455,43.18409,NEGLEY AVE AT WELLESLEY AVE NS,40.4741,-79.9251,Outbound,Bus,-42.0295445,44.338635499999995,Attractor,0.026735436592504325
E26440,7.922727500000001,3.8522724999999998,HAMILTON AVE AT COLLIER ST,40.4536,-79.8928,Inbound,Bus,4.070455000000001,11.775,Generator,2.05663734847418
E13385,238.9,160.045455,CENTRE AVE AT DINWIDDIE ST,40.4432,-79.9807,Outbound,Bus,78.854545,398.94545500000004,Generator,1.492700932994317
E70322,4.2545455,0.047727275,COAL HOLLOW RD OPP CLIFF DR,40.4636,-79.8448,Inbound,Bus,4.206818225,4.302272775,Generator,89.14285385034029
E10920,84.9340945,49.554545,BROWNS HILL RD AT PARKVIEW BLVD FS,40.4141,-79.923,Inbound,Bus,35.3795495,134.4886395,Generator,1.7139516567047484
E32222,7.0886365,0.91363635,IMOGENE RD AT BROWNS HILL RD FS,40.4153,-79.925,Inbound,Bus,6.17500015,8.00227285,Generator,7.758706732717016
E49622,0.022727275,0.0,SALTSBURG RD AT CHAPEL HILL DENTAL BLDG (#7641,40.4751,-79.7753,Inbound,Bus,0.022727275,0.022727275,Generator,
N31500,10.118182000000001,30.5204525,MAIN ST AT 62ND ST BRIDGE FS,40.4955,-79.9389,Outbound,Bus,-20.4022705,40.6386345,Attractor,0.3315213626010296
E40110,2.75,0.49545454545454554,MONROEVILLE BLVD OPP JAMISON LN,40.4274,-79.7882,Inbound,Bus,2.2545454545454544,3.2454545454545456,Generator,5.55045871559633
X18580,2.1295455,0.5909091,VANADIUM DR AT VOLUNTEER FIRE COMPANY,40.3746,-80.093,Inbound,Bus,1.5386364,2.7204546,Generator,3.6038461753254434
P00490,56.363636,170.622729,FIFTH AVE AT GRANT ST NS,40.4392,-79.9962,Inbound,Bus,-114.259093,226.98636499999998,Attractor,0.33034072500387685
X19920,8.097727500000001,0.67272725,WEST LIBERTY AVE AT BELLE ISLE AVE,40.4001,-80.0238,Inbound,Bus,7.425000250000001,8.77045475,Generator,12.03716290666091
S48572,0.15,4.234091,WEYMAN RD AT MCROBERTS RD,40.3704,-79.9977,Outbound,Bus,-4.084091,4.384091000000001,Attractor,0.03542673031826666
N43430,6.8,84.638635,PERRYSVILLE AVE AT EAST ST,40.4893,-80.0182,Outbound,Bus,-77.838635,91.43863499999999,Attractor,0.08034156032880256
X03290,0.87954545,15.33182,BROOKLINE BLVD OPP BIRCHLAND ST,40.3923,-80.0095,Both,Bus,-14.45227455,16.21136545,Attractor,0.05736732168783614
S11460,2.181818,19.136364999999998,CHARLES ST AT KNOX AVE,40.4166,-79.9908,Outbound,Bus,-16.954546999999998,21.318182999999998,Attractor,0.11401423415575529
E34780,1.1954544999999999,1.5727275,LEMINGTON AVE OPP PAULSON AVE,40.47,-79.897,Inbound,Bus,-0.3772730000000002,2.768182,Attractor,0.7601154681914062
S02210,1.220454545454545,2.00909090909091,5TH ST AT KENNEDY AVE,40.3712,-79.8496,Inbound,Bus,-0.7886363636363651,3.2295454545454554,Attractor,0.6074660633484158
E17540,10.286363636363635,0.897727272727275,EDGEWOOD AVE AT GORDON ST,40.4288,-79.8845,Inbound,Bus,9.38863636363636,11.18409090909091,Generator,11.458227848101235
W07890,1.06363635,18.236365,GRAND AVE AT PITTSBURGH RECYCLING CENTER,40.5088,-80.1168,Outbound,Bus,-17.17272865,19.30000135,Attractor,0.05832501981617499
N08490,1.297727272727275,0.093181818181818,BEAVER ST AT OSBORNE LN,40.5331,-80.1721,Inbound,Bus,1.204545454545457,1.390909090909093,Generator,13.926829268292735
S39940,3.4204545,0.07272727500000001,PROVOST RD AT BRIGHTVIEW DR,40.3647,-79.9921,Inbound,Bus,3.347727225,3.493181775,Generator,47.031247905273496
E11700,7.36818205,33.66818000000001,BUTLER ST AT 44TH ST,40.4713,-79.9598,Outbound,Bus,-26.299997950000005,41.03636205000001,Attractor,0.21884705529078194
S24100,11.1454545,5.3795455,HWY RT 51 AT SOUTH MALL ENTRANCE DR,40.3352,-79.9469,Both,Bus,5.765909,16.525,Generator,2.071820844344564
E19370,6.7045455,31.179544999999997,FORBES AVE AT DENNISTON ST,40.438,-79.9181,Outbound,Bus,-24.474999499999996,37.8840905,Attractor,0.21503025461083541
E19430,3.506818,40.80682,FORBES AVE AT EAST END AVE,40.4397,-79.8967,Outbound,Bus,-37.300002,44.313638000000005,Attractor,0.08593705659985267
