city,upt_2019,upt_2023,upt_pct_change,vrh_2019,vrh_2023,vrh_pct_change,fares_2019,fares_2023,fares_pct_change,fare_per_trip_2019,fare_per_trip_2023,farebox_recovery_2019,farebox_recovery_2023,cost_per_trip_2019,cost_per_trip_2023
Baltimore,94036949.0,57907024.0,-38.42098811606488,4283186.0,3770860.0,-11.961329720446415,134835788.0,64870352.0,-51.88936634538006,1.4338596629714135,1.1202501444384363,16.12469879795357,7.065386862047482,8.892319050036384,15.855467878991675
Buffalo,23982380.0,14531216.0,-39.40878261456953,972183.0,820054.0,-15.648185578229612,35510180.0,25639807.0,-27.795896838596708,1.4806778976898873,1.7644639650253633,24.790400356723048,17.495335895304827,5.972787354716254,10.085339176019405
Cleveland,32171825.0,22415370.0,-30.32608501382809,1688437.0,1565468.0,-7.283007894283293,45260490.0,29814930.0,-34.12592307330301,1.4068362612316834,1.3301109908067545,15.053569639666811,10.498179634616788,9.345532620546084,12.669920282377673
Denver,105207476.0,64533895.0,-38.66035242590555,4516100.0,3350528.0,-25.809260202387012,154389604.0,63534317.0,-58.848060132338965,1.4674775013136898,0.9845108062979927,23.96010012172302,8.35631488210325,6.124671824652461,11.781638439768745
Minneapolis,77927237.0,44977111.0,-42.28319554047579,2444673.0,1797891.0,-26.456789926505508,98846415.0,44556598.0,-54.923405163454845,1.2684450110812988,0.9906505111010798,23.202323739842846,9.90378328935219,5.466887822546563,10.002748264556166
Pittsburgh,64007925.0,37908532.0,-40.77525243944402,2382972.0,2025498.0,-15.00118339619601,100778129.0,61653876.0,-38.82216646431291,1.5744633027863346,1.626385215866444,23.245630931040072,12.76399303736381,6.773157964423937,12.74197824384231
Portland,96633005.0,57442650.0,-40.55586908427406,3184356.0,2670842.0,-16.12614921195997,114894061.0,57328425.0,-50.10323031405427,1.1889732809199094,0.9980114949432173,22.113763394124554,8.996694181948737,5.376621155473743,11.093091248401667
St. Louis,36642036.0,19690804.0,-46.26170881989199,1928360.0,1269443.0,-34.16981269057645,40537859.0,19965094.0,-50.749510476120605,1.1063211389236123,1.0139298527373488,14.416024646715487,7.118498525226262,7.674245612334424,14.243591526277951
