stop_id,avg_daily_usage,stop_name,pct_stops,cum_pct_ridership
N71210,3907.881745275,NORTH SIDE STATION,0.014883167137966958,1.504160478376266
P03090,3360.4910274999997,SMITHFIELD ST AT SIXTH AVE,0.029766334275933917,2.7976279169995517
E01870,3265.413633,FIFTH AVE AT ATWOOD STATION,0.04464950141390087,4.054499657872566
P02470,3205.3022008499997,LIBERTY AVE AT MARKET ST,0.05953266855186783,5.2882342501745025
P00930,2841.3614,7TH ST AT PENN AVE,0.0744158356898348,6.381886464147292
P02325,2465.697758145,LIBERTY AVE AT 10TH ST NS,0.08929900282780175,7.33094412790771
P00590,2431.372758,FIFTH AVE AT WOOD ST,0.1041821699657687,8.266789951596252
P03690,2307.513706,WOOD ST AT SIXTH AVE,0.11906533710373567,9.154961893869931
E01730,2289.581807,FIFTH AVE AT THACKERAY AVE,0.13394850424170263,10.036231771153888
P00740,2236.931835,SIXTH AVE AT SMITHFIELD ST,0.1488316713796696,10.89723644794508
P03695,2232.2749965000003,WOOD ST BTW FORBES AVE & FIFTH AVE,0.16371483851763655,11.756448687584264
P03440,1972.0476925,STANWIX ST AT PENN AVE (GATEWAY #2),0.1785980056556035,12.515498319553839
E01360,1969.965892,FIFTH AVE AT OAKLAND AVE,0.19348117279357047,13.273746657564162
E19910,1912.884125,FORBES AVE OPP MOREWOOD AVE (CARNEGIE MELLON),0.2083643399315374,14.010023978140012
E02050,1870.12046,FIFTH AVE OPP THACKERAY AVE,0.2232475070695044,14.729841380275063
E19610,1749.725036,FORBES AVE AT MOREWOOD AVE FS (CARNEGIE MELL,0.23813067420747133,15.403318066297835
P02290,1719.563642,LIBERTY AVE AT 6TH ST,0.2530138413454383,16.06518550214757
P70027,1614.6590700000002,LIBERTY AVE AT 6TH ST NS (SHELTER),0.26789700848340525,16.68667471739374
P02310,1559.88865675,LIBERTY AVE AT 7TH ST (CLARK BLDG),0.28278017562137225,17.28708256519715
P03315,1550.0682000000002,STANWIX ST AT FOURTH AVE (PPG PLACE),0.2976633427593392,17.883710476992817
E01710,1508.14319755,FIFTH AVE AT TENNYSON AVE,0.31254650989730615,18.46420127516744
P00750,1476.6068050000001,SIXTH AVE AT WOOD ST,0.3274296770352731,19.032553580317902
P00710,1447.42276,SIXTH AVE AT SMITHFIELD ST,0.3423128441732401,19.58967282112571
P02860,1435.2977203500002,PENN AVE AT 7TH ST,0.357196011311207,20.142125082063327
E01050,1429.3363636,FIFTH AVE AT CHESTERFIELD RD,0.37207917844917393,20.69228279116818
E01010,1425.236385,FIFTH AVE AT BIGELOW BLVD (PITT),0.38696234558714093,21.24086240088971
P01040,1395.2046225,9TH ST AT PENN AVE,0.40184551272510793,21.777882656159665
P02550,1393.1568604499998,LIBERTY AVE AT WOOD ST,0.4167286798630748,22.314114719016057
P02430,1369.288628,LIBERTY AVE AT GATEWAY #4,0.4316118470010418,22.841159796625675
E01335,1326.363652,FIFTH AVE AT MEYRAN AVE,0.4464950141390088,23.351682866497335
E19660,1288.5840500000002,FORBES AVE AT MURRAY AVE,0.4613781812769758,23.847664405196536
P00585,1282.370435,FIFTH AVE AT ROSS ST,0.47626134841494266,24.341254296778438
P02280,1276.34315,LIBERTY AVE AT SIXTH AVE,0.4911445155529096,24.832524260460815
P03360,1264.404525,STANWIX ST AT FORBES AVE,0.5060276826908766,25.319198996072927
P03145,1256.2863555,SMITHFIELD ST AT FORBES AVE,0.5209108498288435,25.80274901335562
E17302,1229.6613145,EAST BUSWAY AT EAST LIBERTY STATION C,0.5357940169668105,26.27605093793291
P70024,1138.66595045,STANWIX ST AT PENN AVE FS,0.5506771841047775,26.714328355823174
E19210,1123.8000001,FORBES AVE AT BOUQUET ST FS,0.5655603512427445,27.146883805535417
P03660,1075.945475,WOOD ST AT THIRD AVE FS,0.5804435183807114,27.56101984287574
E17298,1075.2500367999999,EAST BUSWAY AT WILKINSBURG STATION A,0.5953266855186784,27.974888203064154
