route_name,gini,n_stops,total_usage,max_stop_usage,route_name_right,mode,avg_otp
G3,0.6860898500380948,28,1446.056766183182,524.23405,MOON FLYER,BUS,0.7420414634146342
P71,0.6793302487941241,104,712.1045734422727,144.69775,SWISSVALE FLYER,BUS,0.6818679012345679
21,0.7305251993435199,132,1828.618219159091,459.98865,CORAOPOLIS,BUS,0.7360734939759036
1,0.681909233469435,225,3127.7432069509096,344.552272727273,FREEPORT ROAD,BUS,0.6164829268292683
67,0.5950531857538637,205,3129.3022834927274,144.436365,MONROEVILLE,BUS,0.6035817073170732
P76,0.7044072878686085,111,1653.2977392713638,160.39091000000002,LINCOLN HIGHWAY FLYER,BUS,0.6996135802469136
71B,0.5236127100348483,121,7491.88178586,306.2227,HIGHLAND PARK,BUS,0.5879493975903615
57,0.6060283737471766,79,1679.1136269313636,176.14997499999998,HAZELWOOD,BUS,0.661587951807229
82,0.5204713471540564,138,5620.218163375,379.00225,LINCOLN,BUS,0.6079463414634146
91,0.6257150110090763,167,4048.4750466231817,615.5182,BUTLER STREET,BUS,0.6465373493975903
83,0.5855309488972581,112,3642.66596354,310.00455,BEDFORD HILL,BUS,0.6541397590361445
P12,0.8280891308610859,109,1988.349993799545,204.14090909090888,HOLIDAY PARK FLYER,BUS,0.6679280487804878
P17,0.6271076919752925,103,574.99546301,54.588640000000005,LINCOLN PARK FLYER,BUS,0.689380487804878
71,0.6113035546364468,96,93.57727319863636,21.53636363636364,EDGEWOOD TOWN CENTER,BUS,0.7087638554216867
71C,0.5661082347930625,138,7979.68629176,311.73863,POINT BREEZE,BUS,0.6080518072289156
41,0.6848925427442383,145,2252.1363487222725,230.997705,BOWER HILL,BUS,0.76378875
43,0.6407821242811582,66,867.50455055,110.752275,BAILEY,BUS,0.79543875
38,0.8901288707711511,158,3141.5500350759094,1015.77955,GREEN TREE,BUS,0.713946913580247
P10,0.8098197187402291,206,1217.6954554504546,170.5,ALLEGHENY VALLEY FLYER,BUS,0.6431036144578314
51,0.6591809801734354,143,10473.55466430591,859.32955,CARRICK,BUS,0.7006710843373495
P13,0.7792496413580876,125,346.76817978727274,77.67272589999999,MOUNT ROYAL FLYER,BUS,0.6792658536585365
G2,0.427967612267747,30,6139.254556236364,551.349975,WEST BUSWAY,BUS,0.8168280487804878
O5,0.8502347850779275,151,87.79545794636364,22.354547,THOMPSON RUN FLYER VIA 279,BUS,0.6921698795180723
71D,0.5939768299103969,136,6623.3749697349995,287.1386,HAMILTON,BUS,0.6559621951219512
36,0.7556420819847471,96,780.7886119095455,248.624975,BANKSVILLE,BUS,0.7328187500000001
27,0.672752605506285,106,1968.368162979091,626.45,FAIRYWOOD,BUS,0.7843629629629629
17,0.6595402716233411,101,2188.42502489,494.15455,SHADELAND,BUS,0.6683573170731708
P69,0.6639596931559538,146,353.8818208031818,43.32273,TRAFFORD FLYER,BUS,0.6454650602409638
P2,0.7004863037073448,22,762.28180015,228.7500045,EAST BUSWAY SHORT,UNKNOWN,0.8377
O12,0.7856188050058969,55,2515.1022021745453,590.7954545454545,MCKNIGHT FLYER,BUS,0.6471686746987952
58,0.49596173928041065,117,1348.42045207,75.170455,GREENFIELD,BUS,0.6076132530120482
G31,0.7500353602385925,81,1097.1318314177274,136.7636545,BRIDGEVILLE FLYER,BUS,0.7341548780487804
19L,0.5848057479432475,86,1128.7454610922728,103.7522725,EMSWORTH LIMITED,BUS,0.6602963855421686
89,0.4616238066414564,60,436.147723895,42.9795455,GARFIELD COMMONS,BUS,0.722351219512195
P16,0.7882303313652878,216,1380.3636369140909,103.68863999999999,PENN HILLS FLYER,BUS,0.6379180722891566
61B,0.6402460119813408,148,6557.884092631364,363.95911,BRADDOCK-SWISSVALE,BUS,0.5842313253012048
31,0.6490064031690717,133,2290.745434378182,191.94545999999997,BRIDGEVILLE,BUS,0.6748740740740741
4,0.748599558230247,106,911.681821430909,219.39318500000002,TROY HILL,BUS,0.7532843373493976
29,0.6539384957139542,150,1387.7204403645453,111.2045225,ROBINSON,BUS,0.6510407407407407
79,0.7082284667876132,120,871.595456925,102.197727,EAST HILLS,BUS,0.709910975609756
11,0.6012738144172177,62,798.50455962,118.10681350000002,FINEVIEW,BUS,0.7557734939759037
44,0.6093628370656419,138,1653.4682005504546,145.42499999999998,VIA KNOXVILLE,BUS,0.72646625
77,0.6609302570778742,272,2981.9567678922726,211.47498000000002,PENN HILLS,BUS,0.5577253012048192
14,0.6909027087177949,139,2263.488659149545,359.52501799999993,OHIO VALLEY,BUS,0.7563674698795181
51L,0.4887852051048106,55,1045.954547818182,128.38182,CARRICK LIMITED,BUS,0.7352228915662651
2,0.7288208562127093,204,1260.3522760113635,242.24316499999998,MOUNT ROYAL,BUS,0.6322256097560975
18,0.7039037942655144,45,144.297728275,38.729545,MANCHESTER,BUS,0.8840963855421686
16,0.5716537168675792,94,6325.336392,1529.81365,BRIGHTON,BUS,0.7138240963855421
13,0.6510645722420471,135,3552.611347996818,817.3932,BELLEVUE,BUS,0.712666265060241
P7,0.5904992687322409,112,889.1204513954546,102.304545,MCKEESPORT FLYER,BUS,0.7169891566265061
61C,0.6094679789383968,167,9232.01137814,441.81138,MCKEESPORT-HOMESTEAD,BUS,0.5677506024096386
61D,0.5760577281963869,111,8687.166087913636,553.34545,MURRAY,BUS,0.6678686746987952
P1,0.5300767070505082,25,10054.227407227272,2140.42285,EAST BUSWAY-ALL STOPS,BUS,0.8454204819277108
24,0.7933501370991515,102,2363.997752711364,537.82275,WEST PARK,BUS,0.6971098765432099
71A,0.5627804199286016,120,8518.31596364,408.3,NEGLEY,BUS,0.6446518072289156
60,0.7117359081322808,98,311.42954985954543,45.02955,MCKEESPORT - WALNUT,BUS,0.7833819277108435
55,0.6933640472619998,196,1848.545458125,183.15227,GLASSPORT,BUS,0.7121536585365854
22,0.7696993342370599,65,1288.8590828836363,340.64999,MCCOY,BUS,0.7232444444444445
8,0.6829459628603323,124,5385.172764752273,1209.4659000000001,PERRYSVILLE,BUS,0.7659469879518073
6,0.6425463164997671,87,2264.58638777,305.04774100000003,SPRING HILL,BUS,0.7247855421686747
