route_id,route_name,mode,baseline_otp,baseline_riders,baseline_months,recovery_otp,recovery_riders,recovery_months,otp_delta,ridership_pct_change,subtype
1,FREEPORT ROAD,BUS,0.6314428571428571,1713.7175533059064,14,0.5577954545454545,1543.3104965521954,22,-0.07364740259740254,-0.0994370725940114,local
11,FINEVIEW,BUS,0.7730142857142858,547.74506197736,14,0.7131772727272727,400.95187362045067,22,-0.05983701298701305,-0.2679954572789499,local
12,MCKNIGHT,BUS,0.6274428571428572,1242.045496222205,14,0.6529863636363636,947.8627380524612,22,0.02554350649350645,-0.23685344785237544,local
13,BELLEVUE,BUS,0.7017642857142857,2110.212524535507,14,0.6955954545454546,1408.5081588043047,22,-0.006168831168831157,-0.3325278177304246,local
14,OHIO VALLEY,BUS,0.759942857142857,1358.960982495765,14,0.7551000000000001,605.7607677566176,22,-0.004842857142856927,-0.5542471229423208,local
15,CHARLES,BUS,0.76115,1085.36550038988,14,0.601859090909091,694.2205944253375,22,-0.15929090909090904,-0.3603808171754467,local
16,BRIGHTON,BUS,0.7197142857142858,3824.6757642978127,14,0.7121636363636363,2184.9875678011053,22,-0.007550649350649419,-0.42871299360920967,local
17,SHADELAND,BUS,0.7148142857142857,1318.8957193944766,14,0.6535045454545455,941.0630233732012,22,-0.06130974025974023,-0.2864765503937974,local
18,MANCHESTER,BUS,0.8848285714285715,94.24501559517087,14,0.8689136363636364,45.66043153157778,22,-0.015914935064935132,-0.5155135659618117,local
19L,EMSWORTH LIMITED,BUS,0.6753357142857144,654.9146265225457,14,0.6679227272727273,265.26244845404926,22,-0.007412987012987093,-0.5949663701014968,limited
2,MOUNT ROYAL,BUS,0.6141357142857142,1016.9735137533277,14,0.6557954545454545,466.821784901528,22,0.041659740259740285,-0.540969574341581,local
20,KENNEDY,BUS,0.7555714285714286,694.0502466994703,14,0.6079863636363636,311.61962767140636,22,-0.14758506493506496,-0.5510128709653203,local
21,CORAOPOLIS,BUS,0.6778857142857142,1400.3814834234092,14,0.7410409090909091,888.6961124514484,22,0.06315519480519494,-0.36538998624937646,local
22,MCCOY,BUS,0.7189,946.8526350461133,14,0.6853363636363636,536.2493793097548,22,-0.03356363636363635,-0.4336506448190446,local
24,WEST PARK,BUS,0.6774500000000001,1680.6239446371435,14,0.6588454545454545,1131.3503931180812,22,-0.018604545454545596,-0.3268271603958693,local
26,CHARTIERS,BUS,0.8059357142857142,962.9529039283697,14,0.8015318181818182,641.7245581164553,22,-0.004403896103896021,-0.33358676681015464,local
27,FAIRYWOOD,BUS,0.7853928571428571,1087.8931845070035,14,0.7722272727272728,765.6075475249388,22,-0.013165584415584353,-0.2962475007398026,local
28X,AIRPORT FLYER,BUS,0.6101642857142858,2009.1914287058694,14,0.6020181818181819,1298.1013692828908,22,-0.008146103896103929,-0.35391852128345747,express
