year,population,upt,vrh,productivity,trips_per_capita
1991,1336449,85108033.0,2170267.0,39.21546657623232,63.68221533331987
2000,1281666,75130612.0,2350320.0,31.9661203580789,58.61949369024379
2010,1223348,66145567.0,2587194.0,25.56652767438391,54.06929753430749
2020,1250578,51787150.0,2173774.0,23.82361275827202,41.41057175162205
2024,1231809,37876514.0,2070196.0,18.29610046584961,30.748690746698554
