city,prod_1991,prod_2019,prod_2024,pct_change_1991_2024,pct_change_2019_2024
Minneapolis,42.62956792542519,31.876343789128445,25.112632972965553,-41.091045030301984,-21.21859037820292
Portland,35.21036628367944,30.3461688956888,22.767206256366585,-35.33947908142171,-24.975022927519976
Buffalo,39.520731503335995,24.668586058386126,18.712007717625696,-52.65267871864621,-24.14641166162615
Denver,34.77570784026838,23.29609087486991,18.636517453546393,-46.40937996388871,-20.00152491828541
Pittsburgh,39.21546657623232,26.86054431189288,18.29610046584961,-53.34468243471444,-31.884848447584307
Baltimore,53.98192684782192,21.954906697958016,16.073844557054766,-70.22365540532142,-26.787005847081264
Cleveland,38.1696750531001,19.054205161341525,15.232243380168597,-60.093337554018674,-20.058363751258355
St. Louis,35.026075138524874,19.0016573668817,14.744746338123367,-57.9035153673106,-22.40284069208497
