mode,prod_2007,prod_2019,prod_2024,pct_change_2019_2024,upt_share_2024,vrh_share_2024
Motor Bus,30.099340624770083,33.71937251774953,22.213161390016204,-34.123443790884814,88.10086574487372,70.75474158288752
Light Rail,63.931423715349304,44.57866420074818,25.7074881260623,-42.33230495580699,8.761904756748521,6.080294699143584
Paratransit,2.335597807364455,2.413861202556666,1.9107227908256688,-20.843717575728586,2.4434565844162024,22.813540397986788
Incline,79.06407639597609,93.31861515303562,35.21863405249416,-62.25979779625083,0.6937729139615579,0.3514233199821125
Fixed route (bus + rail),31.86101197461935,34.725834816474496,22.489682848954143,-35.23645157038911,96.86277050162224,76.8350362820311
All modes (agency-wide),24.488566193741033,27.038419746009534,17.83962598552582,-34.02119593857299,100.0,100.0
