month,day_type,total_riders,avg_riders_sum,n_routes
2020-02,WEEKDAY,4559421.0,227971.05,102
2020-03,SAT.,212487.0,53121.75,69
2020-03,SUN.,206832.0,41366.4,63
2020-03,WEEKDAY,2932740.000000001,133306.36363636368,100
2020-04,SAT.,155794.0,38948.5,68
2020-04,SUN.,98335.0,24583.75,62
2020-04,WEEKDAY,1133657.0000000005,51529.863636363654,99
2020-05,SAT.,230887.0,46177.4,68
2020-05,SUN.,201779.00000000003,33629.833333333336,62
2020-05,WEEKDAY,1301478.0,65073.9,99
2020-06,SAT.,208300.0,52075.0,68
2020-06,SUN.,141184.0,35296.0,62
2020-06,WEEKDAY,1668763.0000000002,75852.86363636365,100
2020-07,SAT.,127649.0,42549.66666666667,68
2020-07,SUN.,143394.0,28678.8,62
2020-07,WEEKDAY,1543348.0000000002,67102.08695652174,99
2020-08,SAT.,230213.0,46042.6,68
2020-08,SUN.,158592.0,31718.4,62
2020-08,WEEKDAY,1449351.9999999998,69016.7619047619,100
2020-09,SAT.,201520.0,50380.0,68
2020-09,SUN.,159893.0,31978.6,64
2020-09,WEEKDAY,1528512.999999999,72786.3333333333,99
2020-10,SAT.,243805.0,48761.0,69
2020-10,SUN.,120807.0,30201.75,62
2020-10,WEEKDAY,1608286.9999999995,73103.95454545452,99
2020-11,SAT.,177542.0,44385.5,72
2020-11,SUN.,157526.99999999997,26254.499999999996,71
2020-11,WEEKDAY,1379340.0,68967.0,99
2020-12,SAT.,141088.0,35272.0,72
2020-12,SUN.,105050.0,21010.0,70
2020-12,WEEKDAY,1304763.9999999995,59307.45454545453,99
2021-01,SAT.,182830.0,36566.0,72
2021-01,SUN.,134600.0,22433.333333333332,70
2021-01,WEEKDAY,1183173.0,59158.65,99
2021-02,SAT.,166107.0,41526.75,72
2021-02,SUN.,108155.0,27038.75,70
2021-02,WEEKDAY,1254846.0,62742.3,99
2021-03,SAT.,195280.0,48820.0,72
2021-03,SUN.,128636.0,32159.0,70
2021-03,WEEKDAY,1612539.9999999998,70110.43478260869,99
2021-04,SAT.,211348.0,52837.0,72
2021-04,SUN.,127725.0,31931.25,70
2021-04,WEEKDAY,1660000.0000000005,75454.54545454547,100
2021-05,SAT.,252919.0,50583.8,72
2021-05,SUN.,200922.99999999994,33487.16666666666,70
2021-05,WEEKDAY,1508993.0,75449.65,99
2021-06,SAT.,225107.0,56276.75,72
2021-06,SUN.,148975.0,37243.75,71
2021-06,WEEKDAY,1718158.0,78098.09090909091,100
2021-07,SAT.,282406.0,56481.2,72
2021-07,SUN.,186754.0,37350.8,72
2021-07,WEEKDAY,1727407.9999999998,82257.5238095238,100
2021-08,SAT.,260204.0,65051.0,72
2021-08,SUN.,209964.0,41992.8,71
2021-08,WEEKDAY,1984850.0000000002,90220.45454545456,100
2021-09,SAT.,308933.0,77233.25,72
2021-09,SUN.,266152.0,53230.4,71
2021-09,WEEKDAY,2336004.0,111238.28571428572,100
2021-10,SAT.,358736.0,71747.2,72
2021-10,SUN.,239033.0,47806.6,71
2021-10,WEEKDAY,2334015.0,111143.57142857143,100
2021-11,SAT.,257490.0,64372.5,72
2021-11,SUN.,187986.0,37597.2,71
2021-11,WEEKDAY,2186288.9999999995,104108.99999999997,99
2021-12,SAT.,176607.00000000003,58869.00000000001,72
2021-12,SUN.,193061.0,38612.2,71
2021-12,WEEKDAY,2070118.9999999998,90005.17391304346,99
2022-01,SAT.,196504.0,49126.0,72
2022-01,SUN.,187180.99999999997,31196.83333333333,71
2022-01,WEEKDAY,1715455.999999999,81688.3809523809,99
2022-02,SAT.,231427.0,57856.75,72
2022-02,SUN.,159166.0,39791.5,71
2022-02,WEEKDAY,2045333.0,102266.65,99
2022-03,SAT.,261903.0,65475.75,72
2022-03,SUN.,164848.0,41212.0,71
2022-03,WEEKDAY,2593089.0000000005,112743.00000000003,99
2022-04,SAT.,339765.0,67953.0,72
2022-04,SUN.,170557.0,42639.25,71
2022-04,WEEKDAY,2331543.999999999,111025.90476190472,99
2022-05,SAT.,251743.0,62935.75,72
2022-05,SUN.,261221.0,43536.833333333336,71
2022-05,WEEKDAY,2225209.0,105962.33333333333,99
2022-06,SAT.,287095.0,71773.75,72
2022-06,SUN.,187769.0,46942.25,71
2022-06,WEEKDAY,2306796.9999999995,104854.40909090907,99
2022-07,SAT.,340134.0,68026.8,73
2022-07,SUN.,286540.0,47756.666666666664,72
2022-07,WEEKDAY,2094246.0,104712.3,99
2022-08,SAT.,288135.0,72033.75,72
2022-08,SUN.,204106.0,51026.5,71
2022-08,WEEKDAY,2533199.0,110139.08695652173,99
2022-09,SAT.,352154.0,88038.5,72
2022-09,SUN.,276766.0,55353.2,71
2022-09,WEEKDAY,2822615.0,134410.2380952381,99
2022-10,SAT.,388745.0,77749.0,72
2022-10,SUN.,272640.0,54528.0,71
2022-10,WEEKDAY,2668194.9999999995,127056.90476190475,99
2022-11,SAT.,311808.0,77952.0,72
2022-11,SUN.,264653.0,52930.6,71
2022-11,WEEKDAY,2525131.0,120244.33333333333,99
2022-12,SAT.,295399.0,59079.8,72
2022-12,SUN.,164108.0,41027.0,71
2022-12,WEEKDAY,2275122.0,103414.63636363637,99
2023-01,SAT.,252687.0,63171.75,72
2023-01,SUN.,220700.0,44140.0,71
2023-01,WEEKDAY,2424977.0,110226.22727272728,99
2023-02,SAT.,275252.0,68813.0,72
2023-02,SUN.,196209.0,49052.25,71
2023-02,WEEKDAY,2454962.0,122748.1,99
2023-03,SAT.,276438.0,69109.5,73
2023-03,SUN.,191565.0,47891.25,72
2023-03,WEEKDAY,2816146.0,122441.13043478261,100
2023-04,SAT.,367836.0,73567.2,72
2023-04,SUN.,248947.0,49789.4,71
2023-04,WEEKDAY,2559336.0,127966.8,99
2023-05,SAT.,286493.0,71623.25,72
2023-05,SUN.,254421.0,50884.2,71
2023-05,WEEKDAY,2679882.9999999995,121812.86363636362,99
2023-06,SAT.,319010.0,79752.5,72
2023-06,SUN.,211826.0,52956.5,71
2023-06,WEEKDAY,2580271.0,117285.04545454546,99
2023-07,SAT.,382165.0,76433.0,72
2023-07,SUN.,316301.99999999994,52716.99999999999,72
2023-07,WEEKDAY,2319421.0,115971.05,99
2023-08,SAT.,315160.0,78790.0,73
2023-08,SUN.,225363.0,56340.75,72
2023-08,WEEKDAY,2844711.0000000005,123683.08695652176,100
2023-09,SAT.,457467.0,91493.4,72
2023-09,SUN.,315646.0,63129.2,71
2023-09,WEEKDAY,2872676.0,143633.8,99
2023-10,SAT.,313018.0,78254.5,73
2023-10,SUN.,298124.0,59624.8,72
2023-10,WEEKDAY,3050230.0,138646.81818181818,99
2023-11,SAT.,302324.0,75581.0,72
2023-11,SUN.,241603.0,48320.6,71
2023-11,WEEKDAY,2614725.0,124510.71428571428,98
2023-12,SAT.,354818.0,70963.6,72
2023-12,SUN.,251781.00000000006,41963.50000000001,71
2023-12,WEEKDAY,2182020.0,109101.0,98
2024-01,SAT.,218534.0,54633.5,72
2024-01,SUN.,184551.0,36910.2,72
2024-01,WEEKDAY,2258889.9999999995,102676.81818181818,98
2024-02,SAT.,263961.0,65990.25,72
2024-02,SUN.,180614.0,45153.5,72
2024-02,WEEKDAY,2401997.0,114380.80952380951,99
2024-03,SAT.,310636.0,62127.2,73
2024-03,SUN.,210797.0,42159.4,72
2024-03,WEEKDAY,2311781.0,110084.80952380951,99
2024-04,SAT.,289331.0,72332.75,73
2024-04,SUN.,202765.0,50691.25,71
2024-04,WEEKDAY,2594723.0000000005,117941.95454545456,99
2024-05,SAT.,260858.0,65214.5,72
2024-05,SUN.,239732.0,47946.4,71
2024-05,WEEKDAY,2542646.0,115574.81818181819,98
2024-06,SAT.,352538.0,70507.6,74
2024-06,SUN.,242424.0,48484.8,73
2024-06,WEEKDAY,2206831.0,110341.55,100
2024-07,SAT.,283622.0,70905.5,74
2024-07,SUN.,254914.0,50982.8,73
