route_id,route_name,mode,avg_otp,n_signals,length_km,signal_density,match_rate,stop_count,span_km,n_route_stops,n_sig_stops,sig_stop_share
71B,HIGHLAND PARK,BUS,0.5879493975903615,100,12.770408474352738,7.830603085315049,0.34301147873058746,107,8.00855276887158,107,54,0.5046728971962616
81,OAK HILL,BUS,0.6691469879518073,90,11.933283605945949,7.541930869317148,0.22343324250681199,93,4.068262145780921,93,29,0.3118279569892473
83,BEDFORD HILL,BUS,0.6541397590361445,102,13.753245138812797,7.416431465483557,0.213684800897364,106,4.068262145780921,106,35,0.330188679245283
82,LINCOLN,BUS,0.6079463414634146,93,12.612443953540986,7.373670031167111,0.3003978779840849,136,10.139159614402985,136,65,0.47794117647058826
88,PENN,BUS,0.6430156626506024,68,9.719638350241787,6.9961450775900955,0.3263825929283772,70,7.702739777369081,70,47,0.6714285714285714
61B,BRADDOCK-SWISSVALE,BUS,0.5842313253012048,127,18.219493130070042,6.9705561561641405,0.2659963436928702,137,12.970818848103756,137,62,0.45255474452554745
61C,MCKEESPORT-HOMESTEAD,BUS,0.5677506024096386,162,25.206088972154042,6.4270184945775,0.23858173076923078,158,16.462887597685608,158,96,0.6075949367088608
O12,MCKNIGHT FLYER,BUS,0.6471686746987952,140,23.06255407203717,6.0704464719173,0.10334468255557781,64,16.413809486675728,64,42,0.65625
61A,NORTH BRADDOCK,BUS,0.5899975903614457,131,22.00331498847199,5.95364835110681,0.21525169045830203,187,12.970818848103756,187,64,0.3422459893048128
39,BROOKLINE,BUS,0.789404938271605,62,10.502610724123763,5.9032941073965866,0.1480304955527319,69,6.419222994940436,69,20,0.2898550724637681
86,LIBERTY,BUS,0.628733734939759,85,14.456885789033002,5.879551186914752,0.2987012987012987,142,9.903352732145715,142,72,0.5070422535211268
54,NORTH SIDE-OAKLAND-SOUTH SIDE,BUS,0.6672096385542169,135,23.350063689067976,5.781568812731087,0.2159477866061294,211,7.796044980917041,211,86,0.4075829383886256
87,FRIENDSHIP,BUS,0.6755170731707317,80,14.40804045239149,5.552455260265552,0.19079535299374442,175,8.37811622720184,175,62,0.35428571428571426
65,SQUIRREL HILL,BUS,0.6150641975308642,78,14.530777461991796,5.367916493389625,0.164929768917082,70,7.949335087701236,70,25,0.35714285714285715
61D,MURRAY,BUS,0.6678686746987952,62,11.590044775612988,5.349418505306928,0.2435114503816794,75,5.6385721010378065,75,43,0.5733333333333334
58,GREENFIELD,BUS,0.6076132530120482,88,17.062629940907854,5.157469880362287,0.19249665029030819,102,6.756924482527202,102,39,0.38235294117647056
67,MONROEVILLE,BUS,0.6035817073170732,173,34.66358170963262,4.990828744968534,0.14863078375826252,191,22.276841676728523,191,67,0.3507853403141361
71A,NEGLEY,BUS,0.6446518072289156,40,8.181701664810465,4.88895851238871,0.3547979797979798,72,5.918423835705078,72,42,0.5833333333333334
91,BUTLER STREET,BUS,0.6465373493975903,92,18.904545974099857,4.866554326459067,0.17240103588605254,158,13.419994427708412,158,66,0.4177215189873418
71C,POINT BREEZE,BUS,0.6080518072289156,51,10.98897559529865,4.641014947910071,0.2965753424657534,100,6.65374995721062,100,59,0.59
48,ARLINGTON,BUS,0.7499313253012049,47,10.238137490772816,4.5906787286612465,0.19899244332493704,89,3.9666806534948136,89,33,0.3707865168539326
40,MOUNT WASHINGTON,BUS,0.7615112500000001,42,9.190331057200103,4.57002035493546,0.1462140992167102,77,3.5505152436795564,77,14,0.18181818181818182
36,BANKSVILLE,BUS,0.7328187500000001,80,18.069409911410574,4.427372027765065,0.14641509433962263,78,12.14128048404031,78,29,0.3717948717948718
38,GREEN TREE,BUS,0.713946913580247,79,18.396920483751703,4.29419695920159,0.1379632513235752,131,12.261876259076415,131,45,0.3435114503816794
89,GARFIELD COMMONS,BUS,0.722351219512195,26,6.067810161320654,4.284906631677007,0.19136522753792298,54,3.067484551879533,54,21,0.3888888888888889
43,BAILEY,BUS,0.79543875,36,8.471317446530517,4.249634159884309,0.13063909774436092,65,3.0808635703786256,65,12,0.18461538461538463
6,SPRING HILL,BUS,0.7247855421686747,34,8.019825213184305,4.239493891226609,0.1976241900647948,80,4.8477882512128785,80,10,0.125
75,ELLSWORTH,BUS,0.6881614457831325,81,19.197618154483386,4.219273419660312,0.1890156918687589,150,10.999978046254409,150,57,0.38
G2,WEST BUSWAY,BUS,0.8168280487804878,52,12.525696038230025,4.151465901877976,0.10268656716417911,24,8.890523063033768,24,9,0.375
93,LAWRENCEVILLE - HAZELWOOD,BUS,0.6605530120481927,82,19.890260315435558,4.122620755061966,0.22535211267605634,173,8.902574050474298,173,66,0.3815028901734104
16,BRIGHTON,BUS,0.7138240963855421,49,12.0814994776747,4.0557879500426814,0.18318157471880023,95,9.22508834471124,95,42,0.4421052631578947
41,BOWER HILL,BUS,0.76378875,83,20.644369673187324,4.020466660592668,0.17567567567567569,138,14.172647691300227,138,48,0.34782608695652173
15,CHARLES,BUS,0.6856385542168675,45,11.47308866511777,3.9222219328624077,0.2003218020917136,95,5.509012670599699,95,32,0.3368421052631579
71D,HAMILTON,BUS,0.6559621951219512,40,10.20291285017544,3.9204490509112007,0.29879740980573544,93,6.992827708097283,93,42,0.45161290322580644
51,CARRICK,BUS,0.7006710843373495,92,23.49451921409183,3.9158068808158077,0.15045537340619308,141,12.104660004294889,141,55,0.3900709219858156
O1,ROSS FLYER,BUS,0.7058060240963855,42,10.906118183214371,3.8510494104714805,0.10935524652338811,7,7.885177660219192,7,4,0.5714285714285714
12,MCKNIGHT,BUS,0.654610843373494,109,29.25704212862087,3.7255987642499964,0.1549374130737135,108,16.35066654278593,108,43,0.39814814814814814
G31,BRIDGEVILLE FLYER,BUS,0.7341548780487804,73,19.805438798877685,3.6858562307711504,0.1429699842022117,78,14.177868183201774,78,34,0.4358974358974359
7,SPRING GARDEN,BUS,0.7074795180722891,35,9.63547158002215,3.6324117308973,0.12453942520265292,67,5.529351642279202,67,7,0.1044776119402985
31,BRIDGEVILLE,BUS,0.6748740740740741,73,20.100938687620776,3.631671193791426,0.17122990004345937,128,14.177868183201774,128,41,0.3203125
77,PENN HILLS,BUS,0.5577253012048192,122,34.02149954283174,3.5859677450844503,0.12518660695244188,258,21.55636545853036,258,87,0.3372093023255814
13,BELLEVUE,BUS,0.712666265060241,59,16.504926951271848,3.574690162167215,0.14968553459119496,133,9.35692555158862,133,35,0.2631578947368421
69,TRAFFORD,BUS,0.6026573170731707,141,40.0433359873603,3.5211851491221093,0.13393198318685517,209,22.574311709378655,209,81,0.3875598086124402
51L,CARRICK LIMITED,BUS,0.7352228915662651,41,11.788297640081987,3.4780255174923496,0.1703216374269006,50,8.460230278511208,50,18,0.36
64,LAWRENCEVILLE - WATERFRONT,BUS,0.680559756097561,50,14.792488257678665,3.3800939455906205,0.218769422001243,110,8.000338207867376,110,60,0.5454545454545454
17,SHADELAND,BUS,0.6683573170731708,51,15.383141385864073,3.3153176403140314,0.1341973244147157,101,6.933390352884643,101,30,0.297029702970297
P67,MONROEVILLE FLYER,BUS,0.6799807228915663,73,22.80504504600433,3.2010460778629475,0.10370611183355007,69,17.340406383062557,69,23,0.3333333333333333
18,MANCHESTER,BUS,0.8840963855421686,18,5.696763396289985,3.1596888878556015,0.15233785822021115,43,2.140481159734372,43,12,0.27906976744186046
57,HAZELWOOD,BUS,0.661587951807229,44,13.977439307519587,3.1479299628458315,0.15285451197053407,79,8.74557903837226,79,33,0.4177215189873418
29,ROBINSON,BUS,0.6510407407407407,85,27.007600205672766,3.14726222813926,0.13806888068880688,131,17.067718520592095,131,38,0.2900763358778626
53L,HOMESTEAD PARK LIMITED,BUS,0.6500780487804878,89,29.41142745428071,3.026034698191652,0.11584107327141382,146,12.322998382877683,146,42,0.2876712328767123
8,PERRYSVILLE,BUS,0.7659469879518073,43,14.346121127423327,2.9973258707403043,0.12965186074429771,119,8.943429869971231,119,27,0.226890756302521
4,TROY HILL,BUS,0.7532843373493976,37,12.505174971943225,2.9587750737605583,0.114321608040201,96,6.669512989249653,96,9,0.09375
21,CORAOPOLIS,BUS,0.7360734939759036,80,28.11643474940169,2.845310961828202,0.11029796131730267,133,20.236530514416152,133,47,0.3533834586466165
P1,EAST BUSWAY-ALL STOPS,BUS,0.8454204819277108,44,15.630101251903142,2.8150809320344297,0.06471421823334908,24,10.828990566185034,24,5,0.20833333333333334
56,LINCOLN PLACE,BUS,0.6623096385542169,71,25.978939399457982,2.7329830101332515,0.1457659987071752,142,18.414636794317335,142,61,0.4295774647887324
52L,HOMEVILLE LIMITED,BUS,0.6749771084337349,64,23.43360293186975,2.731120783520654,0.11095796002756719,136,15.523676314067313,136,33,0.2426470588235294
P16,PENN HILLS FLYER,BUS,0.6379180722891566,97,36.330154386158206,2.6699583758707344,0.07529482915028728,199,20.652907624999234,199,27,0.135678391959799
2,MOUNT ROYAL,BUS,0.6322256097560975,83,31.924415012828,2.599891022800217,0.12580414581844174,187,13.848572886447071,187,35,0.18716577540106952
44,VIA KNOXVILLE,BUS,0.72646625,49,18.85739701779902,2.598449826015231,0.10905511811023622,133,8.098706096774043,133,16,0.12030075187969924
19L,EMSWORTH LIMITED,BUS,0.6602963855421686,39,15.354164073639787,2.5400275660044347,0.0912316269640142,81,12.13634801782539,81,19,0.2345679012345679
1,FREEPORT ROAD,BUS,0.6164829268292683,100,40.46282893215872,2.4714040673642272,0.13080357142857144,221,27.362454504961793,221,76,0.3438914027149321
74,HOMEWOOD-SQUIRREL HILL,BUS,0.6572341463414634,43,17.63919935869899,2.437752367643264,0.15691489361702127,171,5.981898239920018,171,51,0.2982456140350877
28X,AIRPORT FLYER,BUS,0.6166469879518072,106,44.67969928099635,2.3724421091859287,0.07633117882425362,74,29.003116140598706,74,43,0.581081081081081
P3,EAST BUSWAY-OAKLAND,BUS,0.8470578313253012,31,13.276797205364888,2.3349004673712663,0.12529110386585934,40,7.71174571972425,40,13,0.325
11,FINEVIEW,BUS,0.7557734939759037,28,12.198243357953745,2.2954124768910167,0.1485148514851485,55,3.444644227353401,55,13,0.23636363636363636
P7,MCKEESPORT FLYER,BUS,0.7169891566265061,63,27.794128468494023,2.2666657841570217,0.08983761131482451,101,16.690814353560626,101,37,0.36633663366336633
RED,Castle Shannon via Beechview,RAIL,0.827620987654321,41,18.317641274490978,2.2382794479710837,0.07857733664185278,59,12.628217675640576,59,0,0.0
24,WEST PARK,BUS,0.6971098765432099,55,24.805390976689146,2.217259951745418,0.09363422027618727,98,13.922258487647591,98,21,0.21428571428571427
P12,HOLIDAY PARK FLYER,BUS,0.6679280487804878,80,36.21189865656864,2.2092185985251684,0.060064685045433545,62,24.969203381144393,62,21,0.3387096774193548
P13,MOUNT ROYAL FLYER,BUS,0.6792658536585365,52,23.5489448688012,2.208166874979276,0.06307977736549165,123,13.848572886447071,123,21,0.17073170731707318
P76,LINCOLN HIGHWAY FLYER,BUS,0.6996135802469136,77,35.37220233629103,2.1768506034186017,0.09442653155228005,100,20.75113983556403,100,38,0.38
SLVR,Libary via Overbrook,RAIL,0.84659375,48,22.902488818936547,2.0958420885817435,0.04448790026888291,58,17.92623709638972,58,0,0.0
BLUE,SouthHills Village via Overbrook,RAIL,0.8507283950617285,37,17.84469985709826,2.0734447929244464,0.06931106471816284,45,12.628217675640576,45,0,0.0
P71,SWISSVALE FLYER,BUS,0.6818679012345679,43,20.767065494910533,2.070586237161826,0.06431237438989378,111,10.76040911938259,111,14,0.12612612612612611
P69,TRAFFORD FLYER,BUS,0.6454650602409638,63,30.69474895638781,2.052468325755413,0.08033451596553472,128,22.574311709378655,128,35,0.2734375
P17,LINCOLN PARK FLYER,BUS,0.689380487804878,56,28.16372776077129,1.9883731470377763,0.07694491766042022,177,12.69086876843747,177,30,0.1694915254237288
26,CHARTIERS,BUS,0.80436125,23,11.925433955967048,1.928650989550921,0.09740714786264891,81,5.737168533918969,81,10,0.12345679012345678
P68,BRADDOCK HILLS FLYER,BUS,0.6795807228915662,73,38.12553765078052,1.914727096274943,0.06519319446652885,175,21.088131221771317,175,28,0.16
22,MCCOY,BUS,0.7232444444444445,26,14.52399494452893,1.790141080281358,0.08328304164152082,65,8.91323125286527,65,11,0.16923076923076924
G3,MOON FLYER,BUS,0.7420414634146342,52,30.924761078427657,1.6815004606866277,0.04849692742069424,34,20.85468542273929,34,11,0.3235294117647059
P78,OAKMONT FLYER,BUS,0.5961602409638553,48,28.69137049318166,1.6729768977542192,0.07352171637885924,149,18.377446047902815,149,31,0.2080536912751678
27,FAIRYWOOD,BUS,0.7843629629629629,23,13.780206900188627,1.669060571193976,0.08682452944748027,105,6.682186660737685,105,10,0.09523809523809523
59,MON VALLEY,BUS,0.689755421686747,91,57.86059972714768,1.572745537189854,0.09456118665018541,334,12.895827524446,334,71,0.2125748502994012
71,EDGEWOOD TOWN CENTER,BUS,0.7087638554216867,17,11.084535172996224,1.5336682805982549,0.10481825866441251,95,4.127406434117842,95,11,0.11578947368421053
O5,THOMPSON RUN FLYER VIA 279,BUS,0.6921698795180723,44,29.252785529846577,1.5041302632567028,0.04389965792474344,127,16.16884707272886,127,14,0.11023622047244094
55,GLASSPORT,BUS,0.7121536585365854,69,47.28799183396021,1.4591442208473557,0.088388911209321,199,12.465259955456785,199,40,0.20100502512562815
P10,ALLEGHENY VALLEY FLYER,BUS,0.6431036144578314,75,51.569700435940725,1.4543423631704846,0.07162313731773755,189,35.609612146488786,189,59,0.31216931216931215
14,OHIO VALLEY,BUS,0.7563674698795181,36,27.002657705592373,1.3332021015303333,0.07392131979695432,138,24.12865021014509,138,24,0.17391304347826086
60,MCKEESPORT - WALNUT,BUS,0.7833819277108435,25,19.025743985342586,1.314009061577827,0.13895048041389504,88,5.058923463300133,88,22,0.25
20,KENNEDY,BUS,0.698530487804878,31,25.454803201227456,1.2178448112498135,0.0633009708737864,92,13.712067654834525,92,18,0.1956521739130435
79,EAST HILLS,BUS,0.709910975609756,13,14.681934346384564,0.8854419106703919,0.04504504504504504,114,4.013750915271161,114,13,0.11403508771929824
