feature,vif
stop_count,1.9230231922697403
span_km,2.506390790021963
is_rail,1.2097266299471012
is_premium_bus,2.5282170749846706
weekend_ratio,1.776685672528639
n_munis,2.6611551395809507
signal_density,1.3505923835075
