model,feature,coefficient,std_error,p_value,beta_weight,r_squared,adj_r_squared,n
base_6feat,intercept,0.7813627995513137,0.020087875145409637,0.0,NaN,0.47214163283643173,0.43488104221312107,92
base_6feat,stop_count,-0.0006159322039101917,0.00013730031898250093,0.000022585005918340784,-0.48855017488500513,0.47214163283643173,0.43488104221312107,92
base_6feat,span_km,-0.0049113597673846035,0.0013018536855117586,0.0002979909215758969,-0.4704177743195983,0.47214163283643173,0.43488104221312107,92
base_6feat,is_rail,0.1325371885609294,0.03300257787307219,0.0001272446463520538,0.34202595174016126,0.47214163283643173,0.43488104221312107,92
base_6feat,is_premium_bus,0.007398610390718676,0.019222710496017224,0.7012810117836661,0.0478215049416413,0.47214163283643173,0.43488104221312107,92
base_6feat,weekend_ratio,-0.006019075060126901,0.022464115873022078,0.7893932792367169,-0.028019836707470464,0.47214163283643173,0.43488104221312107,92
base_6feat,n_munis,0.00884348661140051,0.002677769500775698,0.0014027512853380664,0.4056363724770349,0.47214163283643173,0.43488104221312107,92
expanded_7feat_signal_density,intercept,0.8509256933112327,0.022003488599424935,0.0,NaN,0.6021084912326808,0.5689508655020709,92
expanded_7feat_signal_density,stop_count,-0.0005637479142165678,0.00012032578180869173,0.00001066823067352729,-0.4471582104866197,0.6021084912326808,0.5689508655020709,92
expanded_7feat_signal_density,span_km,-0.004717698493568025,0.001137588285053932,0.00008013876192292102,-0.45186859248085737,0.6021084912326808,0.5689508655020709,92
expanded_7feat_signal_density,is_rail,0.10399788021175926,0.029333575773720873,0.0006438236542740672,0.2683773086225847,0.6021084912326808,0.5689508655020709,92
expanded_7feat_signal_density,is_premium_bus,-0.00408024299212699,0.016930773175850625,0.8101457362685158,-0.026372974127124502,0.6021084912326808,0.5689508655020709,92
expanded_7feat_signal_density,weekend_ratio,0.0036894328830778676,0.01970662043389383,0.8519412266054052,0.017174948957163243,0.6021084912326808,0.5689508655020709,92
expanded_7feat_signal_density,n_munis,0.005058664698712488,0.0024477351350568766,0.04184483245952797,0.23203273642299346,0.6021084912326808,0.5689508655020709,92
expanded_7feat_signal_density,signal_density,-0.017515458470139474,0.003343858500943987,1.1828536421454316e-6,-0.4189656895956664,0.6021084912326808,0.5689508655020709,92
bus_base,intercept,0.7802962493526071,0.020355304352367383,0.0,NaN,0.3786901340076886,0.34126182882742884,89
bus_base,stop_count,-0.0006143826354069936,0.00013855763806473577,0.000028111487994753048,-0.5192562812679903,0.3786901340076886,0.34126182882742884,89
bus_base,span_km,-0.005028224502614822,0.001324423428868337,0.00027820247826304545,-0.5216502449057995,0.3786901340076886,0.34126182882742884,89
bus_base,is_premium_bus,0.008959407778659109,0.01952645925340794,0.6475525151166628,0.06261447046161765,0.3786901340076886,0.34126182882742884,89
bus_base,weekend_ratio,-0.003719657124028252,0.022938502852738237,0.8715757093496999,-0.018669133361288053,0.3786901340076886,0.34126182882742884,89
bus_base,n_munis,0.009022052481105956,0.002714357048085225,0.001322918007089724,0.449703523642811,0.3786901340076886,0.34126182882742884,89
bus_expanded_signal_density,intercept,0.8499022218240748,0.02227364066323751,0.0,NaN,0.5320699516345823,0.4978311676078444,89
bus_expanded_signal_density,stop_count,-0.0005623381984742881,0.00012139170895635261,0.00001343243706974917,-0.47527001078288617,0.5320699516345823,0.4978311676078444,89
bus_expanded_signal_density,span_km,-0.004827709204580552,0.0011570126255065394,0.00007447754271949769,-0.5008479012012689,0.5320699516345823,0.4978311676078444,89
bus_expanded_signal_density,is_premium_bus,-0.0026377443050185894,0.017194851500839877,0.8784572494307525,-0.018434361617660974,0.5320699516345823,0.4978311676078444,89
bus_expanded_signal_density,weekend_ratio,0.005727698696096694,0.02011054255592279,0.7765072062870713,0.028747588082769934,0.5320699516345823,0.4978311676078444,89
bus_expanded_signal_density,n_munis,0.005226606483687074,0.0024804266493304735,0.03816095498544092,0.26051980492584276,0.5320699516345823,0.4978311676078444,89
bus_expanded_signal_density,signal_density,-0.017489827577886242,0.0033735329828891224,1.5299794484668894e-6,-0.44964571285423605,0.5320699516345823,0.4978311676078444,89
