city,cost_per_trip,opexp_vo_pt,opexp_vm_pt,opexp_nvm_pt,opexp_ga_pt,avg_bus_age,avg_lrv_age
Baltimore,16.428940084653597,8.47344286081354,2.2773798748898133,1.6048043225758466,4.073313026374399,6.7197,29.8302
St. Louis,14.555471639475817,6.795992345220997,2.044490304631794,2.020557000693975,3.69443198892905,7.22,24.7703
Denver,13.88299987010825,6.025192840097968,2.4145165999432248,1.6520214016683912,3.7912690283986668,6.4549,16.597
Pittsburgh,13.317463191042343,6.253360512532912,3.341878479101852,1.4917368319587172,2.230487367448863,7.1462,32.35
Cleveland,12.282853019944525,5.965910710386225,2.46725057088966,1.4059157970145992,2.4437759416540423,6.27,43.0
Portland,11.061723303401102,5.214587574176449,1.7899145156608958,1.1051138863243204,2.952107327239436,7.8925,24.4317
Minneapolis,10.849793017876632,5.280994451985457,1.8541958312144498,0.9719955578876563,2.742607176789069,10.4868,10.8173
Buffalo,9.95155337286853,5.384270961246996,1.9666446228497358,0.9976818180967628,1.6029559706750345,9.0949,40.0
