route_id,lag,correlation,p_value
1,0,-0.22059834876953086,0.06853675635989183
1,1,-0.2021585747120683,0.0982791919499651
1,2,-0.1791663189897542,0.14686106422674525
1,3,-0.1097457473218971,0.3803794622521442
1,4,-0.10464654532293438,0.4067659035322541
1,5,-0.14355002356443136,0.2577862992451073
1,6,-0.19875451368978553,0.1183825314420397
11,0,-0.1492602777932091,0.21748715111484299
11,1,-0.16947474162717274,0.16388060384070272
11,2,-0.17191696473165005,0.16096247105057745
11,3,-0.17389676962570583,0.15931835092874208
11,4,-0.18052426260669124,0.14691590642874897
11,5,-0.15380056294605046,0.22124904020167468
11,6,-0.10973185601883217,0.388047444002164
12,0,0.15137893108308978,0.21095424576695385
12,1,0.17391879350008047,0.15294589769481973
12,2,0.22573592023639666,0.06418046973585825
12,3,0.23111998071474624,0.05986841172456708
12,4,0.21552520552905896,0.08221613440825866
12,5,0.21008196591869518,0.0930210443066393
12,6,0.2558881379143951,0.04126341571465461
13,0,-0.048445626459939495,0.6904377891892385
13,1,-0.0849048052990643,0.48790686573295017
13,2,-0.0002677582046991013,0.998270942274576
13,3,0.04279618895846812,0.730946167078694
13,4,0.16789871871756337,0.17780573874262978
13,5,0.2228635656433145,0.0743527606017343
13,6,0.18850127722466453,0.13577857850115044
14,0,-0.43606841682414077,0.0001610088510411396
14,1,-0.425579961140099,0.00026685691743301844
14,2,-0.36302568343773667,0.002345339129565918
14,3,-0.27063655523756336,0.026754431386000355
14,4,-0.2219421947444431,0.07328908442800244
14,5,-0.2064475141164144,0.09895009502684049
14,6,-0.16758418412280726,0.1856250684198767
15,0,-0.0068940751695123915,0.9548303308829633
15,1,0.029920245210861965,0.8071918123777386
15,2,0.04011593125050118,0.7453308032043245
15,3,-0.005146289572077172,0.9670314456951333
15,4,-0.03388224534054389,0.787099560967287
15,5,-0.05106433233542996,0.6862352596978304
15,6,-0.03498569660792076,0.7837363146359742
16,0,-0.10210603957847178,0.40029197579917297
16,1,-0.09163162312613474,0.45396478985744654
16,2,-0.1169184931178245,0.3423554409759036
16,3,-0.17180494663430834,0.16447412901618125
16,4,-0.13241467409514462,0.2892066580815542
16,5,-0.11520912241107119,0.36078462250273247
16,6,-0.06504735904152043,0.6095863636068243
17,0,-0.6989309559746979,2.4137099737525924e-11
17,1,-0.6846803808250534,1.2076186134920617e-10
17,2,-0.6401939073161067,5.431628959949321e-9
17,3,-0.566074595044368,7.287082168169901e-7
17,4,-0.4989153503058912,0.000023357003858020914
17,5,-0.418764264782268,0.0005735515364641738
17,6,-0.2888713533144917,0.021669052568967624
18,0,0.01693240468514142,0.8893507463870837
18,1,0.06795233419836484,0.5790421069592521
18,2,0.11294395371402587,0.35912624274179367
18,3,0.1364609620513751,0.27084391095684757
18,4,0.18519824187175635,0.13656053623879413
18,5,0.2605790351777901,0.03604147761503037
18,6,0.3169325452451195,0.010721799793476145
19L,0,-0.37552068083721946,0.001358305517940256
19L,1,-0.42588184519757455,0.0002639011402017079
19L,2,-0.44266502243882117,0.00015688408562586343
19L,3,-0.4396976672253571,0.00019695838525388978
19L,4,-0.4848348556536,0.000037002895231122844
19L,5,-0.5600899779226879,1.2271006823091008e-6
19L,6,-0.5977646567561957,1.835596804498485e-7
2,0,-0.3288281244879413,0.00580285146838563
2,1,-0.3556040609064872,0.002920827201629102
2,2,-0.3342094117285756,0.005707938602889978
2,3,-0.35136809767843147,0.003817741140523101
2,4,-0.3526239034798807,0.0039648462170182135
2,5,-0.3647169089128943,0.0030463500770735075
2,6,-0.4050477786695363,0.0009914417248863194
20,0,-0.28548546697866456,0.017415686098790777
20,1,-0.19189464624014657,0.1169571810678978
20,2,-0.10307881986567252,0.4064977381272347
20,3,-0.05674648667983796,0.6508603836125382
20,4,-0.03875816817537358,0.7592008018864266
20,5,-0.03627652212124269,0.7759613386978785
20,6,0.015956104581719276,0.9012207397680251
21,0,0.13364783578406034,0.27002652492192386
21,1,0.10415239455795745,0.39439783341239204
21,2,0.06989552772412937,0.5711349219744551
21,3,0.055355705428339265,0.6563772762227186
21,4,0.06198572277085019,0.6210034708186957
21,5,-0.024164049284362808,0.8484750038722371
21,6,-0.1682809273199448,0.18377687791400582
22,0,-0.07133945673649414,0.5572908778055139
22,1,-0.07818332721908863,0.5231134205302982
22,2,-0.023852709063730156,0.8469000538895819
22,3,-0.03520126454384441,0.7773301439230415
22,4,-0.0921253343643269,0.4619154793286541
22,5,-0.20805359988185135,0.09629470613793202
22,6,-0.3065653066810554,0.013746299952376397
24,0,0.11595885302662655,0.3391013136757652
24,1,0.08676702639863644,0.4783787354618395
24,2,0.07926143779263548,0.5205480583816203
24,3,0.06964656802266675,0.5754561511120644
24,4,0.0824284416582186,0.5105521941030832
24,5,0.02265315594193546,0.857847560923972
24,6,-0.031355141121098315,0.8057149764685886
26,0,-0.11931698725931941,0.3288124013398848
26,1,-0.07454656880960511,0.5457296865631653
26,2,0.028902597459474145,0.8164026558289356
26,3,0.12494466180952016,0.31751149573337395
26,4,0.17463293537882923,0.16412398474751644
26,5,0.18680113441990098,0.13940783325913286
26,6,0.17283586036802595,0.17554814995604506
27,0,-0.09838355101492982,0.41777744141487466
27,1,-0.012933865620746582,0.915996216857372
27,2,0.10110823895681528,0.4119838295933905
27,3,0.1878235617963057,0.1279962723389857
27,4,0.20303242634829913,0.10204769934615647
27,5,0.16996124688664402,0.17587842707712914
27,6,0.06422482275945825,0.6141257076323925
28X,0,-0.08049762485706738,0.5076886093622319
