route_id,best_lag,f_stat,p_value,p_bonferroni,n_months,differenced
1,4,1.1179273659894864,0.3574833748457574,1.0,69,true
11,1,0.05294280394703053,0.8187420719326061,1.0,70,true
12,1,0.07539367757099509,0.7845104547037598,1.0,70,true
13,1,2.694998640763758,0.10549371932452663,1.0,70,true
14,1,2.171365622213328,0.14542789456297267,1.0,70,true
15,2,1.6176943466397544,0.2066148290395094,1.0,70,true
16,5,0.8777020830054587,0.5024609524719452,1.0,70,true
17,2,1.3028564598938586,0.27920819645183237,1.0,69,true
18,6,0.5939510902086863,0.7336214205045757,1.0,70,true
19L,2,1.6755001263640572,0.19557933215022807,1.0,70,true
2,1,1.5010906345709536,0.22499361056265008,1.0,69,true
20,1,0.6704737255612381,0.4159250957920567,1.0,69,true
21,6,1.933923754616175,0.0934619719423524,1.0,70,true
22,2,1.8300040078815103,0.1689715160487995,1.0,70,true
24,5,0.44103424279040404,0.8178635244702784,1.0,70,false
26,2,1.8626897262640647,0.16383859287045646,1.0,69,false
27,6,2.3625340338640024,0.04364164493850271,1.0,70,true
28X,1,2.3989386882926667,0.12627311525212362,1.0,70,true
29,1,0.13609409421343738,0.7133942582655808,1.0,70,true
31,1,0.20367661945798335,0.6532715614502124,1.0,70,true
36,1,1.097812252696003,0.29868758005196444,1.0,69,true
38,3,1.200115883305597,0.317501050464107,1.0,70,false
39,1,3.4158725844416145,0.06912222522172029,1.0,70,true
4,1,0.3051008264590694,0.5825966308306654,1.0,70,true
40,1,0.9887978619399937,0.32372380339666246,1.0,70,true
41,6,3.034686018494743,0.0132801150537412,1.0,69,true
43,1,2.8296068836017474,0.09741448443963913,1.0,69,true
44,1,6.60916211775976,0.012407810482147234,1.0,70,false
48,2,2.3859304286199547,0.10040249464155784,1.0,70,true
51,5,1.3465434751603291,0.2593782459252498,1.0,70,true
51L,1,0.9249528120784137,0.3397420776102448,1.0,70,true
52L,6,1.3716433526711556,0.2443418278788037,1.0,70,true
53L,4,1.1567173501564012,0.3399433134109049,1.0,69,true
54,1,0.8323694154187434,0.36495975885277,1.0,70,true
55,1,0.5231420779421085,0.47209925733888036,1.0,70,true
56,3,0.4939390095930637,0.68784266684964,1.0,70,false
57,4,2.1157440618532846,0.09087526264505794,1.0,70,true
58,4,1.0842100912244268,0.37315452887511685,1.0,70,true
59,1,6.118572905504461,0.01599874169299857,1.0,70,true
6,1,1.2697780245712031,0.2639511954109908,1.0,70,true
60,1,0.6646609020536086,0.41789659741949287,1.0,70,true
61A,6,1.1367332004403452,0.3550910940859733,1.0,70,true
61B,3,1.117699292378005,0.34923303150227275,1.0,70,true
61C,6,1.1309748751183097,0.35824565813208564,1.0,70,true
61D,2,2.541445243292298,0.08693158275985097,1.0,70,true
64,1,1.8876719968702842,0.1742577924252754,1.0,69,true
65,2,0.6535119764030577,0.523818971615208,1.0,69,true
67,3,4.673773372502875,0.005423434839910044,0.504379440111634,69,true
69,2,4.721907422507431,0.012398025556415306,1.0,69,true
7,1,3.5940965384169603,0.06243226753046538,1.0,70,true
71,6,2.7880573644466775,0.020363654179764427,1.0,70,true
71A,1,0.774137585947414,0.38218150304870335,1.0,70,true
71B,6,1.7034568232432459,0.13966645433702327,1.0,70,true
71C,6,1.1034345644120402,0.37363317449642786,1.0,70,true
71D,2,1.6799243463615736,0.19489559708142148,1.0,69,true
74,6,2.268942827501404,0.05194751446036376,1.0,69,true
75,3,0.6373360587207934,0.5939567761031465,1.0,70,true
77,1,1.1347382102429855,0.2907079741213209,1.0,70,true
79,2,1.672327591703316,0.19630411000869685,1.0,69,true
8,1,3.3527892766888967,0.07167506155960397,1.0,70,true
81,1,0.8934064446674361,0.34805628892988105,1.0,70,true
82,4,1.3023894940011826,0.28055270844216673,1.0,69,true
83,3,0.9594330743442546,0.41784102435642057,1.0,70,false
86,4,3.0268588075912444,0.02490813826265189,1.0,70,true
87,2,0.48386076527559996,0.618744516586712,1.0,69,true
88,1,0.6622739914981595,0.41872955203928913,1.0,70,true
89,4,0.759632505770551,0.5560500482547526,1.0,69,true
91,4,1.818047516561301,0.13817504850965878,1.0,70,true
93,1,0.5326663233990864,0.4680705672480175,1.0,70,false
BLUE,4,3.5845854807966377,0.011439684335713102,1.0,69,true
G2,1,1.0035852560825036,0.3202172403513668,1.0,69,true
G3,6,1.5625601329557222,0.17818101225482738,1.0,69,true
G31,2,1.367350704645862,0.2624782515134922,1.0,69,true
O1,3,1.2145377425737038,0.31241197102210655,1.0,70,true
O12,2,2.0792967144035623,0.13364976906868808,1.0,70,true
O5,5,1.6769601435466877,0.1562697917731949,1.0,70,true
P1,1,0.6296411457020984,0.4303741515701576,1.0,70,true
P10,6,0.9703460083651154,0.4549512813836615,1.0,70,true
P12,3,0.94895629882828,0.4230229503804438,1.0,69,true
P13,4,0.8089657263333793,0.5248283314614162,1.0,69,true
P16,4,1.3820076356862852,0.2519009139586237,1.0,70,true
P17,5,1.0354150016266013,0.4067994986309804,1.0,69,true
P2,4,0.7836319490997945,0.5421053387003942,1.0,57,true
P3,6,1.3383772348950627,0.2579763690865029,1.0,70,true
P67,3,2.6325066721621546,0.05824177257958961,1.0,70,true
P68,2,0.25121452523444,0.7786433969239754,1.0,70,true
P69,1,0.8099868309689262,0.37144645498535184,1.0,70,true
P7,2,2.2729714788893407,0.11152527142275367,1.0,70,true
P71,4,1.3737498984749357,0.2549763303712698,1.0,69,true
P76,6,0.84809789019586,0.539502220658855,1.0,68,true
P78,2,0.4943885532114176,0.6123276808123149,1.0,70,true
RED,1,2.7223895203175976,0.10377443678671679,1.0,70,true
SLVR,2,2.176972070353654,0.12211527424649636,1.0,69,true
