route_id,route_name,mode,avg_otp,months,max_wd,max_sa,max_su,weekend_ratio,service_tier
77,PENN HILLS,BUS,0.5577253012048192,83,25,16,15,0.62,balanced (0.3-0.7)
79,EAST HILLS,BUS,0.709910975609756,82,25,26,15,0.82,weekend-heavy (>0.7)
8,PERRYSVILLE,BUS,0.7659469879518073,83,53,31,23,0.5094339622641509,balanced (0.3-0.7)
81,OAK HILL,BUS,0.6691469879518073,83,29,24,22,0.7931034482758621,weekend-heavy (>0.7)
82,LINCOLN,BUS,0.6079463414634146,82,58,40,38,0.6724137931034483,balanced (0.3-0.7)
83,BEDFORD HILL,BUS,0.6541397590361445,83,27,22,23,0.8333333333333334,weekend-heavy (>0.7)
86,LIBERTY,BUS,0.628733734939759,83,36,37,30,0.9305555555555556,weekend-heavy (>0.7)
87,FRIENDSHIP,BUS,0.6755170731707317,82,39,22,9,0.3974358974358974,balanced (0.3-0.7)
88,PENN,BUS,0.6430156626506024,83,35,29,28,0.8142857142857143,weekend-heavy (>0.7)
89,GARFIELD COMMONS,BUS,0.722351219512195,82,16,16,14,0.9375,weekend-heavy (>0.7)
91,BUTLER STREET,BUS,0.6465373493975903,83,71,31,31,0.43661971830985913,balanced (0.3-0.7)
93,LAWRENCEVILLE - HAZELWOOD,BUS,0.6605530120481927,83,30,12,9,0.35,balanced (0.3-0.7)
BLUE,SouthHills Village via Overbrook,RAIL,0.8507283950617285,81,44,23,19,0.4772727272727273,balanced (0.3-0.7)
G2,WEST BUSWAY,BUS,0.8168280487804878,82,43,34,32,0.7674418604651163,weekend-heavy (>0.7)
G3,MOON FLYER,BUS,0.7420414634146342,82,7,0,0,0.0,weekday-heavy (<0.3)
G31,BRIDGEVILLE FLYER,BUS,0.7341548780487804,82,5,0,0,0.0,weekday-heavy (<0.3)
O1,ROSS FLYER,BUS,0.7058060240963855,83,10,0,0,0.0,weekday-heavy (<0.3)
O12,MCKNIGHT FLYER,BUS,0.6471686746987952,83,10,0,0,0.0,weekday-heavy (<0.3)
O5,THOMPSON RUN FLYER VIA 279,BUS,0.6921698795180723,83,3,0,0,0.0,weekday-heavy (<0.3)
P1,EAST BUSWAY-ALL STOPS,BUS,0.8454204819277108,83,95,66,45,0.5842105263157895,balanced (0.3-0.7)
P10,ALLEGHENY VALLEY FLYER,BUS,0.6431036144578314,83,5,0,0,0.0,weekday-heavy (<0.3)
P12,HOLIDAY PARK FLYER,BUS,0.6679280487804878,82,10,0,0,0.0,weekday-heavy (<0.3)
P13,MOUNT ROYAL FLYER,BUS,0.6792658536585365,82,3,0,0,0.0,weekday-heavy (<0.3)
P16,PENN HILLS FLYER,BUS,0.6379180722891566,83,11,0,0,0.0,weekday-heavy (<0.3)
P17,LINCOLN PARK FLYER,BUS,0.689380487804878,82,14,0,0,0.0,weekday-heavy (<0.3)
P3,EAST BUSWAY-OAKLAND,BUS,0.8470578313253012,83,47,0,0,0.0,weekday-heavy (<0.3)
P67,MONROEVILLE FLYER,BUS,0.6799807228915663,83,4,0,0,0.0,weekday-heavy (<0.3)
P68,BRADDOCK HILLS FLYER,BUS,0.6795807228915662,83,23,17,16,0.717391304347826,weekend-heavy (>0.7)
P69,TRAFFORD FLYER,BUS,0.6454650602409638,83,4,0,0,0.0,weekday-heavy (<0.3)
P7,MCKEESPORT FLYER,BUS,0.7169891566265061,83,12,0,0,0.0,weekday-heavy (<0.3)
P71,SWISSVALE FLYER,BUS,0.6818679012345679,81,7,0,0,0.0,weekday-heavy (<0.3)
P76,LINCOLN HIGHWAY FLYER,BUS,0.6996135802469136,81,8,0,0,0.0,weekday-heavy (<0.3)
P78,OAKMONT FLYER,BUS,0.5961602409638553,83,22,0,0,0.0,weekday-heavy (<0.3)
RED,Castle Shannon via Beechview,RAIL,0.827620987654321,81,62,57,52,0.8790322580645161,weekend-heavy (>0.7)
SLVR,Libary via Overbrook,RAIL,0.84659375,80,56,27,26,0.4732142857142857,balanced (0.3-0.7)
