stop_id,stop_name,stop_lat,stop_lon,classification,signal_dist_m,shape_id
643,PERRY HWY + CLARWIN,40.505238,-80.028328,mid_block,NaN,shp-8-53
6430,KANE BLVD + HUGHES,40.377351,-80.090497,mid_block,NaN,shp-41-51
6431,KANE BLVD + DAVIS,40.378087,-80.091418,mid_block,NaN,shp-41-51
6432,MAIN ST + #1737,40.377026,-80.092876,mid_block,NaN,shp-41-51
6434,VANADIUM RD + VOLUNTEER FIRE COMPANY,40.374261,-80.092323,mid_block,NaN,shp-41-51
6435,VANADIUM RD + VANADIUM WOODS VLG NS,40.372217,-80.089814,mid_block,NaN,shp-41-51
6436,VANADIUM RD + ELMBROOK,40.369455,-80.085846,mid_block,NaN,shp-41-51
6438,BOWER HILL RD + ROCKHILL,40.366837,-80.086314,near_side,13.2625622060821,shp-41-51
6442,BOWER HILL RD + UNION,40.362213,-80.097662,mid_block,NaN,shp-41-51
6443,BOWER HILL RD + COOKS SCHOOL,40.361173,-80.100298,mid_block,NaN,shp-41-51
6446,BOWER HILL RD + MCLAUGHLIN,40.358359,-80.105141,mid_block,NaN,shp-41-51
6447,RAILROAD ST + STATION,40.358016,-80.110706,mid_block,NaN,shp-41-51
6448,DEWEY AVE + BANK,40.356428,-80.110329,mid_block,NaN,shp-41-51
6449,BANK ST + GREGG,40.355192,-80.108766,mid_block,NaN,shp-41-51
6451,BANK ST + ELM,40.353711,-80.106586,mid_block,NaN,shp-41-51
6452,BANK ST + ELIZABETH,40.353131,-80.105911,mid_block,NaN,shp-41-51
6454,BANK ST + WINFIELD,40.350434,-80.104948,mid_block,NaN,shp-41-51
65,SARAH,40.31563,-80.029968,mid_block,NaN,shp-SLVR-51
650,PERRY HWY + #328,40.518423,-80.027666,mid_block,NaN,shp-8-53
651,PERRY HWY + VFW,40.517746,-80.030041,mid_block,NaN,shp-8-53
6528,LESNETT RD + BANK FS,40.349209,-80.103668,mid_block,NaN,shp-41-51
6571,WASHINGTON RD + ABBYVILLE,40.351983,-80.05052,ambiguous,3.7661877415185603,shp-36-03
6573,GALLERIA STOREFRONT + SOUTHEAST ENTRANCE,40.356559,-80.052006,mid_block,NaN,shp-36-03
6576,GILKESON RD + OLD GILKESON,40.359018,-80.05979,mid_block,NaN,shp-36-03
6577,GILKESON RD + CEDAR,40.361648,-80.063758,near_side,40.22505493856708,shp-36-03
6578,CEDAR BLVD + #1281,40.363107,-80.063427,mid_block,NaN,shp-36-03
6579,CEDAR BLVD + BEADLING RD,40.366372,-80.061188,mid_block,NaN,shp-36-03
6581,CEDAR BLVD + LINDENDALE,40.367586,-80.061278,mid_block,NaN,shp-36-03
6582,CEDAR BLVD + #1163,40.369265,-80.060649,mid_block,NaN,shp-36-03
6583,CEDAR BLVD + MAYFAIR,40.370795,-80.059912,mid_block,NaN,shp-36-03
6585,CEDAR BLVD + GREENHURST,40.374953,-80.056779,near_side,21.031468147500977,shp-36-03
6586,CEDAR BLVD + HOLLYCREST,40.377721,-80.055309,mid_block,NaN,shp-36-03
6598,CEDAR BLVD + SALEM,40.378045,-80.055118,mid_block,NaN,shp-36-51
6599,CEDAR BLVD + GREENHURST,40.37526,-80.056707,near_side,14.506324431158033,shp-36-51
66,LIBRARY STATION,40.287071,-80.020933,mid_block,NaN,shp-SLVR-01
6601,CEDAR BLVD + MAYFAIR,40.371078,-80.059793,mid_block,NaN,shp-36-51
6602,CEDAR BLVD + #1154,40.369488,-80.060616,mid_block,NaN,shp-36-51
6603,CEDAR BLVD + LINDENDALE,40.367725,-80.061354,mid_block,NaN,shp-36-51
6604,CEDAR BLVD + BEADLING,40.366356,-80.061272,mid_block,NaN,shp-36-51
6608,GILKESON RD + OLD GILKESON,40.358795,-80.059631,mid_block,NaN,shp-36-51
6611,WASHINGTON RD + ABBYVILLE,40.352315,-80.050609,far_side,3.7408820566559804,shp-36-51
6612,WASHINGTON RD + WASHINGTONIAN APTS,40.350225,-80.051365,mid_block,NaN,shp-36-51
6647,BROOKLINE BLVD + PIONEER,40.396176,-80.023332,near_side,40.21290281439269,shp-39-01
6654,BROOKLINE BLVD + BIRCHLAND,40.392337,-80.009447,mid_block,NaN,shp-39-51
6656,RUTLEDGE ST + REPUBLIC,40.440299,-80.025391,mid_block,NaN,shp-40-01
6657,GRANDVIEW AVE + SHALER,40.440396,-80.023224,mid_block,NaN,shp-40-01
6658,GRANDVIEW AVE + AUGUSTA,40.439816,-80.022141,mid_block,NaN,shp-40-01
6659,GRANDVIEW AVE + PLYMOUTH,40.438881,-80.020553,mid_block,NaN,shp-40-01
6660,GRANDVIEW AVE + COHASSETT,40.437868,-80.018323,mid_block,NaN,shp-40-01
6661,GRANDVIEW AVE + HALLOCK,40.43731,-80.01733,mid_block,NaN,shp-40-01
6662,GRANDVIEW AVE + LABELLE,40.436425,-80.015718,mid_block,NaN,shp-40-01
6663,LABELLE ST + PIERMONT,40.434605,-80.016043,mid_block,NaN,shp-40-01
6664,LABELLE ST + SYCAMORE,40.43332,-80.016311,mid_block,NaN,shp-40-01
6665,LABELLE ST + VIRGINIA,40.432235,-80.016524,mid_block,NaN,shp-40-01
6673,VIRGINIA AVE + BERTHA,40.431422,-80.012165,mid_block,NaN,shp-40-01
6674,VIRGINIA AVE + KEARSARGE,40.431144,-80.010727,mid_block,NaN,shp-40-01
6675,VIRGINIA AVE + MAPLE TERRACE,40.430652,-80.009673,mid_block,NaN,shp-40-01
6676,VIRGINIA AVE + SHOP N SAVE,40.429819,-80.008101,mid_block,NaN,shp-40-01
6677,SHILOH ST + VIRGINIA FS,40.429105,-80.007341,far_side,41.075603248557336,shp-40-01
6678,SOUTHERN AVE + NATCHEZ,40.428699,-80.008103,mid_block,NaN,shp-40-01
6679,SOUTHERN AVE + PROSPECT,40.428167,-80.008668,mid_block,NaN,shp-40-01
6680,SOUTHERN AVE + WHITWORTH,40.426024,-80.009288,mid_block,NaN,shp-40-01
6682,SOUTHERN AVE + DEWITT,40.424594,-80.010311,mid_block,NaN,shp-40-01
6683,SOUTHERN AVE + OHARA,40.423807,-80.011104,mid_block,NaN,shp-40-01
6688,BOGGS AVE + LELIA,40.421829,-80.010291,mid_block,NaN,shp-43-03
6690,BOGGS AVE + SMITH,40.423994,-80.009245,mid_block,NaN,shp-43-03
6691,BOGGS AVE + KRAMER,40.424553,-80.008908,mid_block,NaN,shp-43-03
6692,BOGGS AVE + #207,40.426144,-80.007845,mid_block,NaN,shp-43-03
6693,BOGGS AVE + WYOMING,40.426808,-80.006381,mid_block,NaN,shp-43-03
6694,BAILEY AVE + RUTH,40.426997,-80.00528,mid_block,NaN,shp-43-03
6698,KATHLEEN ST + JUDICIAL,40.425624,-79.999828,mid_block,NaN,shp-43-03
6699,KATHLEEN ST + CRAIGHEAD,40.425655,-79.99866,mid_block,NaN,shp-43-03
67,SMITH ROAD,40.356887,-80.029222,mid_block,NaN,shp-RED-01
6700,KATHLEEN ST + BELTZHOOVER,40.425688,-79.997641,mid_block,NaN,shp-43-03
6701,BELTZHOOVER AVE + EUREKA,40.423805,-79.997515,mid_block,NaN,shp-43-03
6702,BELTZHOOVER AVE + EDGEMONT,40.422607,-79.997475,mid_block,NaN,shp-43-03
6706,HABERMAN RAMP + SOUTH HILLS JCT,40.421537,-80.006101,mid_block,NaN,shp-44-02
6716,SOUTHERN AVE + SOFFEL,40.419825,-80.013304,mid_block,NaN,shp-40-01
6717,SOUTHERN AVE + MINSINGER,40.418807,-80.013647,mid_block,NaN,shp-40-01
6718,BOGGS AVE + WARRINGTON,40.415577,-80.011391,ambiguous,33.536215606264655,shp-43-51
6720,BELTZHOOVER AVE + WARRINGTON,40.421773,-79.997443,near_side,13.694988891099959,shp-43-03
6721,PALM GARDEN RAMP + WARRINGTON,40.416928,-80.011307,far_side,45.16732008067722,shp-40-51
6723,WARRINGTON AVE + DELMONT AVE FS,40.420787,-80.004713,mid_block,NaN,shp-43-51
6729,BELTZHOOVER AVE + KATHLEEN,40.425692,-79.997492,mid_block,NaN,shp-43-51
6730,KATHLEEN ST + CRAIGHEAD,40.42572,-79.998641,mid_block,NaN,shp-43-51
6731,KATHLEEN ST + JUDICIAL,40.425687,-79.999805,mid_block,NaN,shp-43-51
6732,KATHLEEN ST + ESTELLA,40.425654,-80.001036,mid_block,NaN,shp-43-51
6734,HABERMAN AVE + BAILEY,40.426867,-80.002561,mid_block,NaN,shp-43-51
6735,BAILEY AVE + RUTH,40.427069,-80.005214,mid_block,NaN,shp-43-51
6736,BOGGS AVE + ST JUSTINS PLAZA,40.426699,-80.006925,mid_block,NaN,shp-43-51
6737,BOGGS AVE + GREENBUSH,40.426387,-80.007529,mid_block,NaN,shp-43-51
6739,BOGGS AVE + PAUL,40.422517,-80.010143,mid_block,NaN,shp-43-51
6740,BOGGS AVE + LELIA,40.421852,-80.010375,mid_block,NaN,shp-43-51
6741,BOGGS AVE + SOFFEL,40.419703,-80.011424,mid_block,NaN,shp-43-51
6742,SOUTHERN AVE + CARFEL,40.420177,-80.013101,mid_block,NaN,shp-40-51
6743,SOUTHERN AVE + LELIA,40.421778,-80.012557,mid_block,NaN,shp-40-51
6744,SOUTHERN AVE + SIMMS,40.422385,-80.01235,mid_block,NaN,shp-40-51
6745,SOUTHERN AVE + #221,40.423755,-80.01104,mid_block,NaN,shp-40-51
6746,SOUTHERN AVE + DEWITT,40.424547,-80.010256,mid_block,NaN,shp-40-51
6747,SOUTHERN AVE + SANDWICH,40.425069,-80.009668,mid_block,NaN,shp-40-51
6748,SOUTHERN AVE + WHITWORTH,40.425932,-80.009239,mid_block,NaN,shp-40-51
6749,SOUTHERN AVE + GRAY,40.426708,-80.008982,mid_block,NaN,shp-40-51
6750,SOUTHERN AVE + COWAN,40.427578,-80.00888,mid_block,NaN,shp-40-51
6751,SOUTHERN AVE + PROSPECT,40.428091,-80.008635,mid_block,NaN,shp-40-51
6752,SOUTHERN AVE + SHILOH,40.428788,-80.007344,mid_block,NaN,shp-40-51
6754,VIRGINIA AVE + SHOP N SAVE,40.429864,-80.007988,mid_block,NaN,shp-40-51
6755,VIRGINIA AVE + MAPLE TERRACE,40.430636,-80.009447,mid_block,NaN,shp-40-51
6756,VIRGINIA AVE + KEARSARGE,40.431054,-80.010226,mid_block,NaN,shp-40-51
6761,VIRGINIA AVE + LABELLE,40.432161,-80.016383,mid_block,NaN,shp-40-51
6770,GRANDVIEW AVE + PLYMOUTH,40.438925,-80.020502,mid_block,NaN,shp-40-51
6771,GRANDVIEW AVE + AUGUSTA,40.43976,-80.021955,mid_block,NaN,shp-40-51
6772,GRANDVIEW AVE + SHALER,40.440406,-80.023119,mid_block,NaN,shp-40-51
6773,REPUBLIC ST + RUTLEDGE,40.440375,-80.025209,mid_block,NaN,shp-40-51
6774,REPUBLIC ST + GREENLEAF,40.439066,-80.026417,mid_block,NaN,shp-40-51
6775,GREENLEAF ST + FINGAL,40.439023,-80.027202,mid_block,NaN,shp-40-51
6776,BOGGS AVE + WARRINGTON FS,40.415711,-80.011537,mid_block,NaN,shp-43-03
6777,SOUTHERN AVE + MINSINGER,40.418773,-80.013575,mid_block,NaN,shp-40-51
6779,SHILOH ST + VIRGINIA,40.42927,-80.007281,near_side,23.42465102518597,shp-40-51
6787,VIRGINIA AVE + BERTHA ST,40.431473,-80.012191,mid_block,NaN,shp-40-51
6792,WEYMAN RD + WHITE HAMPTON,40.364269,-79.999698,mid_block,NaN,shp-Y45-01
6793,WEYMAN RD + FOXWOOD MANOR APTS,40.367182,-79.999221,mid_block,NaN,shp-Y45-01
6794,WEYMAN RD + MCROBERTS,40.370258,-79.997661,mid_block,NaN,shp-Y45-01
68,SMITH ROAD,40.356835,-80.029261,mid_block,NaN,shp-RED-51
6815,BAPTIST RD + MCKEE,40.352681,-80.009773,mid_block,NaN,shp-Y45-01
6817,BAPTIST RD + WINDVALE,40.353957,-80.005262,mid_block,NaN,shp-Y45-01
6818,BAPTIST RD + LACHMAN,40.355557,-80.002924,mid_block,NaN,shp-Y45-01
6825,PROVOST RD + MULBERRY,40.362988,-79.992186,mid_block,NaN,shp-Y47-52
