stop_id,stop_code,stop_name,classification,auth_class,auth_has_signal,heur_has_signal
8827,8827,CALMAR DR + #220,mid_block,none,0,0
8828,8828,MARK DR + CALMAR FS,mid_block,none,0,0
8829,8829,MARK DR + #7843,mid_block,none,0,0
883,883,PERRYSVILLE AVE + WILSON AVE,mid_block,none,0,0
8830,8830,MARK DR + #7865,mid_block,none,0,0
8831,8831,MARK DR + #7915,mid_block,none,0,0
8832,8832,MARK DR + GROVE,mid_block,none,0,0
8833,8833,GROVE RD + SUNCREST,mid_block,none,0,0
8834,8834,GROVE RD + WESTMINSTER,mid_block,none,0,0
8835,8835,GROVE RD + SELVIN,mid_block,none,0,0
8836,8836,GROVE RD + CHASKE,mid_block,none,0,0
8838,8838,CHASKE ST + CROSS,mid_block,none,0,0
8839,8839,CHASKE ST + #8168,mid_block,none,0,0
884,884,PERRYSVILLE AVE + CLAYTON,mid_block,none,0,0
8840,8840,CHASKE ST + BRAMBLE,mid_block,none,0,0
8841,8841,CHASKE ST + WESTMINSTER,mid_block,none,0,0
8843,8843,ABER RD + HARVEST,mid_block,none,0,0
8844,8844,ABER RD + #8141,mid_block,none,0,0
8845,8845,ABER RD + #8077,mid_block,none,0,0
8846,8846,ABER RD + GROVE,mid_block,none,0,0
8847,8847,ABER RD + URBAN,mid_block,none,0,0
885,885,PERRYSVILLE AVE + LAFAYETTE,mid_block,none,0,0
8859,8859,LINCOLN AVE + CAMPANIA,mid_block,none,0,0
886,886,PERRYSVILLE AVE + KOERNER,mid_block,none,0,0
8860,8860,LINCOLN AVE + LEMINGTON HOME DRVWY,mid_block,none,0,0
