geoid,population,land_area_m2,dist_to_stop_m,pop_density,within_half_mile,density_quartile
42003050600,1960,804401.0,9.455073717568688,2436.595678026258,true,4
42003431100,3244,924144.0,12.381239955192154,3510.2754549074602,true,4
42003101100,2537,1049825.0,16.535730499133553,2416.5932417307645,true,3
42003486900,1589,929135.0,18.482454626484937,1710.1928137461189,true,3
42003140100,6118,1467607.0,18.668473430998255,4168.690937015155,true,4
42003564700,2320,942558.0,19.7267738272212,2461.3869915697496,true,4
42003060300,2448,1116677.0,21.613378964144168,2192.218519768922,true,3
42003151700,4919,1186540.0,22.793482410408263,4145.66723414297,true,4
42003040400,1629,194956.0,23.23687276920025,8355.731549683005,true,4
42003090300,1473,258047.0,25.347251536328585,5708.26244831368,true,4
42003111500,3228,965267.0,28.13433084622051,3344.1524469395513,true,4
42003561400,3566,1824590.0,28.56635958312501,1954.4116760477698,true,3
42003552200,890,809820.0,29.814575120879418,1099.0096564668693,true,2
42003462100,2715,4048132.0,30.361209822450697,670.6797110370907,true,2
42003450800,2628,1367943.0,33.17631462610173,1921.1326787738965,true,3
42003982200,5498,505672.0,33.46964004836213,10872.660538847316,true,4
42003140300,3405,941940.0,33.656365305594385,3614.8799286578765,true,4
42003130800,2177,1002798.0,34.87341417407635,2170.9257497521935,true,3
42003488500,2797,9604869.0,38.11744022269129,291.2064703849683,true,1
42003080700,2034,275058.0,38.253050264246326,7394.804004973497,true,4
42003202200,2548,886977.0,43.661986939884116,2872.6787729557814,true,4
42003484600,1815,1202629.0,45.29076053617243,1509.193608336403,true,3
42003470600,3114,1874525.0,46.421199193955694,1661.220842613462,true,3
42003980600,12,981768.0,47.65346478422345,12.222846945510549,true,1
42003486700,2146,2492427.0,47.81205226365529,861.0081659362542,true,2
42003070600,2215,289738.0,48.07363414411959,7644.8377499672115,true,4
42003151600,2425,819407.0,50.96028711645088,2959.457266047276,true,4
42003445500,3873,2588391.0,51.34692072764518,1496.296347808349,true,3
42003040200,1843,604860.0,52.07237618491444,3046.9860794233377,true,4
42003430200,4608,1761454.0,52.22489025592727,2616.020628412664,true,4
