route_id,route_name,mode,avg_otp,city_lanes,penndot_lanes,oneway_share,limited_access_share,match_rate,penndot_match_rate,n_segments,stop_count,span_km
57,HAZELWOOD,BUS,0.661587951807229,2.5461444062024614,2.414998070911711,0.10096686520814299,0.4598568687175377,0.8759975445058318,0.7648864333947207,199,79,8.74557903837226
28X,AIRPORT FLYER,BUS,0.6166469879518072,2.4098453869507024,2.241941337818246,0.27612247765213727,0.4594579823619293,0.34995383194829177,0.8116343490304709,402,74,29.003116140598706
71D,HAMILTON,BUS,0.6559621951219512,2.4012245018414333,2.410149014119294,0.19974834119440726,0.018848452799290635,0.879740980573543,0.9417206290471786,208,93,6.992827708097283
O5,THOMPSON RUN FLYER VIA 279,BUS,0.6921698795180723,2.3851001122060436,2.1724,0.165086300679678,0.7731612848853148,0.38112884834663624,0.7528506271379704,243,127,16.16884707272886
O1,ROSS FLYER,BUS,0.7058060240963855,2.3769968339709533,2.2167183552753187,0.1655925666195906,0.7989121441428024,0.7989886219974716,0.9702907711757269,211,7,7.885177660219192
88,PENN,BUS,0.6430156626506024,2.3738075267968988,2.4310777767715273,0.1417188873130282,0.22562906192404233,0.9981867633726201,0.9555757026291931,295,70,7.702739777369081
61B,BRADDOCK-SWISSVALE,BUS,0.5842313253012048,2.3640412137446822,2.290013853939891,0.3310570573189454,0.25967880658435816,0.6517367458866545,0.979890310786106,354,137,12.970818848103756
61D,MURRAY,BUS,0.6678686746987952,2.356307399038454,2.3764842054497226,0.2624398655032757,0.18292060166112567,0.6610687022900763,0.6450381679389313,179,75,5.6385721010378065
91,BUTLER STREET,BUS,0.6465373493975903,2.351008237965794,2.2231636189604664,0.12833573633684794,0.3560280729500696,0.38401775804661487,0.7980022197558269,257,158,13.419994427708412
22,MCCOY,BUS,0.7232444444444445,2.3456016871194443,2.0773390569005077,0.45709146400668543,0.689923825880773,0.44538322269161135,0.9203379601689801,108,65,8.91323125286527
O12,MCKNIGHT FLYER,BUS,0.6471686746987952,2.3374011178138625,2.317228367695376,0.18305021300116445,0.7669322215672225,0.46324854796715403,0.9583416783496895,278,64,16.413809486675728
20,KENNEDY,BUS,0.698530487804878,2.334985449973357,2.0620815110113404,0.4534001908744051,0.6843522992119736,0.301747572815534,0.9619417475728156,110,92,13.712067654834525
58,GREENFIELD,BUS,0.6076132530120482,2.3315045062288333,2.4033068844446506,0.16054985278932646,0.40472896779011674,1.0,0.9950870924519875,395,102,6.756924482527202
67,MONROEVILLE,BUS,0.6035817073170732,2.3275615025585457,2.2324596161226493,0.2175140265635111,0.4900059956260303,0.30387157695939565,0.7053824362606232,362,191,22.276841676728523
69,TRAFFORD,BUS,0.6026573170731707,2.3275615025585457,2.164810518373937,0.21751402656351107,0.49000599562603026,0.30741306839893007,0.873137179977073,362,209,22.574311709378655
61A,NORTH BRADDOCK,BUS,0.5899975903614457,2.325645495375988,2.265193672572023,0.33188056988308384,0.2270720710721087,0.521412471825695,0.8268219383921863,360,187,12.970818848103756
86,LIBERTY,BUS,0.628733734939759,2.284883884064257,2.3681130809527495,0.12936870412957516,0.17135334228224,0.9196042053184911,0.9134199134199135,369,142,9.903352732145715
61C,MCKEESPORT-HOMESTEAD,BUS,0.5677506024096386,2.280668074849422,2.188336835235238,0.32729226864401495,0.25073121755893674,0.44320913461538464,0.9378004807692307,373,158,16.462887597685608
71C,POINT BREEZE,BUS,0.6080518072289156,2.277105119980919,2.3501546808372273,0.16923312496899398,0.14034598376035046,0.8226027397260274,0.8458904109589042,190,100,6.65374995721062
71B,HIGHLAND PARK,BUS,0.5879493975903615,2.275635496577686,2.4966240849301484,0.28615542585668763,0.07354607970418024,1.0,0.9304523970290345,382,107,8.00855276887158
52L,HOMEVILLE LIMITED,BUS,0.6749771084337349,2.24799237636636,2.2925967162608383,0.13712015010017,0.5260996618054091,0.5196416264645073,0.8873190902825637,248,136,15.523676314067313
P3,EAST BUSWAY-OAKLAND,BUS,0.8470578313253012,2.2437594352739323,2.285869575581894,0.15999362802629713,0.03468889136514469,0.7224033535165347,0.43968327899394505,138,40,7.71174571972425
19L,EMSWORTH LIMITED,BUS,0.6602963855421686,2.2278338470987715,2.071844393547786,0.2238883379693924,0.6751527297172526,0.6249366447034972,0.9315762797769893,241,81,12.13634801782539
81,OAK HILL,BUS,0.6691469879518073,2.2174401280763507,2.3344424626360785,0.2522771334646872,0.3494192732844609,1.0,0.752724795640327,381,93,4.068262145780921
71A,NEGLEY,BUS,0.6446518072289156,2.2128363807186853,2.3675173703901655,0.19005293757929975,0.005753113347044526,1.0,0.9987373737373737,168,72,5.918423835705078
53L,HOMESTEAD PARK LIMITED,BUS,0.6500780487804878,2.196328891016178,2.276197161471472,0.1266854124088132,0.5029893724551823,0.4453044375644995,0.7672858617131063,293,146,12.322998382877683
BLUE,SouthHills Village via Overbrook,RAIL,0.8507283950617285,2.1935021466633695,2.263285457809695,0.09109539158153693,0.3176747556227846,0.43173277661795406,0.21002087682672232,189,45,12.628217675640576
56,LINCOLN PLACE,BUS,0.6623096385542169,2.178436365222928,2.2882729178751653,0.15214602163371507,0.6330126236314669,0.5659340659340659,0.9751131221719457,263,142,18.414636794317335
RED,Castle Shannon via Beechview,RAIL,0.827620987654321,2.1783079749605,2.172611417796084,0.1280796501432741,0.29528235017029203,0.40818858560794047,0.31265508684863524,219,59,12.628217675640576
4,TROY HILL,BUS,0.7532843373493976,2.1711602410048,2.11682055691996,0.15004675146532098,0.5079815880151657,0.6633165829145728,0.8046482412060302,240,96,6.669512989249653
P78,OAKMONT FLYER,BUS,0.5961602409638553,2.1710568203777054,2.2311649287590543,0.11529131599025749,0.22244087498596202,0.3940345368916798,0.6548927263212978,152,149,18.377446047902815
P76,LINCOLN HIGHWAY FLYER,BUS,0.6996135802469136,2.170582212604133,2.137187172387839,0.11532768856053198,0.22251105153211254,0.3479963150621833,0.6764163979732842,151,100,20.75113983556403
P7,MCKEESPORT FLYER,BUS,0.7169891566265061,2.169552653034194,2.124104362269026,0.11484318148832642,0.22157625279074508,0.3957569408067051,0.5997904662126768,153,101,16.690814353560626
P10,ALLEGHENY VALLEY FLYER,BUS,0.6431036144578314,2.1619539688220564,2.1149717343876184,0.18837600660814602,0.34367714777579617,0.3238263098862362,0.7862522031725685,195,189,35.609612146488786
P69,TRAFFORD FLYER,BUS,0.6454650602409638,2.155355840164058,2.164611389161206,0.09995418310922559,0.210008761577906,0.37278256462240245,0.5907247845919918,140,128,22.574311709378655
31,BRIDGEVILLE,BUS,0.6748740740740741,2.1542908388611184,2.1248982565329424,0.3102142043259344,0.5303985739837034,0.585832246849196,0.9578444154715341,203,128,14.177868183201774
16,BRIGHTON,BUS,0.7138240963855421,2.150064445500094,2.2352121360576396,0.15711161141495342,0.23054304497511535,0.7337975361542581,0.8361006963042313,266,95,9.22508834471124
83,BEDFORD HILL,BUS,0.6541397590361445,2.1386629314049164,2.325813138223222,0.22664762556128232,0.3001512966470064,1.0,0.7341559169938306,445,106,4.068262145780921
13,BELLEVUE,BUS,0.712666265060241,2.1357228013175193,2.1610700179533215,0.16507527183190832,0.39592841928781475,0.5350104821802935,0.7668763102725367,305,133,9.35692555158862
82,LINCOLN,BUS,0.6079463414634146,2.13418738932984,2.1414438118332324,0.11483036989416069,0.2188124287930924,1.0,0.946949602122016,375,136,10.139159614402985
G31,BRIDGEVILLE FLYER,BUS,0.7341548780487804,2.1280000176475413,2.1318453955221437,0.3884169375588959,0.48443447101005577,0.41706161137440756,0.6492890995260664,159,78,14.177868183201774
65,SQUIRREL HILL,BUS,0.6150641975308642,2.1130126512884146,2.346167269876027,0.0967679277516097,0.465186009021354,1.0,0.9664703217036701,360,70,7.949335087701236
G2,WEST BUSWAY,BUS,0.8168280487804878,2.1109653743965087,2.175135135135135,0.36676695626316885,0.4090908415105709,0.6035820895522388,0.4811940298507463,162,24,8.890523063033768
15,CHARLES,BUS,0.6856385542168675,2.1000258877000797,2.283440977025639,0.09281438412047757,0.43260251009706563,1.0,0.9324215607401448,278,95,5.509012670599699
87,FRIENDSHIP,BUS,0.6755170731707317,2.0858549659086396,2.3590570060516436,0.22779615572016929,0.17284196506218447,0.9932975871313673,0.8534405719392315,477,175,8.37811622720184
18,MANCHESTER,BUS,0.8840963855421686,2.0805259872046538,2.1285563214290266,0.1793643046641683,0.47566502227356416,1.0,0.9049773755656109,211,43,2.140481159734372
P17,LINCOLN PARK FLYER,BUS,0.689380487804878,2.0773690818870225,2.202243057396517,0.11162455450707284,0.17469928560549758,0.6073253833049403,0.5133446905167518,273,177,12.69086876843747
P67,MONROEVILLE FLYER,BUS,0.6799807228915663,2.073655868375165,2.255569697534122,0.09844402984880692,0.19556939397341808,0.48764629388816644,0.5094278283485045,128,69,17.340406383062557
54,NORTH SIDE-OAKLAND-SOUTH SIDE,BUS,0.6672096385542169,2.073002058121529,2.2733644468418004,0.19245579292325993,0.355600241629897,0.9977298524404086,0.7806469920544835,795,211,7.796044980917041
P16,PENN HILLS FLYER,BUS,0.6379180722891566,2.0726272805785024,2.2961247938893488,0.09798900223772039,0.19466543388281596,0.35016631387964925,0.70547323858482,128,199,20.652907624999234
P12,HOLIDAY PARK FLYER,BUS,0.6679280487804878,2.0721824109868674,2.24609845783014,0.09756908423555118,0.19383122271400371,0.44170645310334206,0.6000308024025874,130,62,24.969203381144393
P1,EAST BUSWAY-ALL STOPS,BUS,0.8454204819277108,2.066696151920318,2.276290994665275,0.10915140859286643,0.18675824025932583,0.7061880018894662,0.266887104393009,150,24,10.828990566185034
75,ELLSWORTH,BUS,0.6881614457831325,2.0657348753207785,2.2131500359466885,0.21794187604604084,0.18746673845873418,0.7885164051355207,0.8002853067047075,416,150,10.999978046254409
64,LAWRENCEVILLE - WATERFRONT,BUS,0.680559756097561,2.0629442485613687,2.3129496402877696,0.16124084912390904,0.08635918422557037,0.7252952144188938,0.6799254195152269,256,110,8.000338207867376
P68,BRADDOCK HILLS FLYER,BUS,0.6795807228915662,2.055968267873755,2.155230737444245,0.08647228437994998,0.2020904582176943,0.32199077754809985,0.5170933375735411,119,175,21.088131221771317
93,LAWRENCEVILLE - HAZELWOOD,BUS,0.6605530120481927,2.0410363096494777,2.3767999631956407,0.16244056788872233,0.25277486037268765,0.9942781690140845,0.9247359154929577,464,173,8.902574050474298
6,SPRING HILL,BUS,0.7247855421686747,2.0407630100438388,2.187865644009521,0.13347308441717967,0.5065935081863027,1.0,0.4373650107991361,225,80,4.8477882512128785
7,SPRING GARDEN,BUS,0.7074795180722891,2.0328696697633952,2.135400491874427,0.15877326069000072,0.5466598562352624,0.6750184229918939,0.7037582903463523,231,67,5.529351642279202
17,SHADELAND,BUS,0.6683573170731708,2.031418419513139,2.105196259800405,0.1621366970945513,0.3839212718317903,0.6471571906354515,0.7679765886287625,364,101,6.933390352884643
8,PERRYSVILLE,BUS,0.7659469879518073,2.016897635306631,2.170144746609083,0.13701024192183434,0.35758297667763017,0.6620648259303722,0.6650660264105642,242,119,8.943429869971231
P71,SWISSVALE FLYER,BUS,0.6818679012345679,2.009410247852944,2.150832532087969,0.09732324202361656,0.22230480527266927,0.6135515360321562,0.3063451047947172,149,111,10.76040911938259
27,FAIRYWOOD,BUS,0.7843629629629629,2.002477494611597,1.9653652480785593,0.260995631262023,0.36310660386412436,0.8548876745598057,0.7905282331511839,244,105,6.682186660737685
36,BANKSVILLE,BUS,0.7328187500000001,2.001650071385313,2.1610023082597625,0.6020163621983863,0.6933448485238831,0.429811320754717,0.8747169811320755,146,78,12.14128048404031
77,PENN HILLS,BUS,0.5577253012048192,2.0015146225454985,2.291704000963592,0.18192619126525345,0.42610891792258865,0.3934740882917466,0.9739816592023885,340,258,21.55636545853036
11,FINEVIEW,BUS,0.7557734939759037,1.9733345788544931,2.2848145761321694,0.1021878583593364,0.16657596118426196,1.0,0.47326732673267324,250,55,3.444644227353401
40,MOUNT WASHINGTON,BUS,0.7615112500000001,1.957950898644516,2.1102301075491425,0.22795434142705895,0.19252010461017607,0.999129677980853,0.5613577023498695,261,77,3.5505152436795564
41,BOWER HILL,BUS,0.76378875,1.9567374833847133,2.114007107381401,0.20799601959882447,0.30301284987900345,0.41216216216216217,0.8184684684684684,183,138,14.172647691300227
39,BROOKLINE,BUS,0.789404938271605,1.9550334206292483,2.169707782553456,0.17499763825056092,0.15070002664973178,1.0,0.6372299872935197,284,69,6.419222994940436
44,VIA KNOXVILLE,BUS,0.72646625,1.9500129934337145,2.131580380411529,0.19586095821165694,0.15250763744762016,0.718503937007874,0.4326771653543307,367,133,8.098706096774043
74,HOMEWOOD-SQUIRREL HILL,BUS,0.6572341463414634,1.9432061684761424,2.016633885267047,0.12018011944551696,0.12758221096481673,0.997872340425532,0.5484042553191489,456,171,5.981898239920018
38,GREEN TREE,BUS,0.713946913580247,1.9391610030017055,2.030718880240199,0.5704289930826151,0.6924608639926625,0.4204297726564933,0.8720024914356899,177,131,12.261876259076415
26,CHARTIERS,BUS,0.80436125,1.9331570843274304,1.9638618220453075,0.33713253888143757,0.4177032303790956,0.8745620182200421,0.7386124737210932,244,81,5.737168533918969
89,GARFIELD COMMONS,BUS,0.722351219512195,1.9058896300972603,2.1542784737691854,0.12272961705738956,0.08061536021594204,0.9941656942823804,0.5297549591598599,207,54,3.067484551879533
51,CARRICK,BUS,0.7006710843373495,1.8982522523560659,2.1533407998913954,0.2291152628329798,0.20459299412440354,0.4193078324225865,0.8633879781420765,308,141,12.104660004294889
48,ARLINGTON,BUS,0.7499313253012049,1.867502070257698,2.075348154599189,0.2362428129996786,0.2744431360035875,0.9941225860621327,0.9504617968094039,297,89,3.9666806534948136
51L,CARRICK LIMITED,BUS,0.7352228915662651,1.8446535641103443,2.09340655442271,0.17663947203890443,0.16371629581531505,0.8559941520467836,0.9203216374269005,315,50,8.460230278511208
43,BAILEY,BUS,0.79543875,1.8132829912728263,2.078113227021727,0.1896384334885043,0.20491463927531725,0.9924812030075187,0.8947368421052632,231,65,3.0808635703786256
