model,feature,coefficient,std_error,p_value,beta_weight,r_squared,adj_r_squared,n
base_6feat,intercept,0.7817303666590505,0.01998165384551664,0.0,NaN,0.40068035849955586,0.3568277018044014,89
base_6feat,stop_count,-0.0005861034170200433,0.00013662387078019767,0.00004855305218165462,-0.49394197681684626,0.40068035849955586,0.3568277018044014,89
base_6feat,span_km,-0.004874710348963695,0.0013014595140912035,0.000333371208533606,-0.5093200196763484,0.40068035849955586,0.3568277018044014,89
base_6feat,is_rail,0.10960153393604083,0.05336734841711829,0.04318938609473655,0.18093013334684854,0.40068035849955586,0.3568277018044014,89
base_6feat,is_premium_bus,-0.000015963917320683135,0.019646244192151524,0.9993536378610679,-0.00011095699944857761,0.40068035849955586,0.3568277018044014,89
base_6feat,weekend_ratio,-0.013351264940331006,0.022984954613786055,0.5629213550748724,-0.06806505265134422,0.40068035849955586,0.3568277018044014,89
base_6feat,n_munis,0.008832856924867901,0.0026644967673982193,0.001366284510502469,0.443085150101898,0.40068035849955586,0.3568277018044014,89
expanded_7feat_aadt,intercept,0.7665134012549762,0.19900604969803326,0.000233483894600095,NaN,0.40072406240653635,0.3489347838490765,89
expanded_7feat_aadt,stop_count,-0.0005834796511970225,0.00014163523801669263,0.00009100335293799056,-0.4917307832975923,0.40072406240653635,0.3489347838490765,89
expanded_7feat_aadt,span_km,-0.004905515651836417,0.0013693903253047363,0.0005798054276870968,-0.512538622699317,0.40072406240653635,0.3489347838490765,89
expanded_7feat_aadt,is_rail,0.10976716218599226,0.053737035744497334,0.044337446298158945,0.18120355234267396,0.40072406240653635,0.3489347838490765,89
expanded_7feat_aadt,is_premium_bus,0.0001484108442967496,0.019881787994405802,0.9940624703038252,0.0010315276406162638,0.40072406240653635,0.3489347838490765,89
expanded_7feat_aadt,weekend_ratio,-0.013117455850572314,0.02332478888289942,0.5754084831194297,-0.06687308858832011,0.40072406240653635,0.3489347838490765,89
expanded_7feat_aadt,n_munis,0.008846568030856768,0.002686725229141549,0.0014721354369244821,0.44377294426711716,0.40072406240653635,0.3489347838490765,89
expanded_7feat_aadt,log_aadt,0.0016421038699866483,0.021365418477202025,0.9389260188732738,0.0071653454445816805,0.40072406240653635,0.3489347838490765,89
bus_base,intercept,0.7817303666590518,0.01998165384552472,0.0,NaN,0.36678295066721034,0.32817215497618657,88
bus_base,stop_count,-0.0005861034170200514,0.0001366238707802063,0.00004855305218165462,-0.5044324591909399,0.36678295066721034,0.32817215497618657,88
bus_base,span_km,-0.0048747103489637745,0.0013014595140912303,0.000333371208533606,-0.5234940781471861,0.36678295066721034,0.32817215497618657,88
bus_base,is_premium_bus,-0.00001596391731990379,0.01964624419215314,0.9993536378610997,-0.00011381217527985294,0.36678295066721034,0.32817215497618657,88
bus_base,weekend_ratio,-0.013351264940330065,0.022984954613789854,0.5629213550749643,-0.06931972135641412,0.36678295066721034,0.32817215497618657,88
bus_base,n_munis,0.008832856924868088,0.0026644967673982423,0.001366284510502469,0.4553468734639124,0.36678295066721034,0.32817215497618657,88
bus_expanded_aadt,intercept,0.7665134012549779,0.19900604970668517,0.00023348389473487607,NaN,0.3668291264590685,0.31992758027085133,88
bus_expanded_aadt,stop_count,-0.0005834796511970173,0.00014163523801717512,0.00009100335294243145,-0.5021743037050302,0.3668291264590685,0.31992758027085133,88
bus_expanded_aadt,span_km,-0.004905515651836373,0.001369390325309508,0.0005798054277108555,-0.5268022528847403,0.3668291264590685,0.31992758027085133,88
bus_expanded_aadt,is_premium_bus,0.00014841084429659853,0.019881787994424038,0.9940624703038368,0.0010580711918030173,0.3668291264590685,0.31992758027085133,88
bus_expanded_aadt,weekend_ratio,-0.013117455850572385,0.023324788882930745,0.5754084831199398,-0.06810578537169397,0.3668291264590685,0.31992758027085133,88
bus_expanded_aadt,n_munis,0.008846568030856723,0.0026867252291419693,0.0014721354369269246,0.45605370131097955,0.3668291264590685,0.31992758027085133,88
bus_expanded_aadt,log_aadt,0.0016421038699865507,0.021365418478125932,0.9389260188759132,0.007364632148802127,0.3668291264590685,0.31992758027085133,88
expanded_8feat_aadt_truck,intercept,0.8447650522899575,0.19265196768779053,0.00003498498851328691,NaN,0.45646896034732165,0.4021158563820538,89
expanded_8feat_aadt_truck,stop_count,-0.0004964544039091827,0.00013908619789577633,0.0006085471555865585,-0.41838976287344326,0.45646896034732165,0.4021158563820538,89
expanded_8feat_aadt_truck,span_km,-0.00548479739684714,0.0013277626985246308,0.00008825498706466206,-0.5730632013196103,0.45646896034732165,0.4021158563820538,89
expanded_8feat_aadt_truck,is_rail,0.12180800158759546,0.0516668684640209,0.020838551913230807,0.20108056136164784,0.45646896034732165,0.4021158563820538,89
expanded_8feat_aadt_truck,is_premium_bus,0.010475115587967538,0.019390580421083468,0.5905483539839427,0.07280715448281735,0.45646896034732165,0.4021158563820538,89
expanded_8feat_aadt_truck,weekend_ratio,-0.01641390698053561,0.022381483451723385,0.4654765125805951,-0.08367847150344428,0.45646896034732165,0.4021158563820538,89
expanded_8feat_aadt_truck,n_munis,0.007779372268938863,0.0026014749711670265,0.003701860140405966,0.39023889538807044,0.45646896034732165,0.4021158563820538,89
expanded_8feat_aadt_truck,log_aadt,-0.01926686202026735,0.021736558565318073,0.3780693134187647,-0.08407124819054773,0.45646896034732165,0.4021158563820538,89
expanded_8feat_aadt_truck,avg_truck_pct,0.020603651470645176,0.007192979362077438,0.005334030006409973,0.2701158607564676,0.45646896034732165,0.4021158563820538,89
