group,n,slope,se,pearson_r,pearson_p,spearman_rho,spearman_p
all,2374,0.00001650538277490551,0.000019105430224892994,0.017735487170803074,0.3877243783250243,-0.02974498407722272,0.14738135391116303
bus_only,2288,0.000021573956750145805,0.000019341675407672116,0.02332273354839523,0.2647907092967373,-0.03127906488077026,0.13472632060565712
