route_id,month,mode,otp,daily_trips,delta_otp,delta_trips,detrended_delta_otp
1,2019-02,BUS,0.6411,48,-0.05010000000000003,0,-0.036332608695652205
1,2019-03,BUS,0.6829,48,0.04179999999999995,0,0.0279043478260869
1,2019-04,BUS,0.6083,48,-0.0746,0,-0.04076630434782609
1,2019-05,BUS,0.5965,48,-0.011799999999999922,0,0.018143478260869643
1,2019-06,BUS,0.5686,48,-0.027900000000000036,0,-0.02888043478260873
1,2019-07,BUS,0.6466,48,0.07799999999999996,0,0.024210869565217348
1,2019-08,BUS,0.6203,48,-0.02629999999999999,0,-0.02088586956521738
1,2019-09,BUS,0.6221,48,0.0018000000000000238,0,0.01713478260869568
1,2019-10,BUS,0.5869,48,-0.03520000000000001,0,-0.049850000000000005
1,2019-11,BUS,0.6287,48,0.04180000000000006,0,0.0489956521739131
1,2019-12,BUS,0.6254,48,-0.0033000000000000806,0,-0.0361315217391305
1,2020-01,BUS,0.6642,48,0.03880000000000006,0,0.02597717391304353
1,2020-02,BUS,0.6574,48,-0.006800000000000028,0,0.005639560439560416
1,2020-03,BUS,0.7002,144,0.04280000000000006,96,0.006513043478260934
1,2020-04,BUS,0.7201,126,0.019899999999999918,-18,0.04150543478260861
1,2020-05,BUS,0.6333,126,-0.08679999999999999,0,-0.08222608695652173
1,2020-06,BUS,0.5713,126,-0.061999999999999944,0,-0.0442097826086956
1,2020-07,BUS,0.5573,126,-0.014000000000000012,0,-0.016316304347826095
1,2020-08,BUS,0.5884,126,0.031100000000000017,0,0.03135591397849463
1,2020-09,BUS,0.6088,48,0.020399999999999974,-78,0.021420430107526856
1,2020-10,BUS,0.634,48,0.0252,0,0.022438709677419354
1,2020-12,BUS,0.6385,69,0.0044999999999999485,21,0.01630967741935479
1,2021-01,BUS,0.6769,69,0.03839999999999999,0,0.024091397849462348
1,2021-02,BUS,0.6801,69,0.0032000000000000917,0,0.008527956989247408
1,2021-03,BUS,0.686,69,0.005900000000000016,0,-0.010284946236559126
11,2019-02,BUS,0.7454,50,-0.040000000000000036,0,-0.026232608695652207
11,2019-03,BUS,0.7775,50,0.03210000000000002,0,0.01820434782608697
11,2019-04,BUS,0.8096,50,0.03210000000000002,0,0.06593369565217393
11,2019-05,BUS,0.7645,50,-0.04510000000000003,0,-0.015156521739130464
11,2019-06,BUS,0.7156,50,-0.048899999999999944,0,-0.04988043478260864
11,2019-07,BUS,0.7803,50,0.06469999999999998,0,0.01091086956521737
11,2019-08,BUS,0.8193,50,0.039000000000000035,0,0.044414130434782643
11,2019-09,BUS,0.7806,50,-0.03870000000000007,0,-0.023365217391304413
11,2019-10,BUS,0.7864,50,0.005800000000000027,0,-0.00884999999999997
11,2019-11,BUS,0.758,50,-0.02839999999999998,0,-0.02120434782608694
11,2019-12,BUS,0.7579,50,-0.00009999999999998899,0,-0.03293152173913041
11,2020-01,BUS,0.7634,50,0.005499999999999949,0,-0.007322826086956577
11,2020-02,BUS,0.7783,50,0.014900000000000024,0,0.02733956043956047
11,2020-03,BUS,0.7706,150,-0.00770000000000004,100,-0.043986956521739166
11,2020-04,BUS,0.7765,108,0.005900000000000016,-42,0.027505434782608706
11,2020-05,BUS,0.7506,108,-0.025899999999999923,0,-0.021326086956521658
11,2020-06,BUS,0.7306,108,-0.020000000000000018,0,-0.0022097826086956707
11,2020-07,BUS,0.7489,108,0.018299999999999983,0,0.0159836956521739
11,2020-08,BUS,0.7865,108,0.03759999999999997,0,0.03785591397849458
11,2020-09,BUS,0.777,50,-0.009499999999999953,-58,-0.00847956989247307
11,2020-10,BUS,0.8016,50,0.024599999999999955,0,0.02183870967741931
11,2020-11,BUS,0.8201,50,0.018500000000000072,0,-0.001310294117646986
11,2020-12,BUS,0.7967,50,-0.023400000000000087,0,-0.011590322580645247
11,2021-01,BUS,0.8213,50,0.024600000000000066,0,0.010291397849462426
11,2021-02,BUS,0.8224,50,0.0010999999999999899,0,0.006427956989247306
11,2021-03,BUS,0.8023,50,-0.020100000000000007,0,-0.036284946236559146
12,2019-02,BUS,0.5904,45,-0.04579999999999995,0,-0.03203260869565212
12,2019-03,BUS,0.577,45,-0.013400000000000079,0,-0.027295652173913127
12,2019-04,BUS,0.5698,45,-0.007199999999999984,0,0.026633695652173925
12,2019-05,BUS,0.5684,45,-0.0013999999999999568,0,0.028543478260869608
12,2019-06,BUS,0.5832,45,0.014800000000000035,0,0.01381956521739134
12,2019-07,BUS,0.6188,45,0.035599999999999965,0,-0.018189130434782645
12,2019-08,BUS,0.6672,45,0.0484,0,0.05381413043478261
12,2019-09,BUS,0.6571,45,-0.010099999999999998,0,0.005234782608695655
12,2019-10,BUS,0.6772,45,0.020100000000000007,0,0.005450000000000009
12,2019-11,BUS,0.6652,45,-0.01200000000000001,0,-0.004804347826086968
12,2019-12,BUS,0.6499,45,-0.01529999999999998,0,-0.0481315217391304
12,2020-01,BUS,0.6646,45,0.014699999999999935,0,0.0018771739130434093
12,2020-02,BUS,0.6592,45,-0.00539999999999996,0,0.007039560439560484
12,2020-03,BUS,0.6784,135,0.019199999999999995,90,-0.01708695652173913
12,2020-04,BUS,0.6772,117,-0.0011999999999999789,-18,0.02040543478260871
12,2020-05,BUS,0.6438,117,-0.033399999999999985,0,-0.02882608695652172
12,2020-06,BUS,0.6412,117,-0.0026000000000000467,0,0.0151902173913043
12,2020-07,BUS,0.6889,117,0.047699999999999965,0,0.04538369565217388
12,2020-08,BUS,0.676,117,-0.012899999999999912,0,-0.012644086021505295
12,2020-09,BUS,0.7134,45,0.03739999999999999,-72,0.038420430107526875
12,2020-10,BUS,0.7362,45,0.02279999999999993,0,0.020038709677419286
12,2020-11,BUS,0.7068,71,-0.02939999999999998,26,-0.04921029411764704
12,2020-12,BUS,0.634,71,-0.07279999999999998,0,-0.060990322580645136
12,2021-01,BUS,0.6679,71,0.03390000000000004,0,0.0195913978494624
12,2021-02,BUS,0.6588,71,-0.009099999999999997,0,-0.003772043010752681
12,2021-03,BUS,0.6837,71,0.024899999999999922,0,0.00871505376344078
13,2019-02,BUS,0.7144,84,-0.018899999999999917,0,-0.005132608695652087
13,2019-03,BUS,0.6919,84,-0.022500000000000075,0,-0.03639565217391312
13,2019-04,BUS,0.6358,84,-0.05609999999999993,0,-0.02226630434782602
13,2019-05,BUS,0.628,84,-0.007800000000000029,0,0.022143478260869535
13,2019-06,BUS,0.6065,84,-0.021499999999999964,0,-0.02248043478260866
13,2019-07,BUS,0.6923,84,0.08579999999999999,0,0.03201086956521738
13,2019-08,BUS,0.7079,84,0.015599999999999947,0,0.021014130434782556
13,2019-09,BUS,0.699,84,-0.008900000000000019,0,0.006434782608695634
13,2019-10,BUS,0.7224,84,0.023400000000000087,0,0.00875000000000009
13,2019-11,BUS,0.7338,84,0.011399999999999966,0,0.018595652173913006
13,2019-12,BUS,0.7489,84,0.015100000000000002,0,-0.017731521739130417
13,2020-01,BUS,0.7737,84,0.024800000000000044,0,0.011977173913043518
13,2020-02,BUS,0.7368,84,-0.036900000000000044,0,-0.024460439560439598
13,2020-03,BUS,0.7642,252,0.02739999999999998,168,-0.008886956521739146
13,2020-04,BUS,0.7307,132,-0.033499999999999974,-120,-0.011894565217391285
13,2020-05,BUS,0.7174,132,-0.013299999999999979,0,-0.008726086956521713
13,2020-06,BUS,0.6849,132,-0.032500000000000084,0,-0.014709782608695737
13,2020-07,BUS,0.7057,132,0.02080000000000004,0,0.01848369565217396
13,2020-08,BUS,0.7109,132,0.005199999999999982,0,0.005455913978494599
13,2020-09,BUS,0.6995,84,-0.011399999999999966,-48,-0.010379569892473083
13,2020-10,BUS,0.7143,84,0.014800000000000035,0,0.01203870967741939
13,2020-11,BUS,0.7157,84,0.0013999999999999568,0,-0.0184102941176471
13,2020-12,BUS,0.7087,84,-0.007000000000000006,0,0.004809677419354834
13,2021-01,BUS,0.7522,84,0.04349999999999998,0,0.02919139784946234
13,2021-02,BUS,0.7633,84,0.011099999999999999,0,0.016427956989247317
13,2021-03,BUS,0.7805,84,0.017199999999999993,0,0.0010150537634408506
14,2019-02,BUS,0.76,74,-0.0043999999999999595,0,0.00936739130434787
14,2019-03,BUS,0.7603,74,0.00029999999999996696,0,-0.013595652173913082
14,2019-04,BUS,0.7338,74,-0.026499999999999968,0,0.007333695652173941
14,2019-05,BUS,0.7045,74,-0.029299999999999993,0,0.0006434782608695719
14,2019-06,BUS,0.6819,74,-0.022600000000000064,0,-0.02358043478260876
14,2019-07,BUS,0.7414,74,0.0595,0,0.005710869565217387
14,2019-08,BUS,0.7752,74,0.03380000000000005,0,0.03921413043478266
14,2019-09,BUS,0.769,74,-0.006199999999999983,0,0.00913478260869567
14,2019-10,BUS,0.7621,74,-0.006900000000000017,0,-0.021550000000000014
14,2019-11,BUS,0.7686,74,0.00649999999999995,0,0.013695652173912993
14,2019-12,BUS,0.7985,74,0.029900000000000038,0,-0.0029315217391303813
14,2020-01,BUS,0.8128,74,0.01429999999999998,0,0.0014771739130434534
14,2020-02,BUS,0.8067,74,-0.006099999999999994,0,0.00633956043956045
14,2020-03,BUS,0.8042,222,-0.0024999999999999467,148,-0.03878695652173907
14,2020-04,BUS,0.808,114,0.0038000000000000256,-108,0.025405434782608715
14,2020-05,BUS,0.7562,114,-0.05180000000000007,0,-0.04722608695652181
14,2020-06,BUS,0.7418,114,-0.014399999999999968,0,0.0033902173913043787
14,2020-07,BUS,0.7287,114,-0.0131,0,-0.015416304347826083
14,2020-08,BUS,0.7086,114,-0.020100000000000007,0,-0.019844086021505388
14,2020-09,BUS,0.7383,74,0.02969999999999995,-40,0.03072043010752683
14,2020-10,BUS,0.7405,74,0.0022000000000000908,0,-0.0005612903225805555
14,2020-11,BUS,0.7472,74,0.006699999999999928,0,-0.01311029411764713
14,2020-12,BUS,0.7565,66,0.009299999999999975,-8,0.021109677419354815
14,2021-01,BUS,0.7686,66,0.0121,0,-0.00220860215053764
14,2021-02,BUS,0.7521,66,-0.01649999999999996,0,-0.011172043010752643
14,2021-03,BUS,0.7602,66,0.008099999999999996,0,-0.008084946236559146
15,2019-02,BUS,0.7772,59,-0.005199999999999982,0,0.008567391304347848
15,2019-03,BUS,0.783,59,0.005800000000000027,0,-0.008095652173913021
15,2019-04,BUS,0.7442,59,-0.03880000000000006,0,-0.004966304347826148
15,2019-05,BUS,0.7038,59,-0.04039999999999999,0,-0.010456521739130427
