month,weighted_otp,unweighted_otp,route_count,pct_time_varying,yoy_change
2019-01,0.69912243452479,0.7052528089887641,89,100.0,
2019-02,0.6819874649975293,0.6915235955056179,89,100.0,
2019-03,0.701615996058466,0.7044033707865168,89,100.0,
2019-04,0.6681720930232558,0.6716988764044943,89,100.0,
2019-05,0.6395841827478146,0.643270786516854,89,100.0,
2019-06,0.6401703526697429,0.641814606741573,89,100.0,
2019-07,0.6975761174336138,0.6943966292134831,89,100.0,
2019-08,0.6948387596899225,0.6924629213483146,89,100.0,
2019-09,0.6721309782608696,0.671423595505618,89,100.0,
2019-10,0.6879583662714097,0.6865224719101123,89,100.0,
2019-11,0.6888283788227557,0.6795382022471911,89,100.0,
2019-12,0.7198715978278756,0.7136449438202247,89,100.0,
2020-01,0.7301301543666738,0.7277977777777778,90,98.88888888888889,0.031007719841883885
2020-02,0.7166125809767409,0.7152685393258428,89,98.87640449438202,0.034625115979211585
2020-03,0.7579222642129477,0.7514820224719101,89,100.0,0.0563062681544817
2020-04,0.7360970418470419,0.7294426966292135,89,100.0,0.06792494882378619
2020-05,0.7312187109187109,0.7239516853932585,89,100.0,0.09163452817089635
2020-06,0.7130782587782588,0.7060393258426966,89,100.0,0.07290790610851594
2020-07,0.7139802549302549,0.7093887640449438,89,100.0,0.016404137496641047
2020-08,0.7135481000481,0.7092966292134831,89,100.0,0.018709340358177506
2020-09,0.7185003614853763,0.7095179775280899,89,100.0,0.04636938322450668
2020-10,0.7182567696352284,0.7114213483146067,89,100.0,0.030298403363818727
2020-11,0.7366904224173986,0.7297890625,64,100.0,0.047862043594642856
2020-12,0.7216302199783627,0.7135606741573034,89,100.0,0.0017586221504871657
2021-01,0.7370465560764514,0.7279561797752809,89,100.0,0.0069164017097775865
2021-02,0.7305284168770285,0.7229606741573035,89,100.0,0.013915835900287665
2021-03,0.7448822214208438,0.7398606741573034,89,100.0,-0.013040042792103912
2021-04,0.7382700942160105,0.7396820224719101,89,0.0,0.0021730523689685866
2021-05,0.7297813439820303,0.7304280898876404,89,0.0,-0.0014373669366806174
2021-06,0.7225569913271355,0.7228842696629213,89,0.0,0.009478732548876656
2021-07,0.7258709053472266,0.7313460674157303,89,0.0,0.011890650416971793
2021-08,0.7119134585387159,0.7232314606741572,89,0.0,-0.0016346415093840827
2021-09,0.6816497098646035,0.6938157303370787,89,0.0,-0.036850651620772834
2021-10,0.6977018905596806,0.7082202247191011,89,0.0,-0.02055487907554787
2021-11,0.7168022649279342,0.7215280898876404,89,0.0,-0.019888157489464375
2021-12,0.7341866288138766,0.7292898876404494,89,0.0,0.0125564088355139
2022-01,0.7443070619878652,0.7352193181818181,88,0.0,0.007260505911413806
2022-02,0.7042707056841581,0.7137168539325843,89,0.0,-0.02625771119287046
2022-03,0.680196861546141,0.6915134831460674,89,0.0,-0.06468535987470281
2022-04,0.6722653334997193,0.6862314606741573,89,0.0,-0.06600476071629124
2022-05,0.6974770262681725,0.7026651685393258,89,0.0,-0.03230431771385778
2022-06,0.683781712110813,0.692447191011236,89,0.0,-0.03877527921632251
2022-07,0.680892200661384,0.690914606741573,89,0.0,-0.04497870468584264
2022-08,0.6651543889627239,0.6743022727272727,88,0.0,-0.04675906957599196
2022-09,0.5881430273912773,0.6074157303370786,89,0.0,-0.09350668247332616
2022-10,0.6718320084856805,0.6869247191011236,89,0.0,-0.025869882074000095
2022-11,0.6697013851625383,0.6831595505617978,89,0.0,-0.0471008797653959
2022-12,0.6953667373806701,0.7015707865168539,89,0.0,-0.03881989143320652
2023-01,0.7178056841579834,0.7203831460674156,89,0.0,-0.026501377829881823
2023-02,0.6935384912959381,0.6999955056179775,89,0.0,-0.010732214388219918
2023-03,0.6923308417046234,0.6950280898876404,89,0.0,0.012133980158482438
2023-04,0.6695524864291508,0.6764348314606742,89,0.0,-0.0027128470705685137
2023-05,0.6566266487801834,0.6607943820224719,89,0.0,-0.04085037748798914
2023-06,0.6516692955637362,0.6503752808988764,89,0.0,-0.03211241654707675
2023-07,0.6460511511823798,0.6440831460674157,89,0.0,-0.03484104947900424
2023-08,0.6412168777687652,0.6437089887640449,89,0.0,-0.023937511193958705
2023-09,0.6207352842078993,0.6296303370786517,89,0.0,0.03259225681662192
2023-10,0.6462758095713483,0.6521303370786516,89,0.0,-0.02555619891433214
2023-11,0.6666825606788545,0.6707719101123596,89,0.0,-0.0030188244836838463
2023-12,0.6782182566918326,0.6816471910112359,89,0.0,-0.017148480688837564
2024-01,0.6896701316528359,0.696485393258427,89,0.0,-0.028135552505147543
2024-02,0.6866409309290573,0.6970719101123596,89,0.0,-0.006897560366880828
2024-03,0.6889854058775816,0.6987640449438202,89,0.0,-0.0033454358270418316
2024-04,0.6576708117551632,0.6682898876404495,89,0.0,-0.011881674673987597
2024-05,0.6504720346914582,0.6522134831460674,89,0.0,-0.0061546140887251966
2024-06,0.6663455418980471,0.6674674157303371,89,0.0,0.01467624633431086
2024-07,0.6755249766019842,0.6788988764044943,89,0.0,0.029473825419604416
2024-08,0.648735589941973,0.6545865168539327,89,0.0,0.007518712173207764
2024-09,0.6374833967679542,0.6469157303370786,89,0.0,0.01674811256005493
2024-10,0.6342385848880016,0.6348415730337079,89,0.0,-0.012037224683346781
2024-11,0.662451423901427,0.6703556818181818,88,0.0,-0.00423113677742748
2024-12,0.6875414987209085,0.6872966292134832,89,0.0,0.009323242029075973
2025-01,0.6901158856928933,0.6946910112359551,89,0.0,0.00044575404005742225
2025-02,0.6997592000998315,0.7040606741573033,89,0.0,0.013118269170774188
2025-03,0.6872879703001186,0.6912426966292134,89,0.0,-0.0016974355774630467
2025-04,0.654697784987833,0.667361797752809,89,0.0,-0.0029730267673301336
2025-05,0.6445125727153312,0.6452659090909091,88,0.0,-0.005959461976126956
2025-06,0.6364313281586891,0.642028947368421,76,0.0,-0.029914213739357987
2025-07,0.6237333980163863,0.6354171052631579,76,0.0,-0.05179157858559791
2025-08,0.6462409371685282,0.6562258426966292,89,0.0,-0.00249465277344485
2025-09,0.6366479616306955,0.6543310344827586,87,0.0,-0.0008354351372586999
2025-10,0.6364005359394703,0.6536534090909091,88,0.0,0.002161951051468769
2025-11,0.6605126661259125,0.6740831460674157,89,0.0,-0.0019387577755144436
