rank,route_id,route_name,mode,weekday_avg_riders,sat_avg_riders,sun_avg_riders,n_months,short_history,system_share,cum_share
1,P1,P1 - EAST BUSWAY-ALL STOPS,Bus,6634.645593764287,3676.379078014184,2498.3650709219855,94,false,0.04500719213171147,0.04500719213171147
2,RED,RED - Castle Shannon via Beechview,Rail,6269.082257790003,4340.294802867384,3160.3598566308247,94,false,0.04252733407961481,0.08753452621132628
3,51,51 - CARRICK,Bus,6062.731407638809,4147.826241134752,2759.9368794326238,94,false,0.04112751969193665,0.1286620459032629
4,BLUE,BLUE - SouthHills Village via Overbrook,Rail,4928.941794672536,1198.3735815602838,951.1496453900709,94,false,0.03343627436066044,0.16209832026392335
5,61C,61C - MCKEESPORT-HOMESTEAD,Bus,4815.917548786397,3562.5343971631205,2568.8193262411346,94,false,0.03266955609692676,0.1947678763608501
6,71C,71C - POINT BREEZE,Bus,4215.361139809198,2499.4021276595745,1673.442730496454,94,false,0.028595584502999934,0.22336346086385003
7,71A,71A - NEGLEY,Bus,4083.0364897979957,2065.4829787234044,1446.981560283688,94,false,0.027697938824319958,0.25106139968817
8,SLVR,SLVR - Libary via Overbrook,Rail,4037.664687083532,1450.6886524822696,1146.847340425532,94,false,0.027390151857665516,0.2784515515458355
9,61D,61D - MURRAY,Bus,3903.1927021689703,2576.2943262411345,1754.2260638297873,94,false,0.026477939385145418,0.30492949093098093
10,71B,71B - HIGHLAND PARK,Bus,3822.1792764330307,1943.009929078014,1230.122340425532,94,false,0.025928371700509403,0.3308578626314903
11,61A,61A - NORTH BRADDOCK,Bus,3808.824969111661,2597.535815602837,1808.795035460993,94,false,0.02583778059554312,0.3566956432270334
12,61B,61B - BRADDOCK-SWISSVALE,Bus,3302.57414896884,2212.4829787234044,1435.3147163120568,94,false,0.02240354622582496,0.37909918945285837
13,82,82 - LINCOLN,Bus,3244.7372416724256,2156.2797872340425,1633.0968085106383,94,false,0.02201120020489503,0.4011103896577534
14,71D,71D - HAMILTON,Bus,3152.23195718461,1551.0728723404256,1076.5062056737588,94,false,0.021383675636581268,0.4224940652943347
15,54,54 - NORTH SIDE-OAKLAND-SOUTH SIDE,Bus,3139.1442658028473,1895.613475177305,925.097340425532,94,false,0.02129489316399024,0.44378895845832494
16,91,91 - BUTLER STREET,Bus,2987.402406302739,1469.871631205674,846.607269503546,94,false,0.020265527702274643,0.4640544861605996
17,16,16 - BRIGHTON,Bus,2792.414689923657,1667.9445035460992,1175.5794326241135,94,false,0.018942796971541238,0.4829972831321408
18,75,75 - ELLSWORTH,Bus,2627.946131828394,1470.7446808510638,1091.3129432624114,94,false,0.017827097890225387,0.5008243810223661
19,G2,G2 - WEST BUSWAY,Bus,2311.7585757451398,782.3370567375887,580.6617021276595,94,false,0.01568218843196128,0.5165065694543274
20,8,8 - PERRYSVILLE,Bus,2288.6406092390175,1228.713829787234,795.954255319149,94,false,0.015525363964771438,0.5320319334190988
21,86,86 - LIBERTY,Bus,2127.632895079343,1974.3833333333332,1232.9877659574465,94,false,0.014433142078393222,0.546465075497492
22,48,48 - ARLINGTON,Bus,2032.9309254182042,1421.9932624113476,814.1292553191489,94,false,0.013790715940696224,0.5602557914381883
23,P3,P3 - EAST BUSWAY-OAKLAND,Bus,1962.011046801682,,,94,false,0.013309619466477398,0.5735654109046656
24,88,88 - PENN,Bus,1920.9433478311455,1168.5890070921987,850.6863475177305,94,false,0.01303103008414303,0.5865964409888087
25,59,59 - MON VALLEY,Bus,1906.8720092426847,1622.7948581560283,1095.5890070921985,94,false,0.012935574881532593,0.5995320158703413
26,83,83 - BEDFORD HILL,Bus,1881.1992276703447,1152.621985815603,729.8742907801419,94,false,0.012761419412871577,0.6122934352832129
27,87,87 - FRIENDSHIP,Bus,1801.2644006945713,594.4826241134753,202.6583333333333,94,false,0.01221916857748482,0.6245126038606977
28,77,77 - PENN HILLS,Bus,1627.3035983913194,828.0345744680851,566.731205673759,94,false,0.011039077321365902,0.6355516811820636
29,13,13 - BELLEVUE,Bus,1619.4163550327332,1142.2418439716312,599.1019503546099,94,false,0.010985572929576975,0.6465372541116406
30,93,93 - LAWRENCEVILLE - HAZELWOOD,Bus,1589.3163585262457,421.7409722222222,273.24375000000003,94,false,0.010781384731912794,0.6573186388435535
31,67,67 - MONROEVILLE,Bus,1571.5936606822752,768.6677304964538,436.7221631205674,94,false,0.010661159942859173,0.6679797987864127
32,38,38 - GREEN TREE,Bus,1533.016370756173,250.64982269503545,148.97304964539006,94,false,0.010399464653323786,0.6783792634397364
33,64,64 - LAWRENCEVILLE - WATERFRONT,Bus,1523.3986703365936,1575.0310283687943,947.4578014184398,94,false,0.010334221426005647,0.688713484865742
34,1,1 - FREEPORT ROAD,Bus,1520.8331813998032,1112.0010638297872,835.2095744680851,94,false,0.010316818016605991,0.699030302882348
35,28X,28X - AIRPORT FLYER,Bus,1472.6806494149341,1307.3978723404255,1157.386879432624,94,false,0.00999016752291447,0.7090204704052625
36,81,81 - OAK HILL,Bus,1366.5759112323321,758.4301418439717,514.0604609929078,94,false,0.00927038885953603,0.7182908592647985
37,24,24 - WEST PARK,Bus,1269.1873496024562,960.2166666666667,710.9414893617021,94,false,0.008609737790422936,0.7269005970552215
38,31,31 - BRIDGEVILLE,Bus,1212.3307973280275,678.1171985815603,490.93475177304964,94,false,0.00822404216644462,0.735124639221666
39,Y46,Y46 - ELIZABETH FLYER,Bus,1209.3132137856628,598.6448581560284,478.10602836879434,94,false,0.008203571900121375,0.7433282111217874
40,56,56 - LINCOLN PLACE,Bus,1207.6742008235206,615.4556737588653,471.5076241134752,94,false,0.008192453390435969,0.7515206645122233
41,69,69 - TRAFFORD,Bus,1125.0218106973768,272.58120567375886,191.2625886524823,94,false,0.007631767525610152,0.7591524320378334
42,P68,P68 - BRADDOCK HILLS FLYER,Bus,1087.3004621553043,643.1946428571429,502.96875,94,false,0.0073758786529782875,0.7665283106908117
43,41,41 - BOWER HILL,Bus,1054.9235132866227,392.8452127659574,234.18297872340426,94,false,0.007156244380464782,0.7736845550712765
44,21,21 - CORAOPOLIS,Bus,1045.6770760525485,559.8179078014184,407.48812056737586,94,false,0.0070935196770504924,0.7807780747483271
45,17,17 - SHADELAND,Bus,1026.854240770752,452.3141843971631,440.5163120567376,94,false,0.006965831927641905,0.7877439066759689
46,39,39 - BROOKLINE,Bus,1005.4260648836371,208.26010638297873,76.58159722222223,94,false,0.006820470428590633,0.7945643771045596
47,53L,53L - HOMESTEAD PARK LIMITED,Bus,999.8957101830772,,,94,false,0.0067829543724506405,0.8013473314770103
48,12,12 - MCKNIGHT,Bus,983.5148272139438,1115.2253546099291,694.954255319149,94,false,0.0066718320017588595,0.8080191634787692
49,42,42 - POTOMAC,Bus,969.1666666666666,608.9333333333333,587.1333333333333,3,true,0.006574498932590118,0.8145936624113593
50,6,6 - SPRING HILL,Bus,945.3301945838863,500.17624113475176,412.2429078014185,94,false,0.006412800366538575,0.8210064627778979
51,14,14 - OHIO VALLEY,Bus,929.3199272675002,459.10851063829784,295.95212765957444,94,false,0.006304192127107385,0.8273106549050053
52,Y49,Y49 - PROSPECT FLYER,Bus,899.2552087739742,533.4739361702128,345.6193262411348,94,false,0.006100243243553497,0.8334108981485588
53,57,57 - HAZELWOOD,Bus,888.8723095319237,713.0978723404255,522.8755319148936,94,false,0.006029809166183882,0.8394407073147427
