geoid,n_stops,n_signalized,n_nearside,n_signal_classified,use_total,use_signalized,use_classified,use_nearside,median_household_income,population,households_total,households_zero_vehicle,pop_black_nh,signalized_share,nearside_share,rw_signalized_share,rw_nearside_share,zero_vehicle_share,black_share
42003980600,19,3,2,3,999.179564175,413.04774514999997,413.04774514999997,25.21136365,,12,8,8,0,0.15789473684210525,0.6666666666666666,0.4133869025744578,0.06103740777193782,1.0,0.0
42003981800,2,0,0,0,9.059090820000002,0.0,0.0,0.0,,385,0,0,84,0.0,,0.0,,,0.21818181818181817
42003981000,13,3,2,3,232.46591482500003,105.46363930000001,105.46363930000001,97.15682100000001,,0,0,0,0,0.23076923076923078,0.6666666666666666,0.45367356061379094,0.9212352394139314,,
42003981100,1,1,1,1,28.35454445,28.35454445,28.35454445,28.35454445,,0,0,0,0,1.0,1.0,1.0,1.0,,
42003980100,2,1,1,1,26.168183499999998,0.125,0.125,0.125,,0,0,0,0,0.5,1.0,0.004776793161818053,1.0,,
42003982200,10,7,5,7,5648.38866845,4948.136400225,4948.136400225,4938.33185495,,5498,10,0,505,0.7,0.7142857142857143,0.8760261891791594,0.9980185377924193,0.0,0.09185158239359767
42003010301,5,3,2,3,86.629545845,60.781818075,60.781818075,27.720454475000004,,2028,0,0,1086,0.6,0.6666666666666666,0.7016291899273318,0.45606491139825955,,0.5355029585798816
42003980900,1,1,1,1,21.9500015,21.9500015,21.9500015,21.9500015,,55,0,0,31,1.0,1.0,1.0,1.0,,0.5636363636363636
42003980000,11,4,3,4,1272.9386099395456,81.05909074954546,81.05909074954546,51.379545295,,0,0,0,0,0.36363636363636365,0.75,0.06367871169639133,0.6338529684937049,,
42003980400,4,0,0,0,70.10681480000001,0.0,0.0,0.0,,0,0,0,0,0.0,,0.0,,,
42003980800,8,7,5,7,155.088636925,146.7340919,146.7340919,78.0590909,,0,0,0,0,0.875,0.7142857142857143,0.946130514842037,0.5319765154044613,,
42003050900,11,0,0,0,447.11136550000003,0.0,0.0,0.0,12740.0,1380,738,565,1225,0.0,,0.0,,0.7655826558265583,0.8876811594202898
42003040500,9,8,6,8,3644.5135941949998,3642.8908666949997,3642.8908666949997,2519.090866595,13750.0,2840,1025,404,79,0.8888888888888888,0.75,0.9995547478537096,0.6915087381907865,0.39414634146341465,0.027816901408450705
42003551900,34,15,11,15,1827.5886363631816,1269.1113636363634,1269.1113636363634,1053.8022727272726,14063.0,1395,739,445,478,0.4411764705882353,0.7333333333333333,0.6944185022740332,0.8303465739269962,0.6021650879566982,0.3426523297491039
42003051000,22,4,2,4,845.538663,210.28409,210.28409,99.24318,16297.0,2187,847,418,1162,0.18181818181818182,0.5,0.24869837324044397,0.47194811552314775,0.4935064935064935,0.5313214449016919
42003464400,34,8,5,8,1062.3204545454546,462.79772727272734,462.79772727272734,266.43636363636364,17118.0,2815,1433,481,526,0.23529411764705882,0.625,0.43564794906518967,0.575708020880907,0.33565945568736916,0.18685612788632328
42003130600,41,7,6,7,379.14318873636364,88.63863718636365,88.63863718636365,76.75681883636365,18879.0,3505,1180,489,3140,0.17073170731707318,0.8571428571428571,0.23378670597191797,0.8659521544197667,0.41440677966101697,0.8958630527817404
42003051100,13,0,0,0,129.250000145,0.0,0.0,0.0,20441.0,458,158,76,338,0.0,,0.0,,0.4810126582278481,0.7379912663755459
42003120900,52,20,17,20,1008.5590807,668.974990045,668.974990045,526.138628945,21087.0,1574,596,257,1191,0.38461538461538464,0.85,0.663297770895773,0.7864847517088915,0.4312080536912752,0.7566709021601017
42003040200,32,9,8,9,5938.040904775,5458.311358370001,5458.311358370001,5433.6249948,22667.0,1843,434,165,493,0.28125,0.8888888888888888,0.919210804691623,0.9954772892293612,0.38018433179723504,0.2674986435160065
42003552100,8,2,2,2,17.09999999999999,9.74545454545454,9.74545454545454,9.74545454545454,22668.0,1383,408,255,589,0.25,1.0,0.5699096225412015,1.0,0.625,0.42588575560375996
42003561900,43,3,3,3,589.95682021,150.73636155,150.73636155,150.73636155,22770.0,2007,1022,254,1855,0.06976744186046512,1.0,0.2555040579009564,1.0,0.24853228962818003,0.924265072247135
