income_quartile,n_stops,n_signalized,n_nearside,n_signal_classified,use_total,use_signalized,use_classified,use_nearside,signalized_share,nearside_share,rw_signalized_share,rw_nearside_share
Q1 (lowest income),1556,400,345,400,50713.234079067275,27558.220422785,27558.220422785,23509.361329446365,0.2570694087403599,0.8625,0.5434127979260568,0.8530798059082559
Q2,1523,289,255,289,37362.33863798318,15137.709079285909,15137.709079285909,13652.268188570455,0.18975705843729482,0.8823529411764706,0.4051595706029135,0.9018714864359432
Q3,1573,382,326,382,38645.05003155545,18511.67046462591,18511.67046462591,17237.763649753182,0.24284806102987921,0.8534031413612565,0.4790178936114789,0.9311835840365111
Q4 (highest income),1571,438,372,438,79239.425325965,51295.202592144546,51295.202592144546,42687.21607781318,0.2788033099936346,0.8493150684931506,0.6473444548737313,0.832187298629568
