density_quartile,n_tracts,median_density,median_weekly_trips,median_boardings,median_boardings_per_1000
1,97,383.1123756262287,237.0,3.8,0.6674082313681868
2,96,1065.3847477361123,2400.5,43.525000000000006,11.686680962023383
3,97,1868.9117739867943,3475.0,92.14999999999999,44.300328827183044
4,96,3435.4668903306683,6103.5,330.4,121.91878451090273
