geoid,area_label,population,land_area_m2,pop_density,weekly_trips,boardings,boardings_per_1000,density_quartile,rail_served,expected_boardings,boardings_resid
42003982200,North Oakland,5498,505672.0,10872.660538847316,32306,7133.35,1297.4445252819207,4,false,620.3204091347316,1.0600387917758813
42003040600,,2302,252018.0,9134.26818719298,0,187.4,81.40747176368376,4,false,507.9531789131439,-0.43159693284856804
42003040400,North Oakland,1629,194956.0,8355.731549683005,12731,1562.2,958.9932473910375,4,false,458.59595043649915,0.5316383529703534
42003010302,Bluff,4631,580660.0,7975.4072951469025,21477,1070.25,231.1055927445476,4,false,434.72225382519133,0.3906810935250564
42003070600,Shadyside,2215,289738.0,7644.8377499672115,7627,596.55,269.32279909706546,4,false,414.10525339025355,0.15821602108009403
42003080700,Friendship,2034,275058.0,7394.804004973497,8616,571.3000000000001,280.8751229105212,4,false,398.596514697564,0.1560020542779097
42003010301,Bluff,2028,276652.0,7330.50908722872,2551,50.25,24.77810650887574,4,false,394.62069979041297,-0.887585137084016
42003070500,Shadyside,2996,412753.0,7258.578374960328,7810,1415.15,472.3464619492657,4,false,390.1787024385506,0.558734054911449
42003040500,Central Oakland,2840,473356.0,5999.712689814854,18002,4648.4,1636.7605633802816,4,false,313.52441634909536,1.169742546156439
42003090200,Central Lawrenceville,2657,446356.0,5952.647662404001,4293,323.2,121.64094843808807,4,false,310.7008133392208,0.017075075004104434
42003141300,Squirrel Hill South,5136,890591.0,5766.956998218037,13990,1041.2,202.72585669781932,4,false,299.59234097666814,0.5399731581618417
42003180700,Mount Washington,2259,394233.0,5730.113917404175,1860,66.45,29.415670650730412,4,false,297.3944071327059,-0.6458087247988513
42003090300,Bloomfield,1473,258047.0,5708.26244831368,9040,370.3,251.39171758316363,4,false,296.0917895718226,0.09683429941819499
42003070800,Shadyside,2530,446681.0,5663.99734933879,12499,2126.2000000000003,840.3952569169962,4,false,293.4552614107626,0.858789005500574
42003080200,Bloomfield,1867,344564.0,5418.441856955457,1707,170.1,91.10873058382431,4,false,278.8842398290074,-0.21372843466282765
42003472300,"Dormont borough (Allegheny, PA)",1847,342247.0,5396.687187908149,280,60.1,32.53925284244721,4,false,277.59789024509115,-0.6589366130500409
42003300100,Knoxville,4188,776097.0,5396.232687408919,7134,512.05,122.26599808978031,4,false,277.57102372450765,0.2652237517569187
42003080900,Bloomfield,2034,380225.0,5349.464133079098,7032,311.15,152.97443461160276,4,false,274.80819104532276,0.053756179410940685
42003070300,Shadyside,2278,428546.0,5315.648728491224,5634,534.4,234.59174714661984,4,false,272.8127399932599,0.2912247156751038
42003070900,Shadyside,4196,805691.0,5207.951931944132,14356,1218.7,290.44327931363205,4,false,266.46985399350007,0.6589781831871937
42003111300,East Liberty,2785,540629.0,5151.406972248991,7733,524.55,188.34829443447038,4,false,263.1471802346053,0.2987680614598922
42003110200,Highland Park,4054,806109.0,5029.096561383139,7601,558.4,137.74050320670943,4,false,255.9781732602599,0.33782622444421584
42003560500,"Wilkinsburg borough (Allegheny, PA)",2212,464334.0,4763.812255833086,3460,83.55,37.77124773960217,4,false,240.51650159394816,-0.45583319730019567
42003080600,Bloomfield,1892,404923.0,4672.49328884751,5633,413.45,218.52536997885835,4,false,235.22261401956155,0.2441506729055507
42003562000,North Oakland,2652,586698.0,4520.213124980825,12964,1299.8,490.1206636500754,4,false,226.42818332451867,0.7573662459814101
42003140800,Squirrel Hill South,4919,1089074.0,4516.681143797392,11752,1226.8,249.40028461069323,4,false,226.22470963114824,0.7326720719306965
42003472400,"Dormont borough (Allegheny, PA)",1870,425318.0,4396.710226230726,420,42.45,22.700534759358288,4,false,219.3271205615947,-0.7050781779426034
