rank,ntd_id,agency_name,upt_2019,upt_2024,pct_change
89,90008,City of Santa Monica,12687426,9408137,-25.846763559448544
90,90014,Alameda-Contra Costa Transit District,54860150,40623207,-25.951338084201375
91,90209,"Valley Metro Rail, Inc.",15060207,11116385,-26.187037137006154
92,50032,Mass Transportation Authority ,4601985,3390436,-26.32666121249852
93,90020,Santa Barbara Metropolitan Transit District,6503350,4786863,-26.39388930320527
94,30034,Maryland Transit Administration,94064450,68503396,-27.173979117509322
95,90039,City of Culver City,4436149,3198946,-27.88912184870256
96,50005,City of Madison,12969815,9297857,-28.311568052435597
97,20082,New York City Department of Transportation,23290742,16688167,-28.34849572418088
98,10003,Massachusetts Bay Transportation Authority,366337756,262213033,-28.423148117989783
99,60011,VIA Metropolitan Transit,43907287,31132211,-29.095571311431744
100,60051,Corpus Christi Regional Transportation Authority,5249776,3710197,-29.32656555251119
101,90031,Riverside Transit Agency,8612844,5995552,-30.388243418782462
102,90002,City and County of Honolulu,62444501,43402851,-30.493717933625575
103,20099,Staten Island Rapid Transit Operating Authority,7731849,5343041,-30.895688728530523
104,1,King County,128666612,88638711,-31.109780834207402
105,30019,Southeastern Pennsylvania Transportation Authority,310266311,213726128,-31.115264396204463
106,20098,Port Authority Trans-Hudson Corporation,91672195,62489580,-31.83366014089659
107,50066,Chicago Transit Authority,455743541,309197026,-32.15547820566918
108,8,Tri-County Metropolitan Transportation District of Oregon,97070628,65429772,-32.595705469217734
109,58,City of Portland,6299791,4244856,-32.61909799864789
110,90079,SunLine Transit Agency,4222894,2839792,-32.75246785735091
111,20145,Tompkins Consolidated Area Transit,4291946,2876311,-32.983523091856235
112,90029,Omnitrans,10885117,7258557,-33.31668368837928
113,90032,City of Phoenix,38042894,25350864,-33.36241979908258
114,90062,Monterey-Salinas Transit,4349795,2894611,-33.45408231882192
115,50017,Greater Dayton Regional Transit Authority,9416615,6240533,-33.72848948374761
116,40040,Jacksonville Transportation Authority,11458624,7569353,-33.94186771465753
117,90136,Regional Public Transportation Authority,15074465,9859281,-34.596146529910015
118,40008,City of Charlotte North Carolina,24585693,16074573,-34.61818220865281
119,40018,Transit Authority of River City,10792724,7053211,-34.64846316833452
120,20004,Niagara Frontier Transportation Authority,24585856,15904889,-35.30878485581304
121,50158,University of Michigan Parking and Transportation Services,7379618,4722377,-36.007839430171046
122,60006,City of El Paso,10473050,6670034,-36.312401831367175
123,50016,Central Ohio Transit Authority,19430144,12349881,-36.439580684528124
124,7,Lane Transit District,10571716,6681242,-36.80078049769782
125,50033,Interurban Transit Partnership,10366563,6537679,-36.93494169668385
126,40051,Town of Chapel Hill,6422474,4047792,-36.97456774445486
127,50113,"Pace, the Suburban Bus Division of the Regional Transportation Authority",28520701,17906275,-37.216567713395264
128,50515,University of Minnesota,4128021,2543890,-38.37507125084878
129,80006,Denver Regional Transportation District,105207476,64291997,-38.890277151026794
130,50027,Metro Transit ,77927237,47558455,-38.97069005539103
131,90004,Golden Empire Transit District,6321939,3819960,-39.57613320849821
132,40030,"City of Gainesville, FL",9214380,5471980,-40.6147782053703
133,80011,City of Fort Collins,4503616,2651954,-41.115006252753346
134,50119,City of Detroit ,23084063,13477495,-41.61558560986426
135,40022,Metropolitan Atlanta Rapid Transit Authority,114788595,66358572,-42.190622683377214
136,30022,Pittsburgh Regional Transit,64149462,36940906,-42.414316740489575
137,70006,Bi-State Development Agency of the Missouri-Illinois Metropolitan District,36070228,20767401,-42.42509085332092
138,50118,Northeast Illinois Regional Commuter Railroad Corporation,61456663,35051943,-42.96477991328621
139,90041,City of Montebello,5080532,2864759,-43.61301139329503
140,40180,University of Georgia,5761220,3112561,-45.973925661578626
141,90016,"Golden Gate Bridge, Highway and Transportation District",5563190,2970532,-46.60380105658803
142,20075,Port Authority Transit Corporation,11107474,5643435,-49.19245365778034
143,90134,Peninsula Corridor Joint Powers Board,18144687,9010956,-50.338322176623926
144,20126,Shortline Transit LLC,4061438,1929039,-52.50354677333496
145,40003,City of Memphis,6218682,2846391,-54.22838794458376
146,90003,San Francisco Bay Area Rapid Transit District,127592425,56088794,-56.040655234822914
147,90151,Southern California Regional Rail Authority,12640293,5056551,-59.996568117527026
148,30073,Virginia Railway Express,4487030,1605303,-64.22348413092848
149,30112,District Department of Transportation,6485928,2072091,-68.05251307137544
150,40105,Puerto Rico Highway and Transportation Authority ,13020498,1846057,-85.82191710332431
