route_name,n_candidates,n_stops_csv,route_name_right,mode,avg_otp,stop_count,projected_stops,est_otp_gain
O12,16,55,MCKNIGHT FLYER,BUS,0.6471686746987952,64,48,0.009423259884458645
48,14,90,ARLINGTON,BUS,0.7499313253012048,89,75,0.008245352398901314
71C,13,138,POINT BREEZE,BUS,0.6080518072289156,100,87,0.007656398656122649
82,12,138,LINCOLN,BUS,0.6079463414634146,136,124,0.007067444913343984
61D,11,111,MURRAY,BUS,0.6678686746987952,75,64,0.006478491170565318
71A,9,120,NEGLEY,BUS,0.6446518072289156,72,63,0.005300583685007988
64,8,113,LAWRENCEVILLE - WATERFRONT,BUS,0.680559756097561,110,102,0.0047116299422293225
51L,8,55,CARRICK LIMITED,BUS,0.7352228915662651,50,42,0.0047116299422293225
G3,8,28,MOON FLYER,BUS,0.7420414634146342,34,26,0.0047116299422293225
71B,8,121,HIGHLAND PARK,BUS,0.5879493975903615,107,99,0.0047116299422293225
88,6,73,PENN,BUS,0.6430156626506024,70,64,0.003533722456671992
39,4,75,BROOKLINE,BUS,0.789404938271605,69,65,0.0023558149711146613
P3,3,43,EAST BUSWAY-OAKLAND,BUS,0.8470578313253012,40,37,0.001766861228335996
16,1,94,BRIGHTON,BUS,0.7138240963855421,95,94,0.0005889537427786653
O1,0,9,ROSS FLYER,BUS,0.7058060240963856,7,7,0.0
G2,0,30,WEST BUSWAY,BUS,0.8168280487804878,24,24,0.0
P1,0,25,EAST BUSWAY-ALL STOPS,BUS,0.8454204819277109,24,24,0.0
