route_id,stop_id,stop_name,direction,trips_wd,trips_7d
MI,W15307,MONONGAHELA INCLINE AT UPPER STATION,"IB,OB",78,549
MI,W15308,MONONGAHELA INCLINE AT LOWER STATION,"IB,OB",78,549
